composite_ID,UID,test,TSVR_hours,log_TSVR,Age,Age_c,LocationType,theta,se
A033_2_Destination,A033,2,29.16,3.4065165431397553,32.0,-12.57,Destination,0.05391906,0.5
A033_3_Source,A033,3,72.6,4.298645025734831,32.0,-12.57,Source,1.0797325,0.5
A033_3_Destination,A033,3,72.6,4.298645025734831,32.0,-12.57,Destination,0.01400444,0.5
A033_4_Source,A033,4,168.33,5.131849473677249,32.0,-12.57,Source,-0.57237154,0.5
A033_4_Destination,A033,4,168.33,5.131849473677249,32.0,-12.57,Destination,-1.3077472,0.5
A034_1_Source,A034,1,1.0,0.6931471805599453,33.0,-11.57,Source,1.4213097,0.5
A034_1_Destination,A034,1,1.0,0.6931471805599453,33.0,-11.57,Destination,1.5448427,0.5
A034_2_Source,A034,2,26.08,3.298795448044074,33.0,-11.57,Source,1.3198788,0.5
A034_2_Destination,A034,2,26.08,3.298795448044074,33.0,-11.57,Destination,1.3082612,0.5
A034_3_Source,A034,3,74.28,4.3212144952771245,33.0,-11.57,Source,0.29753846,0.5
A034_3_Destination,A034,3,74.28,4.3212144952771245,33.0,-11.57,Destination,-1.1147809,0.5
A034_4_Source,A034,4,145.38,4.986205980173081,33.0,-11.57,Source,0.2194541,0.5
A034_4_Destination,A034,4,145.38,4.986205980173081,33.0,-11.57,Destination,-0.6969951,0.5
A035_1_Source,A035,1,1.0,0.6931471805599453,34.0,-10.57,Source,-0.58022076,0.5
A035_1_Destination,A035,1,1.0,0.6931471805599453,34.0,-10.57,Destination,0.30524516,0.5
A035_2_Source,A035,2,44.76,3.8234103470715426,34.0,-10.57,Source,0.94498247,0.5
A035_2_Destination,A035,2,44.76,3.8234103470715426,34.0,-10.57,Destination,-0.05189664,0.5
A035_3_Source,A035,3,79.98,4.394202210604015,34.0,-10.57,Source,-0.67052317,0.5
A035_3_Destination,A035,3,79.98,4.394202210604015,34.0,-10.57,Destination,-0.003024264,0.5
A035_4_Source,A035,4,152.47,5.033505108187003,34.0,-10.57,Source,-1.0736576,0.5
A035_4_Destination,A035,4,152.47,5.033505108187003,34.0,-10.57,Destination,-1.0853919,0.5
A036_1_Source,A036,1,1.0,0.6931471805599453,30.0,-14.57,Source,0.56033707,0.5
A036_1_Destination,A036,1,1.0,0.6931471805599453,30.0,-14.57,Destination,1.3103865,0.5
A036_2_Source,A036,2,21.63,3.119276459645446,30.0,-14.57,Source,0.11009441,0.5
A036_2_Destination,A036,2,21.63,3.119276459645446,30.0,-14.57,Destination,-0.8839064,0.5
A036_3_Source,A036,3,71.47,4.28317268312119,30.0,-14.57,Source,-0.44275582,0.5
A036_3_Destination,A036,3,71.47,4.28317268312119,30.0,-14.57,Destination,-0.5670363,0.5
A036_4_Source,A036,4,143.85,4.975698724215359,30.0,-14.57,Source,-1.2420775,0.5
A036_4_Destination,A036,4,143.85,4.975698724215359,30.0,-14.57,Destination,-0.9257591,0.5
A037_1_Source,A037,1,1.0,0.6931471805599453,31.0,-13.57,Source,0.971286,0.5
A037_1_Destination,A037,1,1.0,0.6931471805599453,31.0,-13.57,Destination,-0.37298724,0.5
A037_2_Source,A037,2,23.7,3.2068032436339315,31.0,-13.57,Source,0.94823486,0.5
A037_2_Destination,A037,2,23.7,3.2068032436339315,31.0,-13.57,Destination,0.8601754,0.5
A037_3_Source,A037,3,72.08,4.291554731509806,31.0,-13.57,Source,0.0045165215,0.5
A037_3_Destination,A037,3,72.08,4.291554731509806,31.0,-13.57,Destination,0.52264977,0.5
A037_4_Source,A037,4,143.66,4.974386161421135,31.0,-13.57,Source,-0.5205274,0.5
A037_4_Destination,A037,4,143.66,4.974386161421135,31.0,-13.57,Destination,-0.7062983,0.5
A038_1_Source,A038,1,1.0,0.6931471805599453,32.0,-12.57,Source,0.71647024,0.5
A038_1_Destination,A038,1,1.0,0.6931471805599453,32.0,-12.57,Destination,1.0395416,0.5
A038_2_Source,A038,2,71.85,4.288402532641213,32.0,-12.57,Source,-0.52280927,0.5
A038_2_Destination,A038,2,71.85,4.288402532641213,32.0,-12.57,Destination,-0.28525016,0.5
A038_3_Source,A038,3,72.86,4.3021714094244174,32.0,-12.57,Source,1.3734354,0.5
A038_3_Destination,A038,3,72.86,4.3021714094244174,32.0,-12.57,Destination,0.56079465,0.5
A038_4_Source,A038,4,152.89,5.0362380614757605,32.0,-12.57,Source,-0.27067098,0.5
A038_4_Destination,A038,4,152.89,5.0362380614757605,32.0,-12.57,Destination,-0.17457396,0.5
A039_1_Source,A039,1,1.0,0.6931471805599453,31.0,-13.57,Source,1.3928413,0.5
A039_1_Destination,A039,1,1.0,0.6931471805599453,31.0,-13.57,Destination,1.7322454,0.5
A039_2_Source,A039,2,28.65,3.3894621254437345,31.0,-13.57,Source,0.31963685,0.5
A039_2_Destination,A039,2,28.65,3.3894621254437345,31.0,-13.57,Destination,1.3414384,0.5
A039_3_Source,A039,3,98.84,4.603568904621118,31.0,-13.57,Source,1.0655857,0.5
A039_3_Destination,A039,3,98.84,4.603568904621118,31.0,-13.57,Destination,0.9721396,0.5
A039_4_Source,A039,4,246.24,5.510359524791073,31.0,-13.57,Source,0.74151385,0.5
A039_4_Destination,A039,4,246.24,5.510359524791073,31.0,-13.57,Destination,1.2233254,0.5
A040_1_Source,A040,1,1.0,0.6931471805599453,38.0,-6.57,Source,-0.46198902,0.5
A040_1_Destination,A040,1,1.0,0.6931471805599453,38.0,-6.57,Destination,-0.9852747,0.5
A040_2_Source,A040,2,26.26,3.3054204262683866,38.0,-6.57,Source,-0.335709,0.5
A040_2_Destination,A040,2,26.26,3.3054204262683866,38.0,-6.57,Destination,0.88222194,0.5
A040_3_Source,A040,3,71.28,4.280547465724028,38.0,-6.57,Source,-1.4675875,0.5
A040_3_Destination,A040,3,71.28,4.280547465724028,38.0,-6.57,Destination,-0.9794845,0.5
A040_4_Source,A040,4,143.53,4.97348709846075,38.0,-6.57,Source,-1.0677122,0.5
A040_4_Destination,A040,4,143.53,4.97348709846075,38.0,-6.57,Destination,-1.104057,0.5
A041_1_Source,A041,1,1.0,0.6931471805599453,35.0,-9.57,Source,1.079175,0.5
A041_1_Destination,A041,1,1.0,0.6931471805599453,35.0,-9.57,Destination,0.22410686,0.5
A041_2_Source,A041,2,31.78,3.4898185733156835,35.0,-9.57,Source,-1.0853513,0.5
A041_2_Destination,A041,2,31.78,3.4898185733156835,35.0,-9.57,Destination,-0.6096121,0.5
A041_3_Source,A041,3,75.74,4.340423084818807,35.0,-9.57,Source,-0.1782166,0.5
A041_3_Destination,A041,3,75.74,4.340423084818807,35.0,-9.57,Destination,1.0298018,0.5
A041_4_Source,A041,4,141.84,4.961725122726247,35.0,-9.57,Source,0.9023358,0.5
A041_4_Destination,A041,4,141.84,4.961725122726247,35.0,-9.57,Destination,-0.39342585,0.5
A042_1_Source,A042,1,1.0,0.6931471805599453,38.0,-6.57,Source,-0.5589121,0.5
A042_1_Destination,A042,1,1.0,0.6931471805599453,38.0,-6.57,Destination,-1.0510693,0.5
A042_2_Source,A042,2,28.93,3.3988613218646075,38.0,-6.57,Source,-1.3708228,0.5
A042_2_Destination,A042,2,28.93,3.3988613218646075,38.0,-6.57,Destination,-0.29213598,0.5
A042_3_Source,A042,3,72.17,4.292785500895938,38.0,-6.57,Source,-0.8300745,0.5
A042_3_Destination,A042,3,72.17,4.292785500895938,38.0,-6.57,Destination,0.27557984,0.5
A042_4_Source,A042,4,146.02,4.9905686319459415,38.0,-6.57,Source,-1.5882493,0.5
A042_4_Destination,A042,4,146.02,4.9905686319459415,38.0,-6.57,Destination,-0.4915242,0.5
