UID,test,schema_condition,theta_accuracy,theta_confidence
A101,T2,Incongruent,-0.50965416,-0.7344551
A101,T3,Incongruent,-0.4359814,-1.8227878
A101,T4,Incongruent,-0.5481525,-1.5100855
A102,T1,Incongruent,-0.64556795,-0.43016246
A102,T2,Incongruent,1.1701075,-0.39255947
A102,T3,Incongruent,-0.24429756,-0.57400686
A102,T4,Incongruent,0.6889397,-0.55013025
A103,T1,Incongruent,1.5161003,-1.1420951
A103,T2,Incongruent,-0.40180504,-2.3355603
A103,T3,Incongruent,-0.86616784,-2.5229707
A103,T4,Incongruent,-0.9358198,-2.061707
A104,T1,Incongruent,1.2890347,-0.15549518
A104,T2,Incongruent,0.59902304,-0.13920192
A104,T3,Incongruent,-0.4135195,-0.38115776
A104,T4,Incongruent,-1.1469584,-1.1664275
A105,T1,Incongruent,0.79853475,0.2860699
A105,T2,Incongruent,0.124345265,0.028753491
A105,T3,Incongruent,-0.97130466,-0.44132504
A105,T4,Incongruent,-0.40869832,-0.6592331
A106,T1,Incongruent,1.2260157,-0.10460744
A106,T2,Incongruent,-0.43201688,-0.59992296
A106,T3,Incongruent,-0.21938318,-0.6359022
A106,T4,Incongruent,0.57478887,-0.62732035
A107,T1,Incongruent,-0.5693406,-2.0965972
A107,T2,Incongruent,-0.9967513,-2.0038917
A107,T3,Incongruent,-1.1911126,-1.7460856
A107,T4,Incongruent,-0.66778487,-2.5729072
A108,T1,Incongruent,-0.5866931,-0.97671974
A108,T2,Incongruent,-0.8319504,-1.0280528
A108,T3,Incongruent,-0.5968496,-0.91288835
A108,T4,Incongruent,-1.3508645,-0.9356022
A109,T1,Incongruent,-0.23544823,-1.3256576
A109,T2,Incongruent,-1.0278164,-1.7281787
A109,T3,Incongruent,0.26390916,-1.1129072
A109,T4,Incongruent,-1.3818485,-2.2287343
