UID,test,day_label,TSVR_hours,theta_acc,theta_conf,se_conf
A105,1,Day0,1.0,0.61165696,2.0030143,0.07339282
A105,2,Day1,22.77,0.47426346,1.3873036,0.07339282
A105,3,Day3,69.46,-0.23769371,0.4621537,0.07339282
A105,4,Day6,146.2,0.29649377,0.38215855,0.07339282
A106,1,Day0,1.0,1.1972102,0.900686,0.07339282
A106,2,Day1,22.64,0.124567874,0.14128786,0.07339282
A106,3,Day3,66.08,0.3480307,0.43720695,0.07339282
A106,4,Day6,147.13,1.0106606,-0.07177689,0.07339282
A107,1,Day0,1.0,-0.71622896,-1.6444446,0.07339282
A107,2,Day1,26.22,-1.6166046,-0.80871445,0.07339282
A107,3,Day3,71.45,-1.0414004,-1.256739,0.07339282
A107,4,Day6,145.95,-1.2497748,-1.820972,0.07339282
A108,1,Day0,1.0,-0.4913459,-0.31995967,0.07339282
A108,2,Day1,27.61,-1.1094757,-1.9271332,0.07339282
A108,3,Day3,68.96,-0.358304,-0.52692664,0.07339282
A108,4,Day6,152.12,-1.1333818,-0.62428236,0.07339282
A109,1,Day0,1.0,-0.25337747,0.48572227,0.07339282
A109,2,Day1,24.65,-1.0994496,-0.036711782,0.07339282
A109,3,Day3,71.17,-0.23198725,0.40579683,0.07339282
A109,4,Day6,149.87,-1.2962439,0.20902646,0.07339282
