composite_ID,UID,test,paradigm,theta,Age,Age_c,TSVR_hours,log_TSVR
A068_2,A068,2,IFR,-0.6020199,49.0,4.43,30.49,3.4496700351129332
A068_3,A068,3,IFR,0.8178577,49.0,4.43,82.98,4.430578675256047
A068_4,A068,4,IFR,-0.18029927,49.0,4.43,155.59,5.053630924557352
A069_1,A069,1,IFR,-0.9453881,46.0,1.4299999999999997,1.0,0.6931471805599453
A069_2,A069,2,IFR,-1.0803355,46.0,1.4299999999999997,24.96,3.2565568918358894
A069_3,A069,3,IFR,-0.40901044,46.0,1.4299999999999997,79.75,4.391357962102766
A069_4,A069,4,IFR,-1.3295189,46.0,1.4299999999999997,140.22,4.950318958088201
A070_1,A070,1,IFR,-0.19590467,52.0,7.43,1.0,0.6931471805599453
A070_2,A070,2,IFR,0.001917907,52.0,7.43,24.25,3.228826155721369
A070_3,A070,3,IFR,-0.6862198,52.0,7.43,81.92,4.417876287567579
A070_4,A070,4,IFR,-0.76803863,52.0,7.43,149.2,5.011967739330034
A071_1,A071,1,IFR,0.8231066,50.0,5.43,1.0,0.6931471805599453
A071_2,A071,2,IFR,0.7234464,50.0,5.43,30.92,3.463232772581608
A071_3,A071,3,IFR,-0.8875053,50.0,5.43,79.96,4.3939552055391555
A071_4,A071,4,IFR,0.3867004,50.0,5.43,153.27,5.038704314023848
A072_1,A072,1,IFR,0.7837958,50.0,5.43,1.0,0.6931471805599453
A072_2,A072,2,IFR,1.3752688,50.0,5.43,33.76,3.548467300397191
A072_3,A072,3,IFR,-0.50578904,50.0,5.43,83.54,4.437224795138644
A072_4,A072,4,IFR,0.22475065,50.0,5.43,154.89,5.04915063032459
A073_1,A073,1,IFR,1.0453852,51.0,6.43,1.0,0.6931471805599453
A073_2,A073,2,IFR,-0.18324019,51.0,6.43,66.66,4.214495163352562
A073_3,A073,3,IFR,1.1016877,51.0,6.43,66.9,4.21803603456465
A073_4,A073,4,IFR,1.1862053,51.0,6.43,140.12,4.949610592258481
A074_1,A074,1,IFR,1.1920998,53.0,8.43,1.0,0.6931471805599453
A074_2,A074,2,IFR,-0.18063918,53.0,8.43,29.33,3.41213732170049
A074_3,A074,3,IFR,-0.33134934,53.0,8.43,73.02,4.30433532695801
A074_4,A074,4,IFR,-0.77555984,53.0,8.43,147.21,4.998630186968824
A075_1,A075,1,IFR,0.6835109,53.0,8.43,1.0,0.6931471805599453
A075_2,A075,2,IFR,0.15669091,53.0,8.43,28.68,3.39047341829918
A075_3,A075,3,IFR,-1.2112106,53.0,8.43,71.37,4.281791848878036
A075_4,A075,4,IFR,-0.9596083,53.0,8.43,244.53,5.5034191393614815
A076_1,A076,1,IFR,-0.23747711,54.0,9.43,1.0,0.6931471805599453
A076_2,A076,2,IFR,-0.96419734,54.0,9.43,27.3,3.342861804649192
A076_3,A076,3,IFR,-1.6650329,54.0,9.43,74.88,4.3291531450668135
A076_4,A076,4,IFR,-1.514256,54.0,9.43,149.28,5.0125002207057685
A077_1,A077,1,IFR,0.94863856,52.0,7.43,1.0,0.6931471805599453
A077_2,A077,2,IFR,-0.2102372,52.0,7.43,53.88,4.00514898341763
A077_3,A077,3,IFR,-0.27487096,52.0,7.43,78.36,4.373994462976618
A077_4,A077,4,IFR,0.36480424,52.0,7.43,149.75,5.015622835607295
A078_1,A078,1,IFR,-0.96974343,50.0,5.43,1.0,0.6931471805599453
A078_2,A078,2,IFR,0.103746764,50.0,5.43,26.17,3.3021134234382563
A078_3,A078,3,IFR,-0.52161014,50.0,5.43,72.3,4.294560608892605
A078_4,A078,4,IFR,-1.1577317,50.0,5.43,140.08,4.949327105367852
A079_1,A079,1,IFR,0.29714143,50.0,5.43,1.0,0.6931471805599453
A079_2,A079,2,IFR,-0.019604485,50.0,5.43,26.11,3.299902663510574
A079_3,A079,3,IFR,-0.63756335,50.0,5.43,74.0,4.31748811353631
A079_4,A079,4,IFR,-0.8638559,50.0,5.43,194.42,5.275151088516197
A080_1,A080,1,IFR,-0.03166884,56.0,11.43,1.0,0.6931471805599453
A080_2,A080,2,IFR,0.46226197,56.0,11.43,29.03,3.402196881995239
A080_3,A080,3,IFR,0.26095873,56.0,11.43,72.87,4.302306791540646
A080_4,A080,4,IFR,-0.27738324,56.0,11.43,145.77,4.988866735623107
A081_1,A081,1,IFR,-0.21233271,55.0,10.43,1.0,0.6931471805599453
A081_2,A081,2,IFR,-0.2756375,55.0,10.43,31.39,3.477849733183238
A081_3,A081,3,IFR,1.1896797,55.0,10.43,80.13,4.396052806406973
A081_4,A081,4,IFR,0.5770681,55.0,10.43,154.53,5.046838639056468
A082_1,A082,1,IFR,0.23409934,58.0,13.43,1.0,0.6931471805599453
A082_2,A082,2,IFR,1.3762386,58.0,13.43,27.97,3.366260811781259
A082_3,A082,3,IFR,0.45864242,58.0,13.43,75.71,4.3400320779712045
A082_4,A082,4,IFR,-0.5385982,58.0,13.43,170.25,5.143124477142335
A083_1,A083,1,IFR,2.0915012,58.0,13.43,1.0,0.6931471805599453
A083_2,A083,2,IFR,0.5282948,58.0,13.43,25.15,3.263849190510932
A083_3,A083,3,IFR,0.067734525,58.0,13.43,74.3,4.321480134805848
A083_4,A083,4,IFR,0.35439134,58.0,13.43,144.91,4.982989993275931
A084_1,A084,1,IFR,0.4183016,59.0,14.43,1.0,0.6931471805599453
A084_2,A084,2,IFR,-0.43802726,59.0,14.43,27.25,3.34109345759245
A084_3,A084,3,IFR,-0.0573422,59.0,14.43,91.97,4.532276860467767
A084_4,A084,4,IFR,-0.6182798,59.0,14.43,162.51,5.096874150546495
A085_1,A085,1,IFR,-0.031216,58.0,13.43,1.0,0.6931471805599453
A085_2,A085,2,IFR,1.1066616,58.0,13.43,24.51,3.23907053215372
A085_3,A085,3,IFR,0.061248675,58.0,13.43,71.4,4.282206299391671
A085_4,A085,4,IFR,-0.76523185,58.0,13.43,170.65,5.145457519903701
A086_1,A086,1,IFR,0.38950622,58.0,13.43,1.0,0.6931471805599453
A086_2,A086,2,IFR,-0.14577931,58.0,13.43,23.47,3.19744787745458
A086_3,A086,3,IFR,-1.0502772,58.0,13.43,145.29,4.985590952989995
A086_4,A086,4,IFR,-0.8074584,58.0,13.43,169.55,5.139028508864655
A087_1,A087,1,IFR,0.78208005,59.0,14.43,1.0,0.6931471805599453
A087_2,A087,2,IFR,1.0232055,59.0,14.43,31.07,3.4679210137050633
A087_3,A087,3,IFR,0.5696994,59.0,14.43,72.8,4.301358731606427
A087_4,A087,4,IFR,0.74973524,59.0,14.43,144.2,4.978112102390695
A088_1,A088,1,IFR,1.4914855,56.0,11.43,1.0,0.6931471805599453
A088_2,A088,2,IFR,2.2012293,56.0,11.43,24.25,3.228826155721369
A088_3,A088,3,IFR,1.2592479,56.0,11.43,74.91,4.3295484280286765
A088_4,A088,4,IFR,1.9822054,56.0,11.43,149.93,5.016816153171337
A089_1,A089,1,IFR,0.9941269,56.0,11.43,1.0,0.6931471805599453
A089_2,A089,2,IFR,1.1067888,56.0,11.43,32.14,3.500741011998417
A089_3,A089,3,IFR,0.42236474,56.0,11.43,79.34,4.386267628931136
A089_4,A089,4,IFR,-0.14824519,56.0,11.43,146.96,4.996941966964253
A090_1,A090,1,IFR,0.5147539,61.0,16.43,1.0,0.6931471805599453
A090_2,A090,2,IFR,-0.14470427,61.0,16.43,23.54,3.2003044392827653
A090_3,A090,3,IFR,-1.0755081,61.0,16.43,95.42,4.568713648977476
