composite_ID,UID,test,location_type,ctt_mean_score,n_items,TSVR_hours
A046_3,A046,3,source,0.45588235294117646,17,73.05
A046_4,A046,4,destination,0.26666666666666666,15,147.94
A046_4,A046,4,source,0.5882352941176471,17,147.94
A047_1,A047,1,destination,0.25,15,1.0
A047_1,A047,1,source,0.6029411764705882,17,1.0
A047_2,A047,2,destination,0.5166666666666667,15,23.46
A047_2,A047,2,source,0.5735294117647058,17,23.46
A047_3,A047,3,destination,0.55,15,76.85
A047_3,A047,3,source,0.47058823529411764,17,76.85
A047_4,A047,4,destination,0.6166666666666667,15,144.22
A047_4,A047,4,source,0.2647058823529412,17,144.22
A048_1,A048,1,destination,0.7333333333333333,15,1.0
A048_1,A048,1,source,0.8823529411764706,17,1.0
A048_2,A048,2,destination,0.3333333333333333,15,23.91
A048_2,A048,2,source,0.8235294117647058,17,23.91
A048_3,A048,3,destination,0.5833333333333334,15,81.15
A048_3,A048,3,source,0.6617647058823529,17,81.15
A048_4,A048,4,destination,0.48333333333333334,15,146.3
A048_4,A048,4,source,0.5588235294117647,17,146.3
A049_1,A049,1,destination,0.6,15,1.0
A049_1,A049,1,source,1.0,17,1.0
A049_2,A049,2,destination,0.38333333333333336,15,27.12
A049_2,A049,2,source,0.5588235294117647,17,27.12
A049_3,A049,3,destination,0.45,15,111.38
A049_3,A049,3,source,0.7941176470588235,17,111.38
A049_4,A049,4,destination,0.7333333333333333,15,168.86
A049_4,A049,4,source,0.6764705882352942,17,168.86
A050_1,A050,1,destination,0.2833333333333333,15,1.0
A050_1,A050,1,source,0.7647058823529411,17,1.0
A050_2,A050,2,destination,0.45,15,24.73
A050_2,A050,2,source,0.5441176470588235,17,24.73
A050_3,A050,3,destination,0.3,15,93.39
A050_3,A050,3,source,0.5294117647058824,17,93.39
A050_4,A050,4,destination,0.5333333333333333,15,148.69
A050_4,A050,4,source,0.45588235294117646,17,148.69
A051_1,A051,1,destination,0.8333333333333334,15,1.0
A051_1,A051,1,source,0.8529411764705882,17,1.0
A051_2,A051,2,destination,0.5666666666666667,15,17.16
A051_2,A051,2,source,0.6176470588235294,17,17.16
A051_3,A051,3,destination,0.55,15,65.63
A051_3,A051,3,source,0.5882352941176471,17,65.63
A051_4,A051,4,destination,0.48333333333333334,15,146.99
A051_4,A051,4,source,0.7205882352941176,17,146.99
A052_1,A052,1,destination,0.36666666666666664,15,1.0
A052_1,A052,1,source,0.8823529411764706,17,1.0
A052_2,A052,2,destination,0.5166666666666667,15,31.76
A052_2,A052,2,source,0.6764705882352942,17,31.76
A052_3,A052,3,destination,0.36666666666666664,15,80.98
A052_3,A052,3,source,0.7647058823529411,17,80.98
A052_4,A052,4,destination,0.5666666666666667,15,153.27
A052_4,A052,4,source,0.4264705882352941,17,153.27
A053_1,A053,1,destination,0.6,15,1.0
A053_1,A053,1,source,0.8676470588235294,17,1.0
A053_2,A053,2,destination,0.5833333333333334,15,32.71
A053_2,A053,2,source,0.8529411764705882,17,32.71
A053_3,A053,3,destination,0.4166666666666667,15,78.28
A053_3,A053,3,source,0.5441176470588235,17,78.28
A053_4,A053,4,destination,0.36666666666666664,15,148.9
A053_4,A053,4,source,0.47058823529411764,17,148.9
A054_1,A054,1,destination,0.4166666666666667,15,1.0
A054_1,A054,1,source,0.7794117647058824,17,1.0
A054_2,A054,2,destination,0.36666666666666664,15,16.9
A054_2,A054,2,source,0.9264705882352942,17,16.9
A054_3,A054,3,destination,0.3333333333333333,15,72.83
A054_3,A054,3,source,0.9411764705882353,17,72.83
A054_4,A054,4,destination,0.4666666666666667,15,136.83
A054_4,A054,4,source,0.9411764705882353,17,136.83
A055_1,A055,1,destination,0.48333333333333334,15,1.0
A055_1,A055,1,source,0.75,17,1.0
A055_2,A055,2,destination,0.5166666666666667,15,23.24
A055_2,A055,2,source,0.8970588235294118,17,23.24
A055_3,A055,3,destination,0.6833333333333333,15,74.48
A055_3,A055,3,source,0.35294117647058826,17,74.48
A055_4,A055,4,destination,0.4666666666666667,15,149.21
A055_4,A055,4,source,0.2647058823529412,17,149.21
A056_1,A056,1,destination,0.6,15,1.0
A056_1,A056,1,source,0.8382352941176471,17,1.0
A056_2,A056,2,destination,0.23333333333333334,15,33.61
A056_2,A056,2,source,0.7058823529411765,17,33.61
A056_3,A056,3,destination,0.45,15,71.46
A056_3,A056,3,source,0.6911764705882353,17,71.46
A056_4,A056,4,destination,0.31666666666666665,15,147.84
A056_4,A056,4,source,0.5147058823529411,17,147.84
A057_1,A057,1,destination,0.26666666666666666,15,1.0
A057_1,A057,1,source,0.8382352941176471,17,1.0
A057_2,A057,2,destination,0.2833333333333333,15,24.78
A057_2,A057,2,source,0.45588235294117646,17,24.78
A057_3,A057,3,destination,0.3,15,73.83
A057_3,A057,3,source,0.5882352941176471,17,73.83
A057_4,A057,4,destination,0.31666666666666665,15,145.06
A057_4,A057,4,source,0.3235294117647059,17,145.06
A058_1,A058,1,destination,0.7666666666666667,15,1.0
A058_1,A058,1,source,0.8529411764705882,17,1.0
A058_2,A058,2,destination,0.38333333333333336,15,22.96
A058_2,A058,2,source,0.5147058823529411,17,22.96
A058_3,A058,3,destination,0.5166666666666667,15,66.28
A058_3,A058,3,source,0.7647058823529411,17,66.28
A058_4,A058,4,destination,0.31666666666666665,15,143.48
A058_4,A058,4,source,0.5588235294117647,17,143.48
A059_1,A059,1,destination,0.7,15,1.0
A059_1,A059,1,source,0.8529411764705882,17,1.0
A059_2,A059,2,destination,0.5166666666666667,15,30.4
A059_2,A059,2,source,0.8676470588235294,17,30.4
A059_3,A059,3,destination,0.8833333333333333,15,79.78
A059_3,A059,3,source,0.8235294117647058,17,79.78
A059_4,A059,4,destination,0.2833333333333333,15,151.93
A059_4,A059,4,source,0.8823529411764706,17,151.93
A060_1,A060,1,destination,0.43333333333333335,15,1.0
A060_1,A060,1,source,0.6029411764705882,17,1.0
A060_2,A060,2,destination,0.5,15,24.87
A060_2,A060,2,source,0.8823529411764706,17,24.87
A060_3,A060,3,destination,0.5333333333333333,15,94.68
A060_3,A060,3,source,0.6470588235294118,17,94.68
A060_4,A060,4,destination,0.45,15,143.91
A060_4,A060,4,source,0.8088235294117647,17,143.91
A061_1,A061,1,destination,0.8833333333333333,15,1.0
A061_1,A061,1,source,0.9705882352941176,17,1.0
A061_2,A061,2,destination,0.7666666666666667,15,35.16
A061_2,A061,2,source,0.8088235294117647,17,35.16
A061_3,A061,3,destination,0.6666666666666666,15,82.55
A061_3,A061,3,source,0.7647058823529411,17,82.55
A061_4,A061,4,destination,0.7833333333333333,15,146.56
A061_4,A061,4,source,0.5588235294117647,17,146.56
A062_1,A062,1,destination,0.6,15,1.0
A062_1,A062,1,source,0.8235294117647058,17,1.0
A062_2,A062,2,destination,0.6333333333333333,15,44.69
A062_2,A062,2,source,0.5882352941176471,17,44.69
A062_3,A062,3,destination,0.23333333333333334,15,92.72
A062_3,A062,3,source,0.5588235294117647,17,92.72
A062_4,A062,4,destination,0.31666666666666665,15,149.18
A062_4,A062,4,source,0.5588235294117647,17,149.18
A063_1,A063,1,destination,0.6333333333333333,15,1.0
A063_1,A063,1,source,0.9117647058823529,17,1.0
A063_2,A063,2,destination,0.6666666666666666,15,21.98
A063_2,A063,2,source,0.8823529411764706,17,21.98
A063_3,A063,3,destination,0.11666666666666667,15,69.99
A063_3,A063,3,source,0.7205882352941176,17,69.99
A063_4,A063,4,destination,0.35,15,141.09
A063_4,A063,4,source,0.5882352941176471,17,141.09
A064_1,A064,1,destination,0.6333333333333333,15,1.0
A064_1,A064,1,source,0.8529411764705882,17,1.0
A064_2,A064,2,destination,0.4,15,37.65
A064_2,A064,2,source,0.9705882352941176,17,37.65
A064_3,A064,3,destination,0.4,15,82.99
A064_3,A064,3,source,0.6176470588235294,17,82.99
A064_4,A064,4,destination,0.4166666666666667,15,156.21
A064_4,A064,4,source,0.38235294117647056,17,156.21
A065_1,A065,1,destination,0.31666666666666665,15,1.0
A065_1,A065,1,source,0.39705882352941174,17,1.0
A065_2,A065,2,destination,0.3,15,32.31
A065_2,A065,2,source,0.6911764705882353,17,32.31
A065_3,A065,3,destination,0.5333333333333333,15,106.41
A065_3,A065,3,source,0.29411764705882354,17,106.41
A065_4,A065,4,destination,0.23333333333333334,15,187.43
A065_4,A065,4,source,0.3088235294117647,17,187.43
A066_1,A066,1,destination,0.35,15,1.0
A066_1,A066,1,source,0.6911764705882353,17,1.0
A066_2,A066,2,destination,0.35,15,23.35
A066_2,A066,2,source,0.5441176470588235,17,23.35
A066_3,A066,3,destination,0.2,15,73.79
A066_3,A066,3,source,0.6617647058823529,17,73.79
A066_4,A066,4,destination,0.1,15,164.93
A066_4,A066,4,source,0.4264705882352941,17,164.93
A067_1,A067,1,destination,0.2833333333333333,15,1.0
A067_1,A067,1,source,0.7794117647058824,17,1.0
A067_2,A067,2,destination,0.43333333333333335,15,29.91
A067_2,A067,2,source,0.45588235294117646,17,29.91
A067_3,A067,3,destination,0.36666666666666664,15,73.19
A067_3,A067,3,source,0.4411764705882353,17,73.19
A067_4,A067,4,destination,0.3333333333333333,15,144.19
A067_4,A067,4,source,0.29411764705882354,17,144.19
A068_1,A068,1,destination,0.7333333333333333,15,1.0
A068_1,A068,1,source,0.9117647058823529,17,1.0
A068_2,A068,2,destination,0.36666666666666664,15,30.49
A068_2,A068,2,source,0.7058823529411765,17,30.49
A068_3,A068,3,destination,0.2,15,82.98
A068_3,A068,3,source,0.9705882352941176,17,82.98
A068_4,A068,4,destination,0.3333333333333333,15,155.59
A068_4,A068,4,source,0.7058823529411765,17,155.59
A069_1,A069,1,destination,0.5666666666666667,15,1.0
A069_1,A069,1,source,0.3088235294117647,17,1.0
A069_2,A069,2,destination,0.31666666666666665,15,24.96
A069_2,A069,2,source,0.5294117647058824,17,24.96
A069_3,A069,3,destination,0.36666666666666664,15,79.75
A069_3,A069,3,source,0.5882352941176471,17,79.75
A069_4,A069,4,destination,0.5,15,140.22
A069_4,A069,4,source,0.27941176470588236,17,140.22
A070_1,A070,1,destination,0.48333333333333334,15,1.0
A070_1,A070,1,source,0.7352941176470589,17,1.0
A070_2,A070,2,destination,0.25,15,24.25
A070_2,A070,2,source,0.6911764705882353,17,24.25
A070_3,A070,3,destination,0.45,15,81.92
A070_3,A070,3,source,0.5147058823529411,17,81.92
A070_4,A070,4,destination,0.38333333333333336,15,149.2
A070_4,A070,4,source,0.47058823529411764,17,149.2
A071_1,A071,1,destination,0.3333333333333333,15,1.0
A071_1,A071,1,source,0.8235294117647058,17,1.0
A071_2,A071,2,destination,0.3333333333333333,15,30.92
A071_2,A071,2,source,0.8823529411764706,17,30.92
A071_3,A071,3,destination,0.43333333333333335,15,79.96
A071_3,A071,3,source,0.5588235294117647,17,79.96
A071_4,A071,4,destination,0.3,15,153.27
A071_4,A071,4,source,0.7647058823529411,17,153.27
A072_1,A072,1,destination,0.5666666666666667,15,1.0
A072_1,A072,1,source,0.9411764705882353,17,1.0
A072_2,A072,2,destination,0.6833333333333333,15,33.76
A072_2,A072,2,source,0.8676470588235294,17,33.76
A072_3,A072,3,destination,0.6833333333333333,15,83.54
A072_3,A072,3,source,0.5735294117647058,17,83.54
A072_4,A072,4,destination,0.7,15,154.89
A072_4,A072,4,source,0.7058823529411765,17,154.89
A073_1,A073,1,destination,0.4166666666666667,15,1.0
A073_1,A073,1,source,0.9411764705882353,17,1.0
A073_2,A073,2,destination,0.36666666666666664,15,66.66
A073_2,A073,2,source,0.7352941176470589,17,66.66
A073_3,A073,3,destination,0.48333333333333334,15,66.9
A073_3,A073,3,source,0.9411764705882353,17,66.9
A073_4,A073,4,destination,0.6,15,140.12
A073_4,A073,4,source,0.9264705882352942,17,140.12
A074_1,A074,1,destination,0.5666666666666667,15,1.0
A074_1,A074,1,source,0.9411764705882353,17,1.0
A074_2,A074,2,destination,0.4166666666666667,15,29.33
A074_2,A074,2,source,0.7647058823529411,17,29.33
A074_3,A074,3,destination,0.65,15,73.02
A074_3,A074,3,source,0.4852941176470588,17,73.02
A074_4,A074,4,destination,0.5,15,147.21
A074_4,A074,4,source,0.5294117647058824,17,147.21
