UID,TEST,Schema,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,calibration
A025,T3,Common,72.94,-0.37301433,-0.88580674,-0.31211413402139904,-0.21878547742181448,0.09332865659958456
A025,T4,Common,137.74,-1.720921,-1.417594,-1.705808447028529,-1.0807546494481186,0.6250537975804105
A025,T1,Congruent,1.0,0.6015891,-0.38930637,0.6949226061300217,0.6125659638205876,-0.08235664230943407
A025,T2,Congruent,23.33,0.256282,-0.31195822,0.3371131954070781,0.7404925164295423,0.40337932102246415
A025,T3,Congruent,72.94,-0.12336018,-0.5638975,-0.056274443339341125,0.32380868420883413,0.38008312754817525
A025,T4,Congruent,137.74,-1.6342648,-1.0112624,-1.6218834092157246,-0.41609071112576296,1.2057926980899616
A025,T1,Incongruent,1.0,0.93630815,-0.1315356,1.0472112310118733,1.032953464909099,-0.014257766102774294
A025,T2,Incongruent,23.33,0.36178952,-0.3282735,0.44925876578967605,0.7081389072411555,0.2588801414514794
A025,T3,Incongruent,72.94,-0.5395733,-1.0377458,-0.488869420373115,-0.4632008869833353,0.025668533389779702
A025,T4,Incongruent,137.74,-1.9491707,-1.9472052,-1.9559623853145647,-1.9647196727788188,-0.008757287464254082
A026,T1,Common,1.0,0.4397963,-0.36503953,0.5283072228836324,0.625321394980786,0.09701417209715357
A026,T2,Common,26.48,0.13197225,-0.4322403,0.21002656040139817,0.5163962731634072,0.306369712762009
A026,T3,Common,75.46,-0.097730406,-0.82322145,-0.027478967596199135,-0.11734154549624305,-0.08986257790004391
A026,T4,Common,147.65,0.5985375,-0.48267612,0.6924407735247369,0.4346453075500758,-0.2577954659746611
A026,T1,Congruent,1.0,0.79169786,-0.3819697,0.8919145109847713,0.6247001247634096,-0.2672143862213616
A026,T2,Congruent,26.48,-0.0023218978,-0.47930023,0.06914619362091642,0.4637245983092871,0.3945784046883707
A026,T3,Congruent,75.46,0.18565296,-0.44024467,0.26392693545954965,0.5283188148614888,0.26439187940193914
A026,T4,Congruent,147.65,0.22969332,-0.27736092,0.3095618362757399,0.7977131909844966,0.48815135470875665
A026,T1,Incongruent,1.0,-0.018352944,-0.5305961,0.053610806585219356,0.37410400178964737,0.320493195204428
A026,T2,Incongruent,26.48,-0.112894766,-0.41408488,-0.04478724802877665,0.5664641946536174,0.6112514426823941
A026,T3,Incongruent,75.46,0.34201106,-0.2952491,0.4286735692481842,0.7626622394422679,0.3339886701940836
A026,T4,Incongruent,147.65,0.1639828,-0.5032541,0.24338377812997758,0.41924568336577933,0.17586190523580175
