UID,TEST,composite_ID,n_ratings,mean_rating,sd_rating,full_scale_usage,extremes_only,pct_extremes,restricted_range,scale_type
A065,T3,A065_T3,105,0.37904761904761913,0.25135641100133876,True,False,9.523809523809524,False,0-1
A065,T4,A065_T4,105,0.32190476190476186,0.16211750728345303,True,False,0.9523809523809524,True,0-1
A066,T1,A066_T1,105,0.6647619047619049,0.2979232730821661,True,False,36.19047619047619,False,0-1
A066,T2,A066_T2,105,0.5828571428571429,0.29998639424929574,True,False,23.809523809523807,False,0-1
A066,T3,A066_T3,105,0.5180952380952382,0.31069229989721264,True,False,21.904761904761905,False,0-1
A066,T4,A066_T4,105,0.4152380952380953,0.24015112399961122,True,False,6.666666666666667,False,0-1
A067,T1,A067_T1,105,0.6476190476190476,0.3092526284587033,True,False,32.38095238095238,False,0-1
A067,T2,A067_T2,105,0.37904761904761913,0.2528674556232547,True,False,6.666666666666667,False,0-1
A067,T3,A067_T3,105,0.3295238095238096,0.21377505290054402,True,False,5.714285714285714,False,0-1
A067,T4,A067_T4,105,0.3638095238095239,0.25564998748244294,True,False,8.571428571428571,False,0-1
A068,T1,A068_T1,105,0.8914285714285713,0.18315452009517136,False,False,69.52380952380952,True,0-1
A068,T2,A068_T2,105,0.8038095238095238,0.25890752514356113,True,False,56.19047619047619,False,0-1
A068,T3,A068_T3,105,0.702857142857143,0.2829965986190151,True,False,40.95238095238095,False,0-1
A068,T4,A068_T4,105,0.6304761904761906,0.294432079490511,True,False,28.57142857142857,False,0-1
A069,T1,A069_T1,105,0.6647619047619048,0.2697374216603824,True,False,26.666666666666668,False,0-1
A069,T2,A069_T2,105,0.42476190476190484,0.2369572806108036,True,False,6.666666666666667,False,0-1
A069,T3,A069_T3,105,0.3428571428571429,0.1946215584677303,True,False,1.9047619047619049,True,0-1
A069,T4,A069_T4,105,0.3676190476190477,0.2501410033200277,True,False,7.6190476190476195,False,0-1
A070,T1,A070_T1,105,0.6361904761904762,0.3670017022209932,False,False,43.80952380952381,False,0-1
A070,T2,A070_T2,105,0.5561904761904762,0.35454163823538465,True,False,34.285714285714285,False,0-1
A070,T3,A070_T3,105,0.3980952380952382,0.2953548156373642,True,False,10.476190476190476,False,0-1
A070,T4,A070_T4,105,0.3066666666666667,0.22772860483548715,True,False,6.666666666666667,False,0-1
A071,T1,A071_T1,105,0.8076190476190476,0.2588234324032461,True,False,57.14285714285714,False,0-1
A071,T2,A071_T2,105,0.6095238095238095,0.28200770321252183,True,False,20.952380952380953,False,0-1
A071,T3,A071_T3,105,0.500952380952381,0.26636717876439375,True,False,12.380952380952381,False,0-1
A071,T4,A071_T4,105,0.5371428571428571,0.3089944190764749,True,False,19.047619047619047,False,0-1
A072,T1,A072_T1,105,0.7942857142857144,0.2639727877131679,True,False,54.285714285714285,False,0-1
A072,T2,A072_T2,105,0.7657142857142858,0.27939682359327855,True,False,45.714285714285715,False,0-1
A072,T3,A072_T3,105,0.6704761904761906,0.2854983310847092,True,False,31.428571428571427,False,0-1
A072,T4,A072_T4,105,0.6000000000000001,0.3011090610836324,True,False,24.761904761904763,False,0-1
A073,T1,A073_T1,105,0.6171428571428571,0.3062700777813884,True,False,23.809523809523807,False,0-1
A073,T2,A073_T2,105,0.52,0.26273288988737487,True,False,10.476190476190476,False,0-1
A073,T3,A073_T3,105,0.6152380952380954,0.2185584600364734,True,False,13.333333333333334,False,0-1
A073,T4,A073_T4,105,0.5390476190476191,0.2501410033200277,True,False,8.571428571428571,False,0-1
A074,T1,A074_T1,105,0.6628571428571429,0.3685898851045163,True,False,51.42857142857142,False,0-1
A074,T2,A074_T2,105,0.5714285714285715,0.3539476113277583,True,False,35.23809523809524,False,0-1
A074,T3,A074_T3,105,0.4495238095238096,0.34999967606075055,True,False,26.666666666666668,False,0-1
A074,T4,A074_T4,105,0.5142857142857142,0.35116908732284,True,False,28.57142857142857,False,0-1
A075,T1,A075_T1,105,0.6266666666666668,0.3437237724482142,True,False,38.095238095238095,False,0-1
A075,T2,A075_T2,105,0.6000000000000001,0.3661901665736507,True,False,41.904761904761905,False,0-1
A075,T3,A075_T3,105,0.3333333333333334,0.22537446792760443,True,False,5.714285714285714,False,0-1
A075,T4,A075_T4,105,0.4895238095238096,0.32890114581560953,True,False,23.809523809523807,False,0-1
A076,T1,A076_T1,105,0.5485714285714286,0.3086419672461576,True,False,21.904761904761905,False,0-1
A076,T2,A076_T2,105,0.481904761904762,0.27001973556829484,True,False,14.285714285714285,False,0-1
A076,T3,A076_T3,105,0.4400000000000001,0.24440403706431146,True,False,10.476190476190476,False,0-1
A076,T4,A076_T4,105,0.30476190476190473,0.18740379239998237,False,False,4.761904761904762,True,0-1
A077,T1,A077_T1,105,0.7561904761904762,0.2972649321889433,True,False,56.19047619047619,False,0-1
A077,T2,A077_T2,105,0.5885714285714286,0.3554512318607048,True,False,35.23809523809524,False,0-1
A077,T3,A077_T3,105,0.5904761904761906,0.333958597241038,True,False,32.38095238095238,False,0-1
A077,T4,A077_T4,105,0.6076190476190477,0.34577593573357057,True,False,40.0,False,0-1
A078,T1,A078_T1,105,0.45142857142857146,0.29084909709144974,True,False,15.238095238095239,False,0-1
A078,T2,A078_T2,105,0.4476190476190477,0.27258733439997435,True,False,12.380952380952381,False,0-1
A078,T3,A078_T3,105,0.35238095238095246,0.2626223934510348,True,False,10.476190476190476,False,0-1
A078,T4,A078_T4,105,0.3542857142857143,0.208864764371395,True,False,2.857142857142857,False,0-1
