UID,test,LocationType,theta,se,TSVR_hours,Segment,Days_within,theta_model_averaged
A085,1,Source,-0.11570579,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A085,2,Source,1.1474876,0.5,24.51,Early,1.02125,0.15228523400751912
A085,3,Source,-0.103653476,0.5,71.4,Late,0.7300000000000001,-0.12582459228949067
A085,4,Source,-0.4273231,0.5,170.65,Late,4.865416666666667,-0.4319533097461949
A086,1,Source,0.7650894,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A086,2,Source,0.30255273,0.5,23.47,Early,0.9779166666666668,0.1607151887162979
A086,3,Source,-1.0298048,0.5,145.29,Late,3.80875,-0.375342871989363
A086,4,Source,-0.8856172,0.5,169.55,Late,4.819583333333334,-0.4297567168291233
A087,1,Source,-0.14446898,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A087,2,Source,0.79339594,0.5,31.07,Early,1.2945833333333334,0.10201081333604249
A087,3,Source,0.07429415,0.5,72.8,Late,0.7883333333333331,-0.1321374598997579
A087,4,Source,0.63730603,0.5,144.2,Late,3.763333333333333,-0.372634381920406
A088,1,Source,1.3610681,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A088,2,Source,1.6403587,0.5,24.25,Early,1.0104166666666667,0.15439272268471382
A088,3,Source,1.0740212,0.5,74.91,Late,0.8762499999999998,-0.14144467670964897
A088,4,Source,1.2408419,0.5,149.93,Late,4.002083333333334,-0.38663384582963206
A089,1,Source,0.95078164,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
A089,2,Source,1.0349191,0.5,32.14,Early,1.3391666666666666,0.09436681999310378
A089,3,Source,0.30402267,0.5,79.34,Late,1.0608333333333333,-0.16043907857664483
A089,4,Source,-0.14708613,0.5,146.96,Late,3.878333333333334,-0.3794667279015234
A090,1,Source,-0.23930658,0.5,1.0,Early,0.0416666666666666,0.4188171096040857
