UID,TEST,LocationType,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A055,T2,Destination,23.24,0.75660616,-0.5764433,0.89496018657492,-0.5998305045173762,-0.6063318950984742
A055,T3,Destination,74.48,0.83208466,-0.43680644,0.9869358637587282,-0.4526414886725222,-0.5465480533086505
A055,T4,Destination,149.21,0.1528813,-0.3534355,0.15928045219758333,-0.3647614933141306,-0.25875818706089265
A056,T1,Destination,1.0,0.7468591,0.23411365,0.8830827321468218,0.25456481600692205,-0.10340807801515248
A056,T2,Destination,33.61,-0.7365116,-0.46979463,-0.924505185566429,-0.4874138204236304,-0.020897698426491307
A056,T3,Destination,71.46,-0.72254777,0.10543604,-0.9074893105777955,0.11892777305731728,0.32874587643204023
A056,T4,Destination,147.84,-0.8596302,-0.68625605,-1.0745335593274656,-0.7155823955275078,-0.1114450257049392
A057,T1,Destination,1.0,-1.0518757,-0.18430327,-1.308797754403412,-0.18648187229325186,0.26481390747085354
A057,T2,Destination,24.78,-0.60083723,-0.13640554,-0.7591767535329818,-0.13599362914668914,0.13733969647921207
A057,T3,Destination,73.83,-0.51274824,-1.1143383,-0.6518343380413157,-1.1668171560209102,-0.49600314616595326
A057,T4,Destination,145.06,-0.13473281,-1.8609331,-0.19119686962079283,-1.9537909811762857,-1.0876912319308207
A058,T1,Destination,1.0,1.7332748,0.30534035,2.0850972394865304,0.3296437591661757,-0.40285351133229197
A058,T2,Destination,22.96,-0.17271782,-0.8726649,-0.23748418345961744,-0.9120730297072724,-0.4654185123222412
A058,T3,Destination,66.28,0.67109835,-0.4743847,0.7907631141734492,-0.4922521409498796,-0.513672426931959
A058,T4,Destination,143.48,-0.9756075,-1.3673245,-1.2158597741495631,-1.433485926718915,-0.4908066872091546
A059,T1,Destination,1.0,1.5626048,0.26070774,1.877124256120929,0.2825972276093419,-0.370954753389309
A059,T2,Destination,30.4,0.07206453,-1.7803308,0.06079973055422694,-1.8688293656556294,-1.1099973609622809
A059,T3,Destination,79.78,2.0409064,-1.1945233,2.4599672320425348,-1.2513389021810546,-1.4342687133102432
A059,T4,Destination,151.93,-0.5772869,-0.9576993,-0.7304790773781542,-1.0017064520640746,-0.37700551273086513
A060,T1,Destination,1.0,-0.1530542,1.1205553,-0.2135227273444976,1.188949004160312,0.7561216984454554
A060,T2,Destination,24.87,0.33590585,0.99378914,0.3823082936029075,1.05532679056405,0.5078060408799279
A060,T3,Destination,94.68,0.16965349,1.2311963,0.17971850453176452,1.3055739404564337,0.7119830149707703
A060,T4,Destination,143.91,-0.7229297,1.6289663,-0.9079547182155574,1.7248570354258252,1.2678021607608578
A061,T1,Destination,1.0,2.0403898,2.2966886,2.4593377198657804,2.4286926000085747,0.7174800214978214
A061,T2,Destination,35.16,0.77201295,1.9969625,0.9137344062994605,2.112756036539471,0.9742475759083504
A061,T3,Destination,82.55,1.5962133,1.1333011,1.9180784953629917,1.2023841512851852,0.15511020482301685
A061,T4,Destination,146.56,0.7794881,1.2504314,0.9228433841315655,1.325849356551277,0.5115724810078142
A062,T1,Destination,1.0,0.75087893,0.51519597,0.8879811679452783,0.5508492644841244,0.06841854500482808
A062,T2,Destination,44.69,1.0081036,-0.18536384,1.201426893703363,-0.187599802433865,-0.45285546551801725
A062,T3,Destination,92.72,-0.41625023,-0.94058126,-0.5342449607134688,-0.9836625955866886,-0.42250792070183646
A062,T4,Destination,149.18,-0.7022192,-1.6496172,-0.882717567738067,-1.7310462176992953,-0.7599365268642531
A063,T1,Destination,1.0,0.42942187,0.05842032,0.4962639136408594,0.0693692427664097,-0.10119442075023258
A063,T2,Destination,21.98,0.9230828,-0.22587404,1.0978232760545075,-0.23030096650815174,-0.4482280088509172
A063,T3,Destination,69.99,-1.0528466,-0.6147864,-1.3099808619767972,-0.6402473625979777,-0.00014689362993786093
A063,T4,Destination,141.09,-0.95782745,-0.9946281,-1.1941935759724402,-1.040632518779779,-0.26730952318183104
A064,T1,Destination,1.0,0.37014112,1.0055289,0.4240262946471852,1.0677014867628531,0.5031247865277231
A064,T2,Destination,37.65,0.15088972,-0.5609506,0.15685357674078798,-0.5834998933465179,-0.38595267325341087
A064,T3,Destination,82.99,0.4945773,-0.33990285,0.5756602291009204,-0.35049693999151316,-0.3693521891540589
A064,T4,Destination,156.21,-1.064075,0.83374274,-1.3236634297767758,0.8866243999093775,0.8964629205500552
A065,T1,Destination,1.0,-0.9370374,-0.0420574,-1.1688594884185644,-0.036542740080632324,0.31250569151416924
A065,T2,Destination,32.31,-0.42273253,-0.5968943,-0.5421440834068001,-0.6213875816604967,-0.20844375301807128
