UID,TEST,LocationType,theta_accuracy,TSVR_hours,theta_confidence,Z_accuracy,Z_confidence,calibration
A023,T3,Source,0.6582759,72.2,0.37949002,0.79112565722023,0.419211147547953,-0.37191450967227696
A023,T4,Source,-0.32591987,145.07,0.41859582,-0.3524397700208326,0.46090597553035323,0.8133457455511859
A024,T1,Source,0.31113845,1.0,0.3095075,0.38777665042595866,0.34459538382045285,-0.04318126660550581
A024,T2,Source,0.54446435,29.57,0.8890116,0.6588847375089844,0.9624659750011884,0.303581237492204
A024,T3,Source,-0.2945651,91.47,0.17760481,-0.31600775919122376,0.2039599801216192,0.519967739312843
A024,T4,Source,-1.4681152,145.65,-0.7411242,-1.679589439180858,-0.7755941533928665,0.9039952857879914
A025,T1,Source,1.0412298,1.0,1.5201635,1.236090829410648,1.6354037464127185,0.3993129170020704
A025,T2,Source,1.480383,23.33,0.80029917,1.7463555877953338,0.8678802739350878,-0.878475313860246
A025,T3,Source,0.13729797,72.94,0.34703553,0.18578638706301878,0.3846079843904029,0.1988215973273841
A025,T4,Source,-0.3094319,137.74,-1.2910038,-0.3332819225354814,-1.3618789329659984,-1.0285970104305169
A026,T1,Source,0.8561924,1.0,0.30597228,1.0210905420322787,0.3408261120045089,-0.6802644300277698
A026,T2,Source,-0.1953155,26.48,0.1270002,-0.20068678882421584,0.15000505504486727,0.35069184386908314
A026,T3,Source,0.7336966,75.46,0.4475891,0.8787591419875136,0.49181877675793484,-0.38694036522957875
A026,T4,Source,-0.42854974,147.65,0.34728104,-0.47168837351182785,0.3848697485588372,0.8565581220706651
A027,T1,Source,0.59530455,1.0,0.9088447,0.7179574309772981,0.9836121398375487,0.26565470886025055
A027,T2,Source,0.7602098,28.26,0.55407584,0.9095655931120981,0.6053555489683632,-0.30421004414373487
A027,T3,Source,-0.47716057,74.58,-0.25326005,-0.5281706977322344,-0.255430601872891,0.27274009585934333
A027,T4,Source,-0.4226555,145.92,-1.0227153,-0.4648396861984681,-1.0758281973422252,-0.6109885111437572
A028,T1,Source,1.1920228,1.0,0.93658507,1.4113015615904474,1.0131890812456807,-0.39811248034476665
A028,T2,Source,-0.37323314,22.82,0.41178814,-0.4074144218847822,0.4536475881157184,0.8610620100005006
A028,T3,Source,0.4525285,72.26,-0.2597355,0.5520618240310893,-0.2623347637583052,-0.8143965877893945
A028,T4,Source,-1.4747403,138.91,-0.7819806,-1.6872873337897878,-0.8191554811237948,0.868131852665993
A029,T1,Source,1.4011933,1.0,1.6593924,1.6543427933148298,1.78385039718265,0.12950760386782023
A029,T2,Source,0.22787775,28.43,1.3603114,0.2910336437293439,1.4649685216602413,1.1739348779308973
A029,T3,Source,1.1538624,93.26,0.9016798,1.3669618931424823,0.9759728824125351,-0.3909890107299472
A029,T4,Source,-0.056302976,143.14,0.25560948,-0.0391641311928805,0.2871290061349954,0.3262931373278759
A030,T1,Source,0.77168596,1.0,0.34983945,0.9229000741305308,0.3875975399570046,-0.5353025341735262
A030,T2,Source,1.0246594,32.95,1.079581,1.2168372041328688,1.1656521609815085,-0.0511850431513603
A030,T3,Source,0.54660773,71.93,-0.025663225,0.6613751924978732,-0.012765563241398305,-0.6741407557392716
A030,T4,Source,1.3088306,150.46,1.0084872,1.5470239105211776,1.0898515441519039,-0.4571723663692737
A031,T1,Source,1.2707294,1.0,1.7817703,1.5027530282592094,1.914330415219549,0.41157738696033963
A031,T2,Source,-0.06876846,32.41,0.496819,-0.05364813627677416,0.544307978157491,0.5979561144342651
A031,T3,Source,-0.23774107,71.56,-0.17503846,-0.24998228120678886,-0.17203029451286178,0.07795198669392708
A031,T4,Source,-1.0014096,143.85,-0.8072562,-1.1373107532444242,-0.8461044706381877,0.2912062826062365
A032,T1,Source,0.95065767,1.0,1.0985742,1.130852461499777,1.1859028196263983,0.05505035812662129
A032,T2,Source,-0.558087,57.18,-0.80952066,-0.6222014488479843,-0.8485188508624263,-0.22631740201444195
A032,T3,Source,0.03167592,80.16,0.06827313,0.06306108340282642,0.0873899165856011,0.02432883318277468
A032,T4,Source,1.2263699,144.51,0.2156567,1.451210446878576,0.24453112322456588,-1.20667932365401
