composite_ID,UID,test,congruence,theta_accuracy,se_accuracy,theta_confidence,se_confidence,TSVR_hours
A025_T3,A025,T3,Congruent,0.42811912,0.2061241640685505,-0.5638975,,72.94
A025_T3,A025,T3,Incongruent,-0.5307447,0.2365098342133737,-1.0377458,,72.94
A025_T4,A025,T4,Common,-0.2785447,0.1962873223365104,-1.417594,,137.74
A025_T4,A025,T4,Congruent,-0.46808136,0.2061241640685505,-1.0112624,,137.74
A025_T4,A025,T4,Incongruent,-1.0591911,0.2365098342133737,-1.9472052,,137.74
A026_T1,A026,T1,Common,0.46583936,0.1962873223365104,-0.36503953,,1.0
A026_T1,A026,T1,Congruent,0.8863477,0.2061241640685505,-0.3819697,,1.0
A026_T1,A026,T1,Incongruent,0.79825217,0.2365098342133737,-0.5305961,,1.0
A026_T2,A026,T2,Common,-0.6492574,0.1962873223365104,-0.4322403,,26.48
A026_T2,A026,T2,Congruent,0.90089154,0.2061241640685505,-0.47930023,,26.48
A026_T2,A026,T2,Incongruent,0.37958306,0.2365098342133737,-0.41408488,,26.48
A026_T3,A026,T3,Common,0.53066975,0.1962873223365104,-0.82322145,,75.46
A026_T3,A026,T3,Congruent,0.34505966,0.2061241640685505,-0.44024467,,75.46
A026_T3,A026,T3,Incongruent,0.5891306,0.2365098342133737,-0.2952491,,75.46
A026_T4,A026,T4,Common,-0.24492168,0.1962873223365104,-0.48267612,,147.65
A026_T4,A026,T4,Congruent,0.16592842,0.2061241640685505,-0.27736092,,147.65
A026_T4,A026,T4,Incongruent,-0.9533398,0.2365098342133737,-0.5032541,,147.65
A027_T1,A027,T1,Common,0.16586939,0.1962873223365104,-0.34756047,,1.0
A027_T1,A027,T1,Congruent,-0.20171066,0.2061241640685505,-0.2076202,,1.0
A027_T1,A027,T1,Incongruent,0.7571643,0.2365098342133737,-0.22527617,,1.0
A027_T2,A027,T2,Common,0.39497662,0.1962873223365104,-0.4481119,,28.26
A027_T2,A027,T2,Congruent,1.3977581,0.2061241640685505,-0.46383077,,28.26
A027_T2,A027,T2,Incongruent,0.6780212,0.2365098342133737,-0.3967447,,28.26
A027_T3,A027,T3,Common,-0.28117114,0.1962873223365104,-1.080568,,74.58
A027_T3,A027,T3,Congruent,-1.3093231,0.2061241640685505,-0.91895676,,74.58
A027_T3,A027,T3,Incongruent,-0.5856879,0.2365098342133737,-1.1700761,,74.58
A027_T4,A027,T4,Common,-0.5017699,0.1962873223365104,-1.1325653,,145.92
A027_T4,A027,T4,Congruent,-0.176613,0.2061241640685505,-1.7252904,,145.92
A027_T4,A027,T4,Incongruent,-0.2486425,0.2365098342133737,-1.2431318,,145.92
A028_T1,A028,T1,Common,1.5246681,0.1962873223365104,-0.054767232,,1.0
A028_T1,A028,T1,Congruent,1.7031448,0.2061241640685505,0.19452086,,1.0
A028_T1,A028,T1,Incongruent,1.369158,0.2365098342133737,0.027775345,,1.0
A028_T2,A028,T2,Common,-0.05649298,0.1962873223365104,-0.33236355,,22.82
A028_T2,A028,T2,Congruent,-1.2437313,0.2061241640685505,-0.57829607,,22.82
A028_T2,A028,T2,Incongruent,0.3490204,0.2365098342133737,-0.25811836,,22.82
A028_T3,A028,T3,Common,-0.29285774,0.1962873223365104,-0.65912193,,72.26
A028_T3,A028,T3,Congruent,0.33955434,0.2061241640685505,-0.7359198,,72.26
A028_T3,A028,T3,Incongruent,0.7839161,0.2365098342133737,-0.53546923,,72.26
A028_T4,A028,T4,Common,-0.8199109,0.1962873223365104,-0.63351375,,138.91
A028_T4,A028,T4,Congruent,-0.26649505,0.2061241640685505,-0.8922511,,138.91
A028_T4,A028,T4,Incongruent,-0.9181857,0.2365098342133737,-1.0116268,,138.91
A029_T1,A029,T1,Common,2.1297944,0.1962873223365104,0.13776043,,1.0
A029_T1,A029,T1,Congruent,2.0094688,0.2061241640685505,0.08558736,,1.0
A029_T1,A029,T1,Incongruent,2.0491304,0.2365098342133737,0.053527508,,1.0
A029_T2,A029,T2,Common,0.2633854,0.1962873223365104,-0.30871353,,28.43
A029_T2,A029,T2,Congruent,-1.0400926,0.2061241640685505,-0.24591371,,28.43
A029_T2,A029,T2,Incongruent,0.70584047,0.2365098342133737,-0.047662362,,28.43
A029_T3,A029,T3,Common,0.59773153,0.1962873223365104,-0.42374143,,93.26
A029_T3,A029,T3,Congruent,1.1122811,0.2061241640685505,-0.21559593,,93.26
A029_T3,A029,T3,Incongruent,1.139065,0.2365098342133737,-0.377799,,93.26
A029_T4,A029,T4,Common,0.7445269,0.1962873223365104,-0.3897824,,143.14
A029_T4,A029,T4,Congruent,0.76615715,0.2061241640685505,-0.23756483,,143.14
A029_T4,A029,T4,Incongruent,-0.03329531,0.2365098342133737,-0.76733285,,143.14
A030_T1,A030,T1,Common,0.26681468,0.1962873223365104,-0.56138754,,1.0
A030_T1,A030,T1,Congruent,-0.06886573,0.2061241640685505,-0.7866119,,1.0
A030_T1,A030,T1,Incongruent,0.5035225,0.2365098342133737,-0.4607326,,1.0
A030_T2,A030,T2,Common,0.6206771,0.1962873223365104,-0.32249522,,32.95
A030_T2,A030,T2,Congruent,1.0834099,0.2061241640685505,-0.33011407,,32.95
A030_T2,A030,T2,Incongruent,0.39696884,0.2365098342133737,-0.3564016,,32.95
A030_T3,A030,T3,Common,0.26908645,0.1962873223365104,-0.6964402,,71.93
A030_T3,A030,T3,Congruent,0.44725955,0.2061241640685505,-0.7536597,,71.93
A030_T3,A030,T3,Incongruent,0.04883193,0.2365098342133737,-0.6385999,,71.93
A030_T4,A030,T4,Common,0.2812115,0.1962873223365104,-0.47005928,,150.46
A030_T4,A030,T4,Congruent,0.5109756,0.2061241640685505,-0.54322547,,150.46
A030_T4,A030,T4,Incongruent,0.74509096,0.2365098342133737,-0.36523032,,150.46
A031_T1,A031,T1,Common,1.4706349,0.1962873223365104,0.049898673,,1.0
A031_T1,A031,T1,Congruent,0.50127923,0.2061241640685505,0.2692753,,1.0
A031_T1,A031,T1,Incongruent,1.6509279,0.2365098342133737,0.09475647,,1.0
A031_T2,A031,T2,Common,0.32438183,0.1962873223365104,-0.3403696,,32.41
A031_T2,A031,T2,Congruent,-0.14592373,0.2061241640685505,-0.017567897,,32.41
A031_T2,A031,T2,Incongruent,-0.64630777,0.2365098342133737,-0.30450672,,32.41
A031_T3,A031,T3,Common,0.38665065,0.1962873223365104,-0.6998162,,71.56
A031_T3,A031,T3,Congruent,-0.8554333,0.2061241640685505,-0.59132695,,71.56
A031_T3,A031,T3,Incongruent,-0.78419024,0.2365098342133737,-1.027827,,71.56
A031_T4,A031,T4,Common,-1.0031985,0.1962873223365104,-0.96404403,,143.85
A031_T4,A031,T4,Congruent,-0.5366472,0.2061241640685505,-1.4007759,,143.85
A031_T4,A031,T4,Incongruent,-1.1325623,0.2365098342133737,-1.3784822,,143.85
A032_T1,A032,T1,Common,0.82081884,0.1962873223365104,-0.22113344,,1.0
A032_T1,A032,T1,Congruent,-0.35136977,0.2061241640685505,-0.24172722,,1.0
A032_T1,A032,T1,Incongruent,0.72091097,0.2365098342133737,-0.23351078,,1.0
A032_T2,A032,T2,Common,-0.60881156,0.1962873223365104,-0.595588,,57.18
A032_T2,A032,T2,Congruent,0.803311,0.2061241640685505,-0.61153746,,57.18
A032_T2,A032,T2,Incongruent,-1.2736943,0.2365098342133737,-0.62136596,,57.18
A032_T3,A032,T3,Common,0.47702068,0.1962873223365104,-0.7790153,,80.16
A032_T3,A032,T3,Congruent,0.8270539,0.2061241640685505,-0.4454148,,80.16
A032_T3,A032,T3,Incongruent,-0.1421679,0.2365098342133737,-0.37818873,,80.16
A032_T4,A032,T4,Common,1.7664504,0.1962873223365104,-0.6906261,,144.51
A032_T4,A032,T4,Congruent,1.7046412,0.2061241640685505,-0.17751563,,144.51
A032_T4,A032,T4,Incongruent,1.6007003,0.2365098342133737,-0.45590672,,144.51
A033_T1,A033,T1,Common,-0.4666309,0.1962873223365104,-0.3509539,,1.0
A033_T1,A033,T1,Congruent,-0.43331796,0.2061241640685505,-0.45722213,,1.0
A033_T1,A033,T1,Incongruent,0.4552093,0.2365098342133737,-0.18282865,,1.0
A033_T2,A033,T2,Common,-0.5709601,0.1962873223365104,-0.501959,,29.16
A033_T2,A033,T2,Congruent,0.6877826,0.2061241640685505,-0.52812696,,29.16
A033_T2,A033,T2,Incongruent,0.13419229,0.2365098342133737,-0.7299611,,29.16
A033_T3,A033,T3,Common,0.934703,0.1962873223365104,-0.16663325,,72.6
A033_T3,A033,T3,Congruent,0.84835505,0.2061241640685505,-0.31753787,,72.6
A033_T3,A033,T3,Incongruent,0.67858124,0.2365098342133737,-0.17893906,,72.6
A033_T4,A033,T4,Common,-0.24082223,0.1962873223365104,-0.49842402,,168.33
A033_T4,A033,T4,Congruent,-0.1874351,0.2061241640685505,-0.80483,,168.33
A033_T4,A033,T4,Incongruent,-0.3395916,0.2365098342133737,-0.52563524,,168.33
A034_T1,A034,T1,Common,1.3387271,0.1962873223365104,-0.14991783,,1.0
A034_T1,A034,T1,Congruent,1.1752179,0.2061241640685505,0.16399635,,1.0
A034_T1,A034,T1,Incongruent,1.218904,0.2365098342133737,-0.07332657,,1.0
A034_T2,A034,T2,Common,1.1189219,0.1962873223365104,0.09972168,,26.08
A034_T2,A034,T2,Congruent,0.8730519,0.2061241640685505,0.0878398,,26.08
A034_T2,A034,T2,Incongruent,1.4714065,0.2365098342133737,-0.11480117,,26.08
A034_T3,A034,T3,Common,-0.46482885,0.1962873223365104,-0.34408543,,74.28
A034_T3,A034,T3,Congruent,-0.32315242,0.2061241640685505,-0.38711584,,74.28
A034_T3,A034,T3,Incongruent,0.68295676,0.2365098342133737,-0.18118839,,74.28
A034_T4,A034,T4,Common,0.049237438,0.1962873223365104,-0.40043807,,145.38
A034_T4,A034,T4,Congruent,0.09952562,0.2061241640685505,-0.73347974,,145.38
A034_T4,A034,T4,Incongruent,-0.03220581,0.2365098342133737,-0.88080823,,145.38
A035_T1,A035,T1,Common,-0.80652094,0.1962873223365104,-0.58748883,,1.0
A035_T1,A035,T1,Congruent,-0.9139977,0.2061241640685505,-0.6873689,,1.0
A035_T1,A035,T1,Incongruent,0.0068166982,0.2365098342133737,-0.39313075,,1.0
A035_T2,A035,T2,Common,1.1643237,0.1962873223365104,-0.30964813,,44.76
A035_T2,A035,T2,Congruent,0.81915426,0.2061241640685505,-0.35464787,,44.76
