composite_ID,UID,test,residual
A075_2,A075,T2,0.6078170189616655
A075_3,A075,T3,-1.1112581246874915
A075_4,A075,T4,0.2760866824340613
A076_1,A076,T1,-0.0389828923580118
A076_2,A076,T2,0.1244205539164461
A076_3,A076,T3,0.0453158381624891
A076_4,A076,T4,-1.013284465331485
A077_1,A077,T1,0.1589363976302698
A077_2,A077,T2,-0.4824832457478903
A077_3,A077,T3,0.0677552964238727
A077_4,A077,T4,0.640168444584406
A078_1,A078,T1,-0.1722392978643973
A078_2,A078,T2,0.3692282564571844
A078_3,A078,T3,-0.3995746903213596
A078_4,A078,T4,-0.1721743016614949
A079_1,A079,T1,0.1963324043471858
A079_2,A079,T2,-0.1795546384085225
A079_3,A079,T3,-0.3559083537634159
A079_4,A079,T4,0.0281701742214054
A080_1,A080,T1,-0.3344812656744599
A080_2,A080,T2,0.2085497652953812
A080_3,A080,T3,0.5110033057352137
A080_4,A080,T4,-0.3555264476311463
A081_1,A081,T1,-0.3918275448602223
A081_2,A081,T2,-0.6204724993637366
A081_3,A081,T3,0.8933619069708554
A081_4,A081,T4,0.3835201587000929
A082_1,A082,T1,-0.5871163982295371
A082_2,A082,T2,0.6546907171649345
A082_3,A082,T3,0.238233845750495
A082_4,A082,T4,0.0469236127719972
A083_1,A083,T1,0.6585610414546197
A083_2,A083,T2,0.1585717540960017
A083_3,A083,T3,-0.1447668765257204
A083_4,A083,T4,-0.1516796491310977
A084_1,A084,T1,-0.2836935710453407
A084_2,A084,T2,-0.5301424657518223
A084_3,A084,T3,0.3227932145421915
A084_4,A084,T4,0.4931477540059477
A085_1,A085,T1,-0.6250136470825405
A085_2,A085,T2,1.290756595380833
A085_3,A085,T3,-0.1973414187386171
A085_4,A085,T4,-0.2354318701175953
A086_1,A086,T1,0.5623334085936632
A086_2,A086,T2,-0.2123489915120807
A086_3,A086,T3,-0.3280914592035691
A086_4,A086,T4,-0.2957634811586181
A087_1,A087,T1,0.036878814478368
A087_2,A087,T2,0.5641565077878178
A087_3,A087,T3,-0.4770678850092939
A087_4,A087,T4,0.2860162329240533
A088_1,A088,T1,0.091036861842261
A088_2,A088,T2,1.179924680410312
A088_3,A088,T3,-0.5900359438469345
A088_4,A088,T4,0.418311621522798
A089_1,A089,T1,0.2316843752477975
A089_2,A089,T2,0.1866472399748903
A089_3,A089,T3,0.0690334536319052
A089_4,A089,T4,0.1350913848231508
A090_1,A090,T1,0.1666338700981396
A090_2,A090,T2,-0.0565141446431822
A090_3,A090,T3,-0.6083964935625719
A090_4,A090,T4,-0.0440838704622321
A091_1,A091,T1,0.3212736272637246
A091_2,A091,T2,-0.1038320315810575
A091_3,A091,T3,-0.5149616817597139
A091_4,A091,T4,0.0058510796731826
A092_1,A092,T1,-0.3178984738234509
A092_2,A092,T2,-0.3393178478893361
