composite_ID,UID,test_num,TSVR_hours,theta_what_acc,theta_where_acc,theta_What_conf,theta_Where_conf
A058_3,A058,3,66.28,-0.33693078,0.050771274,-0.5491983,-0.8918688
A058_4,A058,4,143.48,-0.94237626,-1.0194858,-1.1876487,-1.1060226
A059_1,A059,1,1.0,1.0408934,0.8121099,-0.73470205,-0.55872375
A059_2,A059,2,30.4,1.4646933,1.1245613,-0.4889424,-0.543509
A059_3,A059,3,79.78,1.2263882,1.553987,-0.76569885,-0.7414035
A059_4,A059,4,151.93,0.31380215,0.44093394,-0.7211721,-0.7605379
A060_1,A060,1,1.0,0.076296605,-0.18527703,-0.6521186,-0.7345365
A060_2,A060,2,24.87,1.238489,1.1582936,-0.32915124,-0.52909
A060_3,A060,3,94.68,-0.14499544,-0.6168478,-0.52048606,-0.24922341
A060_4,A060,4,143.91,0.22517887,0.17548531,-0.10856633,-0.16883858
A061_1,A061,1,1.0,2.5348673,2.4665449,0.07041081,0.28313136
A061_2,A061,2,35.16,1.0422542,0.91655695,-0.22703744,0.017001087
A061_3,A061,3,82.55,0.12469013,0.4243972,-0.27437422,-0.24850823
A061_4,A061,4,146.56,-0.31471238,-0.2831631,-0.27913383,-0.35313225
A062_1,A062,1,1.0,1.241772,1.5600666,-0.025706012,-0.430132
A062_2,A062,2,44.69,0.4567172,0.1418573,-0.8947107,-0.64850175
A062_3,A062,3,92.72,-0.8347038,-0.45045272,-1.1198639,-0.8085027
A062_4,A062,4,149.18,-0.5505843,-0.56087077,-1.6989232,-1.3478737
A063_1,A063,1,1.0,0.7833641,0.9488983,-1.0210048,-1.3478978
A063_2,A063,2,21.98,0.50485903,0.7603441,-1.7673504,-2.0114355
A063_3,A063,3,69.99,0.36549178,0.14207737,-2.1477082,-2.317177
A063_4,A063,4,141.09,-0.6113484,-0.39704204,-2.477313,-1.8540944
A064_1,A064,1,1.0,1.0437275,0.6850892,-0.4705508,-0.21037821
A064_2,A064,2,37.65,0.62713385,0.5197236,-0.43880627,-0.7588211
A064_3,A064,3,82.99,0.41516995,0.03945113,-0.6070419,-1.0215553
A064_4,A064,4,156.21,-0.070843264,-0.45727742,-0.55356926,-0.7785181
A065_1,A065,1,1.0,-2.1746836,-2.1264358,-0.7599667,-0.64995366
A065_2,A065,2,32.31,-1.1918952,-0.8308915,-1.4849308,-1.3680072
A065_3,A065,3,106.41,-1.9587346,-2.107138,-2.2474854,-1.9698241
A065_4,A065,4,187.43,-2.4718368,-2.2702193,-1.7795594,-2.057982
A066_1,A066,1,1.0,0.5877305,0.4814991,-0.81996965,-0.5925036
A066_2,A066,2,23.35,-0.24346694,-0.52560335,-0.46592626,-0.80298775
A066_3,A066,3,73.79,-0.82052904,-0.813506,-0.8389682,-0.7284924
A066_4,A066,4,164.93,-1.2888547,-1.2912297,-1.3690192,-1.3858626
A067_1,A067,1,1.0,0.88467497,0.5986335,-0.47319022,-0.7475646
A067_2,A067,2,29.91,-1.1704557,-1.3370378,-1.5407175,-1.2339615
A067_3,A067,3,73.19,-1.4594061,-1.4671184,-1.3362082,-1.2788206
A067_4,A067,4,144.19,-1.1524973,-1.208704,-1.2376945,-1.7866027
A068_1,A068,1,1.0,1.5781611,1.186578,0.043350097,-0.06365305
A068_2,A068,2,30.49,0.14502825,0.117177755,-0.38292572,-0.010693989
A068_3,A068,3,82.98,0.23438412,0.610876,-0.39800465,-0.3387619
A068_4,A068,4,155.59,-0.37933305,-0.36081517,-0.7517871,-0.6417966
A069_1,A069,1,1.0,-0.41606086,-0.96561235,-0.9856775,-0.6827684
A069_2,A069,2,24.96,-1.4017547,-1.4912251,-1.4256461,-1.4523125
A069_3,A069,3,79.75,-0.28530526,-0.81586957,-1.7863635,-2.1103454
A069_4,A069,4,140.22,-1.4135531,-1.6760168,-1.3407162,-1.4253707
A070_1,A070,1,1.0,0.5219151,0.66849816,-0.29940233,-0.56214064
A070_2,A070,2,24.25,0.19770284,0.25979045,-0.38949186,-0.66862917
A070_3,A070,3,81.92,-0.34628716,-0.5671378,-0.965894,-1.2401359
A070_4,A070,4,149.2,-0.6466961,-1.2078129,-1.3122176,-1.4741727
A071_1,A071,1,1.0,0.8269955,1.1825029,-0.03096188,-0.20272009
A071_2,A071,2,30.92,0.52419287,0.37755665,-0.709585,-0.8167532
A071_3,A071,3,79.96,-1.1711217,-0.6371901,-1.4961342,-0.9436975
A071_4,A071,4,153.27,0.10002842,0.19446951,-0.97358733,-0.9248061
A072_1,A072,1,1.0,0.81125784,0.9963321,-0.007103957,-0.06567177
A072_2,A072,2,33.76,0.4618086,0.3808361,-0.044950858,-0.19989994
A072_3,A072,3,83.54,-1.1341089,-0.72129774,-0.5401528,-0.6804046
A072_4,A072,4,154.89,-0.5302154,-0.058391795,-0.7525621,-0.8203476
A073_1,A073,1,1.0,0.6544795,0.8587265,-0.83740723,-0.9430426
A073_2,A073,2,66.66,-0.7580057,-0.20244986,-1.1371781,-0.90134287
A073_3,A073,3,66.9,-0.30615124,0.21029665,-1.0209675,-0.81500846
A073_4,A073,4,140.12,0.90156066,0.9916159,-1.0217786,-1.2174141
A074_1,A074,1,1.0,0.9347626,1.0983253,-0.18597467,-0.31399783
A074_2,A074,2,29.33,-0.76089525,0.24436297,-0.53408575,-0.6636127
A074_3,A074,3,73.02,-1.1451392,-0.60411704,-0.86386716,-0.84206283
A074_4,A074,4,147.21,-1.2613695,-0.96847135,-0.7869516,-0.7249949
A075_1,A075,1,1.0,0.25188833,0.7470089,-0.61729574,-0.59508604
A075_2,A075,2,28.68,0.108092144,0.6729385,-0.6755973,-0.4867723
A075_3,A075,3,71.37,-1.198156,-1.4312079,-1.5873282,-1.6831306
A075_4,A075,4,244.53,-0.75654626,-0.60777307,-1.1416014,-0.78669363
A076_1,A076,1,1.0,-0.48276085,-0.44263244,-0.84134424,-0.7429717
A076_2,A076,2,27.3,-0.47757313,-0.7997155,-0.8928892,-1.1343815
A076_3,A076,3,74.88,-1.4173888,-0.8135321,-1.2276068,-1.0241452
A076_4,A076,4,149.28,-2.3509033,-2.3054538,-1.6442255,-1.6557899
A077_1,A077,1,1.0,1.3145027,1.0192841,-0.29585537,-0.16781874
A077_2,A077,2,53.88,-0.046640176,-0.15604849,-0.53061026,-0.8854789
A077_3,A077,3,78.36,0.09669988,0.16106999,-0.7001903,-0.8848828
A077_4,A077,4,149.75,0.63073874,0.6083534,-0.4655254,-0.53065467
A078_1,A078,1,1.0,0.023597341,0.07454012,-1.0185794,-0.9550609
A078_2,A078,2,26.17,0.099462025,0.16946432,-0.9904335,-0.99789536
A078_3,A078,3,72.3,-0.7596743,-1.0444946,-1.0203165,-1.1255918
A078_4,A078,4,140.08,-0.65401506,-1.1616063,-1.7117021,-1.4358822
A079_1,A079,1,1.0,0.13202901,0.53766596,-0.71846724,-0.5103471
A079_2,A079,2,26.11,-0.5799095,-0.3025957,-0.4687813,-0.40154326
A079_3,A079,3,74.0,-1.0114949,-0.8762622,-0.7912571,-0.8309282
A079_4,A079,4,194.42,-0.5881184,-0.9346913,-1.1430237,-0.89567983
A080_1,A080,1,1.0,0.43105462,0.38280243,-0.3331419,-0.27479762
A080_2,A080,2,29.03,0.4199076,0.5524726,-0.52528346,-0.36208493
A080_3,A080,3,72.87,0.3975454,0.37515318,-0.8356168,-0.54912174
A080_4,A080,4,145.77,-0.8417055,-0.64538527,-1.1089727,-0.8352316
A081_1,A081,1,1.0,0.41316152,0.50441945,-0.32426777,-0.5029323
A081_2,A081,2,31.39,-0.49664956,-0.18483032,-0.46589303,-0.8535191
A081_3,A081,3,80.13,0.96994483,1.1800628,-0.40189904,-0.7832085
A081_4,A081,4,154.53,0.04104539,0.33096862,-0.7679094,-0.5388373
A082_1,A082,1,1.0,0.70349485,0.35655326,-0.3075968,-0.48643523
A082_2,A082,2,27.97,1.0411574,1.3607811,-0.5080273,-0.4182891
A082_3,A082,3,75.71,0.26939318,0.3973795,-0.69216347,-0.62079847
A082_4,A082,4,170.25,0.099159405,-0.14018959,-1.0564356,-0.9672931
A083_1,A083,1,1.0,1.716006,2.0168736,-0.10635004,-0.09583326
A083_2,A083,2,25.15,0.627722,1.00285,-0.6589626,-0.41169494
A083_3,A083,3,74.3,-0.03808578,0.36194983,-0.7292993,-0.4612502
A083_4,A083,4,144.91,-0.45677182,0.24137302,-0.6611885,-0.7098516
A084_1,A084,1,1.0,0.27613997,0.5691112,-1.6331187,-1.2836237
A084_2,A084,2,27.25,-1.0235722,-0.18040624,-1.7653933,-1.2449703
A084_3,A084,3,91.97,-0.04605442,0.03166853,-1.3211712,-1.1464479
A084_4,A084,4,162.51,-0.27272734,-0.0047476077,-1.9710993,-1.4459121
A085_1,A085,1,1.0,0.11177244,0.2899799,-0.16988859,-0.4113594
A085_2,A085,2,24.51,1.5030562,1.4209598,-0.06407394,-0.079419106
A085_3,A085,3,71.4,-0.12060891,0.025584096,-0.29939044,-0.29603952
A085_4,A085,4,170.65,-0.5840122,-0.3731264,-0.9037909,-0.50886494
A086_1,A086,1,1.0,0.67570555,0.97849166,-0.42006263,-0.22390528
A086_2,A086,2,23.47,-0.8055431,-0.18614894,-0.17667152,-0.34955737
A086_3,A086,3,145.29,-1.0776986,-0.9601963,-0.756651,-0.8755129
A086_4,A086,4,169.55,-0.74143744,-1.1614163,-0.81732196,-1.047874
A087_1,A087,1,1.0,1.2110579,1.2821014,0.04956661,-0.14499468
A087_2,A087,2,31.07,0.91695786,1.1883459,-0.28434318,-0.29225552
A087_3,A087,3,72.8,-0.11189697,-0.2785365,-0.3399625,-0.54559875
A087_4,A087,4,144.2,0.37117374,0.2586514,-0.31418985,-0.36088088
A088_1,A088,1,1.0,1.4964592,2.1475084,-0.48985383,-0.35632056
A088_2,A088,2,24.25,2.3701851,2.4879174,-0.3874051,-0.13363272
A088_3,A088,3,74.91,0.24273601,0.62272197,-0.47999272,-0.53788346
A088_4,A088,4,149.93,1.3775116,1.1072929,-0.21584226,-0.45594898
A089_1,A089,1,1.0,1.3879722,1.5649729,-0.24243428,-0.26589176
A089_2,A089,2,32.14,0.98157203,1.0718217,-0.2085569,-0.35867476
A089_3,A089,3,79.34,0.18005185,0.5249375,-0.5054164,-0.75181556
A089_4,A089,4,146.96,0.12621939,0.3508756,-0.49625972,-0.78483397
A090_1,A090,1,1.0,0.5685513,0.099213794,-1.6694237,-1.4756273
A090_2,A090,2,23.54,-1.004835,-0.24209194,-1.231995,-1.2440255
A090_3,A090,3,95.42,-1.9035667,-1.0358795,-2.343972,-2.1642137
A090_4,A090,4,144.07,-1.0069829,-1.1617507,-2.383801,-2.0109892
A091_1,A091,1,1.0,0.6446007,0.7014804,-0.31102517,-0.57862794
A091_2,A091,2,22.2,-0.23618999,-0.13521343,-0.6510467,-0.6094017
A091_3,A091,3,73.64,-1.0844674,-0.8887421,-1.295363,-0.8494066
A091_4,A091,4,142.61,-0.22201028,-0.9598613,-0.6915264,-0.41715935
A092_1,A092,1,1.0,-0.45725018,-0.13686992,-0.39631176,-0.5499598
A092_2,A092,2,22.83,-0.707106,-0.70090806,-0.874028,-0.3638656
A092_3,A092,3,71.31,-0.27878723,-0.4578089,-1.0167565,-0.6071679
A092_4,A092,4,146.16,-1.5835248,-1.1760907,-1.5746155,-0.90732133
A093_1,A093,1,1.0,0.40196308,0.44534478,-0.31084672,-0.29207903
A093_2,A093,2,22.09,0.31625798,0.28671375,-1.5315979,-1.7473596
A093_3,A093,3,70.22,0.895297,0.56649524,-2.2868278,-2.0665236
