UID,test_num,TSVR_hours,TSVR_hours_c,domain,measure,theta
A013,4,147.13,82.17674999999998,where,accuracy,-0.42889243
A014,1,1.0,-63.95325000000001,where,accuracy,0.840902
A014,2,25.66,-39.293250000000015,where,accuracy,1.7318953
A014,3,70.56,5.606749999999991,where,accuracy,0.22653097
A014,4,148.87,83.91675,where,accuracy,-0.64632875
A015,1,1.0,-63.95325000000001,where,accuracy,1.7240337
A015,2,23.69,-41.26325000000001,where,accuracy,1.980908
A015,3,70.59,5.636749999999992,where,accuracy,1.7067914
A015,4,146.54,81.58674999999998,where,accuracy,0.8411193
A016,1,1.0,-63.95325000000001,where,accuracy,1.42478
A016,2,32.85,-32.10325000000001,where,accuracy,0.5182861
A016,3,80.64,15.68674999999999,where,accuracy,0.08904186
A016,4,150.8,85.84675,where,accuracy,-1.0289922
A017,1,1.0,-63.95325000000001,where,accuracy,0.014488589
A017,2,20.61,-44.34325000000001,where,accuracy,0.9758614
A017,3,61.28,-3.67325000000001,where,accuracy,0.13619477
A017,4,140.49,75.53675,where,accuracy,-0.036762077
A018,1,1.0,-63.95325000000001,where,accuracy,0.33654568
A018,2,34.03,-30.92325000000001,where,accuracy,0.034030903
A018,3,83.64,18.68674999999999,where,accuracy,-0.6435525
A018,4,150.87,85.91675,where,accuracy,-0.09666681
A019,1,1.0,-63.95325000000001,where,accuracy,-0.6979575
A019,2,28.69,-36.26325000000001,where,accuracy,-1.2111
A019,3,83.68,18.726749999999996,where,accuracy,-1.4745452
A019,4,154.76,89.80674999999998,where,accuracy,-1.8336661
A020,1,1.0,-63.95325000000001,where,accuracy,-0.079359196
A020,2,26.85,-38.10325000000001,where,accuracy,-0.15119976
A020,3,78.25,13.296749999999989,where,accuracy,-0.95550704
A020,4,145.78,80.82674999999999,where,accuracy,-2.1095285
A021,1,1.0,-63.95325000000001,where,accuracy,1.2243092
A021,2,30.21,-34.74325000000001,where,accuracy,0.61569417
A021,3,74.19,9.236749999999986,where,accuracy,0.43332618
A021,4,140.39,75.43674999999998,where,accuracy,0.7931139
A022,1,1.0,-63.95325000000001,where,accuracy,-0.02021975
A022,2,24.15,-40.80325000000001,where,accuracy,0.49875164
A022,3,74.46,9.506749999999982,where,accuracy,0.051550657
