UID,Age,RAVLT_T,BVMT_T,NART_T,RPM_T,RAVLT_Pct_Ret_T,BVMT_Pct_Ret_T,theta_all,Age_c,RAVLT_c,BVMT_c,NART_c,RPM_c,RAVLT_Pct_Ret_c,BVMT_Pct_Ret_c,Age_c_x_RAVLT_c,Age_c_x_BVMT_c,Age_c_x_NART_c,Age_c_x_RPM_c,Age_c_x_RAVLT_Pct_Ret_c,Age_c_x_BVMT_Pct_Ret_c
A048,38,49.23390047734039,57.47270927336,52.45397223579189,61.0581079353304,46.1311962434202,53.648494608380034,0.3138050999999999,-6.57,-0.7660995226596086,7.472709273360003,2.4539722357918876,11.058107935330398,-3.8688037565798012,3.648494608380034,5.033273863873628,-49.095699925975225,-16.1225975891527,-72.65176913512072,25.418040680729295,-23.970609577056823
A049,35,39.804983275375925,51.54198762783619,45.45293379838562,61.0581079353304,47.28068303269946,53.648494608380034,0.4953288965,-9.57,-10.195016724624075,1.5419876278361926,-4.547066201614378,11.058107935330398,-2.719316967300543,3.648494608380034,97.5663100546524,-14.756821598392364,43.515423549449594,-105.82609294111191,26.023863377066196,-34.91609340219692
A050,41,37.44775397488481,57.47270927336,50.12029275665646,50.67490799605303,64.52298487188828,53.648494608380034,-0.79420681,-3.5700000000000003,-12.552246025115188,7.472709273360003,0.12029275665646111,0.6749079960530295,14.522984871888283,3.648494608380034,44.811518309661224,-26.677572105895212,-0.4294451412635662,-2.4094215459093156,-51.847055992641174,-13.025125751916722
A051,41,40.98359792562148,37.70363712161397,41.95241457968249,55.86650796569172,64.52298487188828,53.648494608380034,-0.0391735974999999,-3.5700000000000003,-9.016402074378519,-12.296362878386027,-8.04758542031751,5.866507965691717,14.522984871888283,3.648494608380034,32.18855540553132,43.89801547583812,28.729879950533515,-20.94343343751943,-51.847055992641174,-13.025125751916722
A052,43,56.30558837881374,55.4958020581854,46.619773537953336,55.86650796569172,44.185910907716845,53.648494608380034,0.063437571,-1.5700000000000003,6.305588378813738,5.495802058185397,-3.3802264620466644,5.866507965691717,-5.8140890922831545,3.648494608380034,-9.89977375473757,-8.628409231351075,5.306955545413264,-9.210417506135997,9.128119874884554,-5.728136535156654
A053,44,51.59112977783151,53.5188948430108,55.95449145449501,50.67490799605303,48.238588690432174,53.648494608380034,0.4583046074999999,-0.5700000000000003,1.5911297778315117,3.5188948430107985,5.954491454495013,0.6749079960530295,-1.7614113095678263,3.648494608380034,-0.9069439733639622,-2.005770060516156,-3.3940601290621593,-0.384697557750227,1.0040044464536615,-2.0796419267766204
A054,43,52.76974442807706,63.40343091888381,44.28609405881791,50.67490799605303,63.63876426475041,53.648494608380034,1.0196071075,-1.5700000000000003,2.769744428077061,13.403430918883807,-5.713905941182091,0.6749079960530295,13.638764264750407,3.648494608380034,-4.348498752080987,-21.04338654264758,8.970832327655884,-1.0596055538032565,-21.41285989565814,-5.728136535156654
A055,44,50.41251512758595,39.68054433678858,51.287132496224174,29.908508117498297,49.74386900972642,53.648494608380034,0.1025602984999999,-0.5700000000000003,0.412515127585948,-10.319455663211421,1.2871324962241744,-20.091491882501703,-0.2561309902735829,3.648494608380034,-0.23513362272399047,5.882089728030513,-0.7336655228477797,11.452150373025976,0.1459946644559423,-2.0796419267766204
A056,42,50.41251512758595,53.5188948430108,54.78765171492731,45.48330802641435,44.185910907716845,53.648494608380034,-0.0719488624999999,-2.5700000000000003,0.412515127585948,3.5188948430107985,4.787651714927307,-4.516691973585651,-5.8140890922831545,3.648494608380034,-1.0601638778958864,-9.043559746537753,-12.30426490736318,11.607898372115125,14.942208967167709,-9.376631143536688
A057,40,51.59112977783151,57.47270927336,62.95552989190128,55.86650796569172,45.22802805184364,53.648494608380034,-0.51205133,-4.57,1.5911297778315117,7.472709273360003,12.955529891901278,5.866507965691717,-4.771971948156363,3.648494608380034,-7.271463084690009,-34.15028137925522,-59.20677160598885,-26.80994140321115,21.80791180307458,-16.673620360296756
