composite_ID,theta_What,theta_Where,theta_When,UID,test,Age,TSVR_hours
A066_T3,-0.8389682,-0.7284924,-1.1266986,A066,T3,47.0,73.79
A066_T4,-1.3690192,-1.3858626,-1.4521872,A066,T4,47.0,164.93
A067_T1,-0.47319022,-0.7475646,-0.20953402,A067,T1,48.0,1.0
A067_T2,-1.5407175,-1.2339615,-2.0746818,A067,T2,48.0,29.91
A067_T3,-1.3362082,-1.2788206,-1.3943987,A067,T3,48.0,73.19
A067_T4,-1.2376945,-1.7866027,-1.1951592,A067,T4,48.0,144.19
A068_T1,0.043350097,-0.06365305,0.5519894,A068,T1,49.0,1.0
A068_T2,-0.38292572,-0.010693989,-0.13739412,A068,T2,49.0,30.49
A068_T3,-0.39800465,-0.3387619,-0.36083764,A068,T3,49.0,82.98
A068_T4,-0.7517871,-0.6417966,-0.35325882,A068,T4,49.0,155.59
A069_T1,-0.9856775,-0.6827684,-0.56914175,A069,T1,46.0,1.0
A069_T2,-1.4256461,-1.4523125,-1.2960443,A069,T2,46.0,24.96
A069_T3,-1.7863635,-2.1103454,-1.5133365,A069,T3,46.0,79.75
A069_T4,-1.3407162,-1.4253707,-1.1899556,A069,T4,46.0,140.22
A070_T1,-0.29940233,-0.56214064,-0.1907042,A070,T1,52.0,1.0
A070_T2,-0.38949186,-0.66862917,-0.41843098,A070,T2,52.0,24.25
A070_T3,-0.965894,-1.2401359,-1.0528623,A070,T3,52.0,81.92
A070_T4,-1.3122176,-1.4741727,-1.3135697,A070,T4,52.0,149.2
A071_T1,-0.03096188,-0.20272009,-0.055496324,A071,T1,50.0,1.0
A071_T2,-0.709585,-0.8167532,-0.8283154,A071,T2,50.0,30.92
A071_T3,-1.4961342,-0.9436975,-1.1486038,A071,T3,50.0,79.96
A071_T4,-0.97358733,-0.9248061,-0.63722336,A071,T4,50.0,153.27
A072_T1,-0.007103957,-0.06567177,-0.18340689,A072,T1,50.0,1.0
A072_T2,-0.044950858,-0.19989994,-0.5217862,A072,T2,50.0,33.76
A072_T3,-0.5401528,-0.6804046,-0.8697994,A072,T3,50.0,83.54
A072_T4,-0.7525621,-0.8203476,-0.78975534,A072,T4,50.0,154.89
A073_T1,-0.83740723,-0.9430426,-0.4960986,A073,T1,51.0,1.0
A073_T2,-1.1371781,-0.90134287,-0.86024266,A073,T2,51.0,66.66
A073_T3,-1.0209675,-0.81500846,-0.8511773,A073,T3,51.0,66.9
A073_T4,-1.0217786,-1.2174141,-0.8683183,A073,T4,51.0,140.12
A074_T1,-0.18597467,-0.31399783,-0.34152573,A074,T1,53.0,1.0
A074_T2,-0.53408575,-0.6636127,-0.42513478,A074,T2,53.0,29.33
A074_T3,-0.86386716,-0.84206283,-0.23766808,A074,T3,53.0,73.02
A074_T4,-0.7869516,-0.7249949,0.065352984,A074,T4,53.0,147.21
A075_T1,-0.61729574,-0.59508604,-0.61248755,A075,T1,53.0,1.0
A075_T2,-0.6755973,-0.4867723,-0.48478758,A075,T2,53.0,28.68
A075_T3,-1.5873282,-1.6831306,-1.4838032,A075,T3,53.0,71.37
A075_T4,-1.1416014,-0.78669363,-1.5544668,A075,T4,53.0,244.53
A076_T1,-0.84134424,-0.7429717,-0.53186536,A076,T1,54.0,1.0
A076_T2,-0.8928892,-1.1343815,-0.9322328,A076,T2,54.0,27.3
A076_T3,-1.2276068,-1.0241452,-1.0961763,A076,T3,54.0,74.88
A076_T4,-1.6442255,-1.6557899,-1.5946274,A076,T4,54.0,149.28
