UID,test,composite_ID,Age,Age_c,TSVR_hours,log_TSVR,Domain,theta_confidence
A082,T1,A082_T1,58.0,13.43,1.0,0.6931471805599453,What,-0.3075968
A082,T2,A082_T2,58.0,13.43,27.97,3.366260811781259,What,-0.5080273
A082,T3,A082_T3,58.0,13.43,75.71,4.3400320779712045,What,-0.69216347
A082,T4,A082_T4,58.0,13.43,170.25,5.143124477142335,What,-1.0564356
A083,T1,A083_T1,58.0,13.43,1.0,0.6931471805599453,What,-0.10635004
A083,T2,A083_T2,58.0,13.43,25.15,3.263849190510932,What,-0.6589626
A083,T3,A083_T3,58.0,13.43,74.3,4.321480134805848,What,-0.7292993
A083,T4,A083_T4,58.0,13.43,144.91,4.982989993275931,What,-0.6611885
A084,T1,A084_T1,59.0,14.43,1.0,0.6931471805599453,What,-1.6331187
A084,T2,A084_T2,59.0,14.43,27.25,3.34109345759245,What,-1.7653933
A084,T3,A084_T3,59.0,14.43,91.97,4.532276860467767,What,-1.3211712
A084,T4,A084_T4,59.0,14.43,162.51,5.096874150546495,What,-1.9710993
A085,T1,A085_T1,58.0,13.43,1.0,0.6931471805599453,What,-0.16988859
A085,T2,A085_T2,58.0,13.43,24.51,3.23907053215372,What,-0.06407394
A085,T3,A085_T3,58.0,13.43,71.4,4.282206299391671,What,-0.29939044
A085,T4,A085_T4,58.0,13.43,170.65,5.145457519903701,What,-0.9037909
A086,T1,A086_T1,58.0,13.43,1.0,0.6931471805599453,What,-0.42006263
A086,T2,A086_T2,58.0,13.43,23.47,3.19744787745458,What,-0.17667152
A086,T3,A086_T3,58.0,13.43,145.29,4.985590952989995,What,-0.756651
A086,T4,A086_T4,58.0,13.43,169.55,5.139028508864655,What,-0.81732196
A087,T1,A087_T1,59.0,14.43,1.0,0.6931471805599453,What,0.04956661
A087,T2,A087_T2,59.0,14.43,31.07,3.4679210137050633,What,-0.28434318
A087,T3,A087_T3,59.0,14.43,72.8,4.301358731606427,What,-0.3399625
A087,T4,A087_T4,59.0,14.43,144.2,4.978112102390695,What,-0.31418985
A088,T1,A088_T1,56.0,11.43,1.0,0.6931471805599453,What,-0.48985383
A088,T2,A088_T2,56.0,11.43,24.25,3.228826155721369,What,-0.3874051
A088,T3,A088_T3,56.0,11.43,74.91,4.3295484280286765,What,-0.47999272
A088,T4,A088_T4,56.0,11.43,149.93,5.016816153171337,What,-0.21584226
A089,T1,A089_T1,56.0,11.43,1.0,0.6931471805599453,What,-0.24243428
A089,T2,A089_T2,56.0,11.43,32.14,3.500741011998417,What,-0.2085569
A089,T3,A089_T3,56.0,11.43,79.34,4.386267628931136,What,-0.5054164
