UID,location,TSVR_hours,test,theta,se,measure
A087,source,26.0,2,0.79339594,0.5,accuracy
A087,source,74.0,3,0.07429415,0.5,accuracy
A087,source,148.0,4,0.63730603,0.5,accuracy
A088,source,1.0,1,1.3610681,0.5,accuracy
A088,source,26.0,2,1.6403587,0.5,accuracy
A088,source,74.0,3,1.0740212,0.5,accuracy
A088,source,148.0,4,1.2408419,0.5,accuracy
A089,source,1.0,1,0.95078164,0.5,accuracy
A089,source,26.0,2,1.0349191,0.5,accuracy
A089,source,74.0,3,0.30402267,0.5,accuracy
A089,source,148.0,4,-0.14708613,0.5,accuracy
A090,source,1.0,1,-0.23930658,0.5,accuracy
A090,source,26.0,2,0.0107415775,0.5,accuracy
A090,source,74.0,3,-0.9169951,0.5,accuracy
A090,source,148.0,4,-0.89684373,0.5,accuracy
A091,source,1.0,1,0.61024165,0.5,accuracy
A091,source,26.0,2,-0.23226447,0.5,accuracy
A091,source,74.0,3,-1.0321478,0.5,accuracy
A091,source,148.0,4,-1.0876396,0.5,accuracy
A092,source,1.0,1,0.23328507,0.5,accuracy
A092,source,26.0,2,-0.8227533,0.5,accuracy
A092,source,74.0,3,-0.70078677,0.5,accuracy
A092,source,148.0,4,-0.77845037,0.5,accuracy
A093,source,1.0,1,0.17902495,0.5,accuracy
A093,source,26.0,2,1.032644,0.5,accuracy
A093,source,74.0,3,-0.19266124,0.5,accuracy
A093,source,148.0,4,0.2726866,0.5,accuracy
A094,source,1.0,1,-1.0644217,0.5,accuracy
A094,source,26.0,2,0.04552735,0.5,accuracy
A094,source,74.0,3,-0.8497856,0.5,accuracy
A094,source,148.0,4,-1.2777404,0.5,accuracy
A095,source,1.0,1,1.0975536,0.5,accuracy
A095,source,26.0,2,0.2966555,0.5,accuracy
A095,source,74.0,3,0.022464879,0.5,accuracy
A095,source,148.0,4,-0.32706589,0.5,accuracy
A096,source,1.0,1,-0.277075,0.5,accuracy
A096,source,26.0,2,0.10875838,0.5,accuracy
A096,source,74.0,3,-1.7827787,0.5,accuracy
A096,source,148.0,4,-1.7271752,0.5,accuracy
A097,source,1.0,1,0.1794386,0.5,accuracy
A097,source,26.0,2,-0.54056513,0.5,accuracy
A097,source,74.0,3,0.7713108,0.5,accuracy
A097,source,148.0,4,-1.0911156,0.5,accuracy
A098,source,1.0,1,0.7291178,0.5,accuracy
A098,source,26.0,2,0.0246297,0.5,accuracy
A098,source,74.0,3,1.1876998,0.5,accuracy
A098,source,148.0,4,-0.93667495,0.5,accuracy
A099,source,1.0,1,0.5694854,0.5,accuracy
A099,source,26.0,2,1.1351792,0.5,accuracy
A099,source,74.0,3,0.34919107,0.5,accuracy
A099,source,148.0,4,1.2946471,0.5,accuracy
A100,source,1.0,1,-0.06639828,0.5,accuracy
A100,source,26.0,2,1.3288726,0.5,accuracy
A100,source,74.0,3,0.2789706,0.5,accuracy
A100,source,148.0,4,0.11508391,0.5,accuracy
A101,source,1.0,1,-0.39517584,0.5,accuracy
A101,source,26.0,2,-0.64429396,0.5,accuracy
A101,source,74.0,3,-1.402536,0.5,accuracy
A101,source,148.0,4,-1.0298448,0.5,accuracy
A102,source,1.0,1,-0.4269469,0.5,accuracy
A102,source,26.0,2,1.3623424,0.5,accuracy
A102,source,74.0,3,-0.3569574,0.5,accuracy
A102,source,148.0,4,-0.13239342,0.5,accuracy
A103,source,1.0,1,1.1801236,0.5,accuracy
A103,source,26.0,2,-0.6768038,0.5,accuracy
A103,source,74.0,3,-0.973742,0.5,accuracy
A103,source,148.0,4,-0.9487724,0.5,accuracy
A104,source,1.0,1,1.2842352,0.5,accuracy
A104,source,26.0,2,0.9625718,0.5,accuracy
A104,source,74.0,3,-0.589731,0.5,accuracy
A104,source,148.0,4,-1.3339353,0.5,accuracy
A105,source,1.0,1,0.53870964,0.5,accuracy
A105,source,26.0,2,0.46811488,0.5,accuracy
A105,source,74.0,3,-1.190793,0.5,accuracy
A105,source,148.0,4,-0.1631536,0.5,accuracy
A106,source,1.0,1,0.7179772,0.5,accuracy
A106,source,26.0,2,-0.1352828,0.5,accuracy
A106,source,74.0,3,-0.20217995,0.5,accuracy
A106,source,148.0,4,0.47873917,0.5,accuracy
A107,source,1.0,1,-0.89261144,0.5,accuracy
