composite_ID,UID,TEST,TSVR_hours,theta,congruence,recip_TSVR,log_TSVR
A066_4,A066,4,164.93,-0.95671576,common,0.00602663773880552,5.111566012674697
A067_1,A067,1,1.0,0.43133983,common,0.5,0.6931471805599453
A067_2,A067,2,29.91,-1.2040907,common,0.03235198964736331,3.431079756144025
A067_3,A067,3,73.19,-1.468142,common,0.013478905512872355,4.306629370201435
A067_4,A067,4,144.19,-1.2924346,common,0.00688752668916592,4.978043229495596
A068_1,A068,1,1.0,1.1973321,common,0.5,0.6931471805599453
A068_2,A068,2,30.49,-0.06428234,common,0.031756113051762465,3.4496700351129332
A068_3,A068,3,82.98,0.9597233,common,0.011907597046915932,4.430578675256047
A068_4,A068,4,155.59,-0.6880742,common,0.0063861038380484065,5.053630924557352
A069_1,A069,1,1.0,-0.8337596,common,0.5,0.6931471805599453
A069_2,A069,2,24.96,-1.1064484,common,0.03852080123266564,3.2565568918358894
A069_3,A069,3,79.75,0.24429336,common,0.01238390092879257,4.391357962102766
A069_4,A069,4,140.22,-0.91262,common,0.00708114997875655,4.950318958088201
A070_1,A070,1,1.0,0.56656337,common,0.5,0.6931471805599453
A070_2,A070,2,24.25,0.67100656,common,0.039603960396039604,3.228826155721369
A070_3,A070,3,81.92,-0.3166986,common,0.012059816690786299,4.417876287567579
A070_4,A070,4,149.2,-0.90343934,common,0.006657789613848203,5.011967739330034
A071_1,A071,1,1.0,0.70789874,common,0.5,0.6931471805599453
A071_2,A071,2,30.92,0.873699,common,0.03132832080200501,3.463232772581608
A071_3,A071,3,79.96,0.14909524,common,0.012351778656126484,4.3939552055391555
A071_4,A071,4,153.27,0.23359789,common,0.006482141699617553,5.038704314023848
A072_1,A072,1,1.0,0.87721634,common,0.5,0.6931471805599453
A072_2,A072,2,33.76,1.1064863,common,0.028768699654775607,3.548467300397191
A072_3,A072,3,83.54,-0.6392919,common,0.011828720132481665,4.437224795138644
A072_4,A072,4,154.89,0.11632397,common,0.0064147796523189434,5.04915063032459
A073_1,A073,1,1.0,0.54635656,common,0.5,0.6931471805599453
A073_2,A073,2,66.66,0.29271653,common,0.014779781259237365,4.214495163352562
A073_3,A073,3,66.9,0.8597459,common,0.014727540500736375,4.21803603456465
A073_4,A073,4,140.12,1.1421618,common,0.007086167800453514,4.949610592258481
A074_1,A074,1,1.0,1.0982429,common,0.5,0.6931471805599453
A074_2,A074,2,29.33,-0.03720683,common,0.032970656116056714,3.41213732170049
A074_3,A074,3,73.02,-1.5277796,common,0.013509862199405566,4.30433532695801
A074_4,A074,4,147.21,-1.2861127,common,0.006747183051076176,4.998630186968824
A075_1,A075,1,1.0,0.6850163,common,0.5,0.6931471805599453
A075_2,A075,2,28.68,0.12656468,common,0.03369272237196765,3.39047341829918
A075_3,A075,3,71.37,-0.48466563,common,0.01381788033715628,4.281791848878036
A075_4,A075,4,244.53,-0.8273441,common,0.004072822058404269,5.5034191393614815
A076_1,A076,1,1.0,0.4877052,common,0.5,0.6931471805599453
A076_2,A076,2,27.3,-1.0494858,common,0.0353356890459364,3.342861804649192
A076_3,A076,3,74.88,-1.029358,common,0.013178703215603585,4.3291531450668135
A076_4,A076,4,149.28,-1.714471,common,0.006654245408570668,5.0125002207057685
A077_1,A077,1,1.0,1.1772299,common,0.5,0.6931471805599453
A077_2,A077,2,53.88,-0.79948527,common,0.01822157434402332,4.00514898341763
A077_3,A077,3,78.36,0.18209952,common,0.012600806451612904,4.373994462976618
A077_4,A077,4,149.75,-0.8510503,common,0.006633499170812604,5.015622835607295
A078_1,A078,1,1.0,-1.0481057,common,0.5,0.6931471805599453
A078_2,A078,2,26.17,-0.51313215,common,0.0368052999631947,3.3021134234382563
A078_3,A078,3,72.3,-0.97640496,common,0.013642564802182811,4.294560608892605
A078_4,A078,4,140.08,-1.0365397,common,0.007088176920895945,4.949327105367852
A079_1,A079,1,1.0,-0.6625905,common,0.5,0.6931471805599453
A079_2,A079,2,26.11,0.35112518,common,0.03688675765400221,3.299902663510574
A079_3,A079,3,74.0,-1.1069062,common,0.013333333333333334,4.31748811353631
A079_4,A079,4,194.42,-0.49610496,common,0.005117183502200389,5.275151088516197
A080_1,A080,1,1.0,0.33154324,common,0.5,0.6931471805599453
A080_2,A080,2,29.03,0.82862,common,0.0333000333000333,3.402196881995239
A080_3,A080,3,72.87,-0.1077804,common,0.013537295248409367,4.302306791540646
