UID,TEST,Paradigm,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A037,T1,IFR,1.0,1.0822115,-0.053982724,1.118144011883334,1.1942729721106071,0.34709103678268405
A037,T2,IFR,23.7,0.93259835,-0.4549343,0.956796525098318,0.5266254584042126,-0.028761768513725694
A037,T3,IFR,72.08,0.6126821,-0.74478394,0.6117888642129823,0.043980163864471,-0.20867578953679594
A037,T4,IFR,143.66,-0.28599942,-0.8572854,-0.357377313172749,-0.143352483151585,0.0572193573630405
A038,T1,IFR,1.0,1.1545284,-0.32439503,1.1961328121130148,0.7439938995661642,0.018520439844441128
A038,T2,IFR,71.85,-0.09438367,-0.2553714,-0.1507329126576478,0.8589291129807889,0.6357529730711111
A038,T3,IFR,72.86,0.9860895,-0.36756817,1.0144830494295034,0.6721038227956514,0.04407984820017896
A038,T4,IFR,152.89,-0.008316844,-0.37407354,-0.0579157634253559,0.6612713573154804,0.4679742864659733
A039,T1,IFR,1.0,2.3421638,0.10765596,2.476915864985821,1.4634268349485815,-0.02139483767851913
A039,T2,IFR,28.65,0.7976839,0.10201621,0.811300574785911,1.4540357630815248,0.6418911490372268
A039,T3,IFR,98.84,0.839274,-0.24429365,0.8561526356518007,0.877375311194413,0.2432169585619034
A039,T4,IFR,246.24,0.6956401,-0.61507744,0.7012533585352484,0.2599619118363471,-0.10206877607262499
A040,T1,IFR,1.0,-0.5817445,-0.42340112,-0.6763180305297025,0.5791331687773381,0.6623193169717995
A040,T2,IFR,26.26,-0.26374146,-0.5048996,-0.3333736349735973,0.4434253656414044,0.4348957255514254
A040,T3,IFR,71.28,-1.6241969,-0.5793214,-1.8005312085358347,0.3195013491024233,0.9428109992744211
A040,T4,IFR,143.53,-0.8882852,-0.70157135,-1.0069010811660906,0.1159359310973545,0.4894448154501378
A041,T1,IFR,1.0,1.2497655,0.10194059,1.2988394708104172,1.4539098438732998,0.4458444513930593
A041,T2,IFR,31.78,-1.167476,-0.39274108,-1.30798914671045,0.6301869635531406,0.9499160043954011
A041,T3,IFR,75.74,0.075356334,-0.41618338,0.0323200011556002,0.5911518424876496,0.38541952645813743
A041,T4,IFR,141.84,0.66515946,-0.31845248,0.6683820857921853,0.7538891811165127,0.23717869218568716
A042,T1,IFR,1.0,-1.02681,-1.1798056,-1.1562905455106152,-0.6803994048728482,0.023840371605062527
A042,T2,IFR,28.93,-1.0026407,-1.2260817,-1.1302256186485506,-0.7574563986805706,-0.03750061352225692
A042,T3,IFR,72.17,-0.5476192,-1.1923577,-0.6395162427805327,-0.7013006280090659,-0.19767084814980423
A042,T4,IFR,146.02,-0.8089415,-1.102174,-0.9213343606791264,-0.5511305658720774,0.014729723133354411
A043,T1,IFR,1.0,0.9052307,0.15324675,0.9272823978527388,1.5393426796874243,0.6515828916297253
A043,T2,IFR,25.62,0.115137,-0.04548595,0.0752207119670103,1.2084214388462142,0.7756275468210658
A043,T3,IFR,64.94,0.2997891,-0.17105871,0.2743552951542198,0.9993230189331574,0.5575633165080789
A043,T4,IFR,149.33,0.048738178,-0.42464492,0.0036141516132872,0.5770620459105009,0.3876571913383481
A044,T1,IFR,1.0,-0.8060287,-1.4557778,-0.9181931063207536,-1.1399365764690608,-0.3751961650559133
A044,T2,IFR,47.66,-0.19541748,-0.95382005,-0.2596909241948343,-0.3040978771515254,-0.08815111798659973
A044,T3,IFR,91.63,-1.4959046,-1.4880776,-1.662176791301325,-1.193720829865321,-0.11165830567955459
A044,T4,IFR,155.27,-1.0974785,-1.8753214,-1.2325016597734115,-1.838542737905948,-0.7100025155820908
A045,T1,IFR,1.0,-0.76336116,-0.65397245,-0.8721791005578967,0.1951955952124029,0.4876123410757636
A045,T2,IFR,24.66,-0.47526395,-0.598393,-0.5614860847148712,0.2877441318109196,0.4238210900278871
A045,T3,IFR,72.23,-0.4236594,-0.59754133,-0.5058341286590586,0.289162296477264,0.40238820439102474
A045,T4,IFR,151.52,-1.2165346,-1.1926738,-1.360895470888447,-0.7018269842867688,0.09193612724586431
A046,T1,IFR,1.0,-0.77469015,-0.9647301,-0.8843966366789702,-0.3222648284566687,0.15095413907126615
A046,T2,IFR,24.32,-1.245836,-1.1796908,-1.392495014439816,-0.6802082447947707,0.11890764214275196
A046,T3,IFR,73.05,-1.6056858,-1.8411375,-1.7805682610099915,-1.7816211613119004,-0.4521369561472173
A046,T4,IFR,147.94,-1.0504586,-0.8365598,-1.1817939332541667,-0.1088410953971863,0.41136961063348254
A047,T1,IFR,1.0,-0.5218471,-0.9438278,-0.6117228064136618,-0.2874592073765181,0.06432913450660152
A047,T2,IFR,23.46,-0.38599724,-0.71825814,-0.4652180807856254,0.0881497980027169,0.25337704100478237
A047,T3,IFR,76.85,-1.1630286,-1.4691287,-1.303192931854151,-1.1621679273959438,-0.2351222298982545
A047,T4,IFR,144.22,-0.8443499,-2.1670387,-0.9595198834829612,-2.324297980454596,-1.1403668314263469
A048,T1,IFR,1.0,1.4464241,-0.43822536,1.5109222380314784,0.5544484747369114,-0.2331239382313392
A048,T2,IFR,23.91,-0.24025916,-0.58757037,-0.3080495903362658,0.3057655150496382,0.3338493672731979
