composite_ID,UID,test,TSVR_hours,ma_theta,ma_theta_se
A073_T1,A073,T1,1.0,0.28572179959514593,0.029956392993497855
A073_T2,A073,T2,66.66,-0.30889298768095164,0.022277862792034482
A073_T3,A073,T3,66.9,-0.3097545047551831,0.02221424980690142
A073_T4,A073,T4,140.12,-0.48039858406746766,0.023726610126813836
A074_T1,A074,T1,1.0,0.30503930578763083,0.029998517338994765
A074_T2,A074,T2,29.33,-0.3380678527779349,0.020546142156434695
A074_T3,A074,T3,73.02,-0.7002244338556518,0.01908967091393513
A074_T4,A074,T4,147.21,-0.9973342377818939,0.020290124967147535
A075_T1,A075,T1,1.0,0.10729642768995404,0.058490573121562243
A075_T2,A075,T2,28.68,-0.483037875384299,0.03043852279944735
A075_T3,A075,T3,71.37,-0.8127611043866216,0.0375703877240576
A075_T4,A075,T4,244.53,-1.2644042792934351,0.08066768004941778
A076_T1,A076,T1,1.0,-0.0998148994626833,0.019408440174485512
A076_T2,A076,T2,27.3,-0.7712255404843125,0.036360048802192325
A076_T3,A076,T3,74.88,-1.217394690445591,0.015978236940361896
A076_T4,A076,T4,149.28,-1.5600702777392728,0.05323539188762361
A077_T1,A077,T1,1.0,0.9527242132945251,0.02124258704624164
A077_T2,A077,T2,53.88,0.16427530233837623,0.016230509428737588
A077_T3,A077,T3,78.36,0.027357951918165004,0.012644253386364759
A077_T4,A077,T4,149.75,-0.21169943211455156,0.023989774324988052
A078_T1,A078,T1,1.0,-0.6529724327458423,0.012263641851332762
A078_T2,A078,T2,26.17,-1.1714346434944507,0.019435608627793578
A078_T3,A078,T3,72.3,-1.5142379944496285,0.01447260917957544
A078_T4,A078,T4,140.08,-1.752092647980025,0.01299001904221415
A079_T1,A079,T1,1.0,0.5019565035103186,0.01250575509083713
A079_T2,A079,T2,26.11,-0.021937068049712603,0.020100760478778113
A079_T3,A079,T3,74.0,-0.37899520953598015,0.02168109781083191
A079_T4,A079,T4,194.42,-0.7332749878125266,0.023716666006870318
A080_T1,A080,T1,1.0,1.1857762501693208,0.027917482060036386
A080_T2,A080,T2,29.03,0.49385656506152226,0.03815448878805604
A080_T3,A080,T3,72.87,0.08609376651877347,0.014238703807073476
A080_T4,A080,T4,145.77,-0.2581489363642496,0.05939517930639985
A081_T1,A081,T1,1.0,1.3048758956089705,0.022106428738812117
A081_T2,A081,T2,31.39,0.8816904920360354,0.028546999373665064
A081_T3,A081,T3,80.13,0.6567064080345286,0.022087956175649046
A081_T4,A081,T4,154.53,0.5073779218572889,0.03733199118437822
A082_T1,A082,T1,1.0,0.3594284787978653,0.01653808934116871
A082_T2,A082,T2,27.97,-0.16505525650396674,0.01891412629623924
A082_T3,A082,T3,75.71,-0.49511103296482883,0.01828961983123414
A082_T4,A082,T4,170.25,-0.779588153460366,0.020548047586544948
A083_T1,A083,T1,1.0,1.1523938631217354,0.020592192136134124
A083_T2,A083,T2,25.15,0.7563659038568836,0.02714479595000695
A083_T3,A083,T3,74.3,0.48362220865753025,0.019702333176406135
A083_T4,A083,T4,144.91,0.3194570447924168,0.04017663522136057
A084_T1,A084,T1,1.0,-0.4351684941454048,0.0310393472724196
A084_T2,A084,T2,27.25,-0.8486296390234763,0.03639075308175909
A084_T3,A084,T3,91.97,-1.153439107622936,0.018170096642284358
A084_T4,A084,T4,162.51,-1.286784513227968,0.05242397535420478
A085_T1,A085,T1,1.0,1.1807617809717488,0.04330779161668536
A085_T2,A085,T2,24.51,0.6572958216581349,0.03251534464151871
A085_T3,A085,T3,71.4,0.2715405363485843,0.018848386801632522
A085_T4,A085,T4,170.65,-0.08243712497142286,0.06377525618316038
A086_T1,A086,T1,1.0,1.318351675312857,0.021139335582927667
A086_T2,A086,T2,23.47,0.7088374433860336,0.04322328459821177
A086_T3,A086,T3,145.29,-0.11102273482356938,0.01959704677128428
A086_T4,A086,T4,169.55,-0.18852188595858807,0.032035456515339816
A087_T1,A087,T1,1.0,1.330503368686372,0.019135602708579735
A087_T2,A087,T2,31.07,0.6851830921394659,0.02008330481739649
A087_T3,A087,T3,72.8,0.3547303242698628,0.015833056742574056
A087_T4,A087,T4,144.2,0.07263985417523329,0.0159508505156244
A088_T1,A088,T1,1.0,0.6909522563334406,0.039100730810941384
A088_T2,A088,T2,24.25,0.39859937217479446,0.0314867882191841
A088_T3,A088,T3,74.91,0.18950740272218036,0.03409790339900395
A088_T4,A088,T4,149.93,0.07331166382028849,0.03364793265966763
A089_T1,A089,T1,1.0,1.3128728987099063,0.012110115572775736
A089_T2,A089,T2,32.14,0.6544130745334961,0.022880465945535947
