composite_ID,UID,test,theta_All,se_All,TSVR_hours,Days,Days_squared,log_Days_plus1
A044_T2,A044,T2,-0.78027636,0.07339282,47.66,1.9858333333333331,3.943534027777777,1.093878881528862
A044_T3,A044,T3,-1.2760453,0.07339282,91.63,3.8179166666666666,14.57648767361111,1.5723416077929249
A044_T4,A044,T4,-1.6953964,0.07339282,155.27,6.4695833333333335,41.855508506944446,2.0108392189188016
A045_T1,A045,T1,-0.1593461,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A045_T2,A045,T2,-0.27718532,0.07339282,24.66,1.0275,1.0557562500000002,0.7068035070074309
A045_T3,A045,T3,-0.045916285,0.07339282,72.23,3.0095833333333335,9.057591840277778,1.3886873290203638
A045_T4,A045,T4,-1.021972,0.07339282,151.52,6.3133333333333335,39.858177777777776,1.9896991661789745
A046_T1,A046,T1,0.676205,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A046_T2,A046,T2,-0.12228983,0.07339282,24.32,1.0133333333333334,1.0268444444444447,0.699791723278614
A046_T3,A046,T3,-0.17526035,0.07339282,73.05,3.0437499999999997,9.264414062499998,1.3971724792670734
A046_T4,A046,T4,-0.0935051,0.07339282,147.94,6.164166666666667,37.99695069444444,1.9690917483983523
A047_T1,A047,T1,0.3895279,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A047_T2,A047,T2,0.2769776,0.07339282,23.46,0.9775,0.9555062500000001,0.6818334206596719
A047_T3,A047,T3,-0.20571186,0.07339282,76.85,3.202083333333333,10.253337673611108,1.4355804340522749
A047_T4,A047,T4,-1.0360394,0.07339282,144.22,6.009166666666666,36.11008402777777,1.9472188161863455
A048_T1,A048,T1,0.724293,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A048_T2,A048,T2,0.52653074,0.07339282,23.91,0.99625,0.9925140625,0.6912704205470851
A048_T3,A048,T3,-0.118984975,0.07339282,81.15,3.38125,11.4328515625,1.477334071800763
A048_T4,A048,T4,-0.5066172,0.07339282,146.3,6.095833333333334,37.15918402777779,1.9595077573206972
A049_T1,A049,T1,1.5637307,0.07339282,1.0,0.041666666666666664,0.001736111111111111,0.0408219945202552
A049_T2,A049,T2,-0.2571439,0.07339282,27.12,1.1300000000000001,1.2769000000000004,0.7561219797213337
