composite_ID,theta_What,theta_Where,theta_When
A101_T1,-1.1531101,-1.1271902,-0.8632901
A101_T2,-1.1507939,-0.9139338,-1.3611658
A101_T3,-2.0616903,-2.257844,-2.0871842
A101_T4,-2.4006252,-2.1047175,-2.190017
A102_T1,-0.4659688,-0.6318408,-0.58967227
A102_T2,-0.5725646,-0.42629144,-0.26417938
A102_T3,-0.70983475,-0.7458047,-0.5259363
A102_T4,-0.7002248,-0.6005884,-0.81930107
A103_T1,-1.6476277,-1.7276977,-1.5576677
A103_T2,-2.0595725,-2.1003845,-2.303992
A103_T3,-2.1543787,-2.2404468,-2.1220315
A103_T4,-2.3034658,-2.2445917,-1.9389676
A104_T1,-0.23795481,-0.096845455,-0.34517285
A104_T2,-0.18667741,-0.2953946,-0.3427015
A104_T3,-0.5396037,-0.37600604,-0.51570475
A104_T4,-1.1808013,-1.406939,-1.0981561
A105_T1,0.14666553,0.107473895,0.012118798
A105_T2,-0.09143283,-0.20604235,-0.14038579
A105_T3,-0.7008655,-0.58831054,-0.7484463
A105_T4,-0.5656953,-0.82229865,-0.31278455
A106_T1,-0.2363908,-0.06138464,-0.3489107
A106_T2,-0.50482,-0.7756045,-0.76727813
A106_T3,-0.4244297,-0.5837823,-0.4255983
A106_T4,-0.25632027,-0.6719219,-0.22757661
A107_T1,-2.2529342,-1.8828845,-2.087243
A107_T2,-2.5128634,-2.361064,-2.2273915
A107_T3,-1.9072479,-1.4767938,-1.4606197
A107_T4,-2.1943111,-2.3700135,-2.0688787
A108_T1,-0.7291451,-0.9310122,-0.32233924
A108_T2,-1.0643289,-1.1488962,-0.66837287
A108_T3,-1.0438112,-1.0102834,-0.6591243
A108_T4,-1.1844062,-0.9659984,-0.5945612
A109_T1,-1.0555787,-1.5084882,-1.2476219
A109_T2,-1.3236896,-2.0305598,-1.3785945
A109_T3,-0.97737586,-1.1609657,-0.8367427
A109_T4,-2.326117,-2.159722,-2.1815023
