composite_ID,theta_What,theta_Where,theta_When
A046_T4,-0.21813148,-0.14362898,0.106954135
A047_T1,-0.15437412,0.4279785,0.879121
A047_T2,0.33670467,0.21002512,0.32409516
A047_T3,-0.45392025,-0.19440496,0.17563969
A047_T4,-1.4755675,-1.0419465,0.04608079
A048_T1,0.6569596,0.6024815,0.5544711
A048_T2,0.7390019,0.45317945,0.474399
A048_T3,0.056335375,-0.25266874,0.20838736
A048_T4,-0.28415722,-0.5731539,-0.56685126
A049_T1,1.4188133,1.4985571,1.3144786
A049_T2,0.3343793,-0.26470107,-0.8297446
A049_T3,0.396502,-0.09316425,-1.4390713
A049_T4,0.5473168,-0.32961965,-0.49131638
A050_T1,0.33518937,-0.0012511325,-0.1881658
A050_T2,-0.36055398,-0.584032,-0.7060149
A050_T3,-1.1122018,-1.7028437,-0.96545184
A050_T4,-1.2497724,-2.0987473,-1.1825166
A051_T1,1.5052818,1.5023345,1.6877469
A051_T2,0.8308078,1.4286647,1.3805726
A051_T3,0.18085957,0.0922008,0.61215967
A051_T4,-0.09409481,0.05521692,0.43356422
A052_T1,0.78518,0.82514465,1.1372821
A052_T2,0.45461488,0.34325406,-0.4642248
A052_T3,0.158515,-0.12177039,-0.4959176
A052_T4,0.060723606,0.14562316,-0.222434
A053_T1,1.004973,0.7645177,0.5304835
A053_T2,-0.6684484,-0.57099736,0.47140506
A053_T3,-0.6151031,-0.5486041,0.43932092
A053_T4,-0.76263183,-0.5840901,0.42926997
A054_T1,1.4679147,1.8550574,1.1168057
A054_T2,0.7897533,0.86313033,0.5328838
A054_T3,1.080245,1.0470487,0.14301616
A054_T4,0.809073,0.73821586,0.28367737
A055_T1,0.96623313,0.71065813,0.76038986
A055_T2,0.020655956,-0.36286187,-0.45974782
A055_T3,-0.29948154,-0.71305823,-1.0557392
A055_T4,0.07703926,-0.68013084,-0.5038878
