composite_ID,UID,test,theta_confidence,se_confidence,TSVR_hours,Age,Age_c,Time,Time_recip,Time_log
A061_T2,A061,T2,2.2201235,0.07339282,35.16,47.0,2.4299999999999997,35.16,0.02765486725663717,3.5879535355239756
A061_T3,A061,T3,0.58240455,0.07339282,82.55,47.0,2.4299999999999997,82.55,0.01196888090963495,4.425445255041403
A061_T4,A061,T4,1.2262194,0.07339282,146.56,47.0,2.4299999999999997,146.56,0.006776904310111141,4.994234872728475
A062_T1,A062,T1,0.8056381,0.07339282,1.0,48.0,3.4299999999999997,1.0,0.5,0.6931471805599453
A062_T2,A062,T2,-0.1124377,0.07339282,44.69,48.0,3.4299999999999997,44.69,0.02188662727073758,3.8218794555751803
A062_T3,A062,T3,-0.80934817,0.07339282,92.72,48.0,3.4299999999999997,92.72,0.010670081092616303,4.540311613639595
A062_T4,A062,T4,-1.309975,0.07339282,149.18,48.0,3.4299999999999997,149.18,0.006658676255160474,5.011834574671738
A063_T1,A063,T1,-0.22373737,0.07339282,1.0,45.0,0.4299999999999997,1.0,0.5,0.6931471805599453
A063_T2,A063,T2,-0.5303791,0.07339282,21.98,45.0,0.4299999999999997,21.98,0.04351610095735422,3.1346242724206097
A063_T3,A063,T3,-1.2802118,0.07339282,69.99,45.0,0.4299999999999997,69.99,0.014086491055078181,4.262539022051294
A063_T4,A063,T4,-1.7153044,0.07339282,141.09,45.0,0.4299999999999997,141.09,0.007037792948131466,4.956460659649984
A064_T1,A064,T1,0.97024375,0.07339282,1.0,47.0,2.4299999999999997,1.0,0.5,0.6931471805599453
A064_T2,A064,T2,0.085474685,0.07339282,37.65,47.0,2.4299999999999997,37.65,0.0258732212160414,3.654546775033431
A064_T3,A064,T3,0.11236071,0.07339282,82.99,47.0,2.4299999999999997,82.99,0.011906179307060364,4.430697744137536
A064_T4,A064,T4,-0.03018738,0.07339282,156.21,47.0,2.4299999999999997,156.21,0.006360918516633802,5.057582491203423
A065_T1,A065,T1,-0.13690929,0.07339282,1.0,47.0,2.4299999999999997,1.0,0.5,0.6931471805599453
A065_T2,A065,T2,-1.1207016,0.07339282,32.31,47.0,2.4299999999999997,32.31,0.030021014710297205,3.5058576522055884
A065_T3,A065,T3,-1.3502693,0.07339282,106.41,47.0,2.4299999999999997,106.41,0.009310120100549298,4.676653287609955
A065_T4,A065,T4,-1.8451918,0.07339282,187.43,47.0,2.4299999999999997,187.43,0.005307010560951016,5.238726585134399
A066_T1,A066,T1,0.46811906,0.07339282,1.0,47.0,2.4299999999999997,1.0,0.5,0.6931471805599453
A066_T2,A066,T2,-0.1757307,0.07339282,23.35,47.0,2.4299999999999997,23.35,0.04106776180698152,3.192531849528599
