composite_ID,UID,test,TSVR_hours,log_TSVR,paradigm,theta
A082_T3,A082,T3,75.71,4.3400320779712045,IFR,-0.43257886
A082_T4,A082,T4,170.25,5.143124477142335,IFR,-0.49679568
A083_T1,A083,T1,1.0,0.6931471805599453,IFR,1.0984006
A083_T2,A083,T2,25.15,3.263849190510932,IFR,0.47124055
A083_T3,A083,T3,74.3,4.321480134805848,IFR,0.4000141
A083_T4,A083,T4,144.91,4.982989993275931,IFR,0.17262267
A084_T1,A084,T1,1.0,0.6931471805599453,IFR,-0.90155774
A084_T2,A084,T2,27.25,3.34109345759245,IFR,-1.5261768
A084_T3,A084,T3,91.97,4.532276860467767,IFR,-0.50816375
A084_T4,A084,T4,162.51,5.096874150546495,IFR,-0.7438655
A085_T1,A085,T1,1.0,0.6931471805599453,IFR,-0.92760366
A085_T2,A085,T2,24.51,3.23907053215372,IFR,0.6092644
A085_T3,A085,T3,71.4,4.282206299391671,IFR,0.7134137
A085_T4,A085,T4,170.65,5.145457519903701,IFR,-1.1886498
A086_T1,A086,T1,1.0,0.6931471805599453,IFR,0.16175681
A086_T2,A086,T2,23.47,3.19744787745458,IFR,0.97896284
A086_T3,A086,T3,145.29,4.985590952989995,IFR,-0.7321089
A086_T4,A086,T4,169.55,5.139028508864655,IFR,-0.40483287
A087_T1,A087,T1,1.0,0.6931471805599453,IFR,1.8157933
A087_T2,A087,T2,31.07,3.4679210137050633,IFR,0.62617207
A087_T3,A087,T3,72.8,4.301358731606427,IFR,0.43678692
A087_T4,A087,T4,144.2,4.978112102390695,IFR,0.38138843
A088_T1,A088,T1,1.0,0.6931471805599453,IFR,0.3478918
A088_T2,A088,T2,24.25,3.228826155721369,IFR,1.056411
A088_T3,A088,T3,74.91,4.3295484280286765,IFR,0.77026975
A088_T4,A088,T4,149.93,5.016816153171337,IFR,0.6926134
A089_T1,A089,T1,1.0,0.6931471805599453,IFR,0.9575038
A089_T2,A089,T2,32.14,3.500741011998417,IFR,1.2418342
