composite_ID,theta_IFR,theta_ICR,theta_IRE
A098_T3,0.8764212,0.77039176,1.2394571
A098_T4,-0.43916053,0.48113236,0.6956076
A099_T1,1.583228,0.9500438,1.000926
A099_T2,1.2635034,1.1148117,0.760383
A099_T3,1.1010332,0.9912004,0.7556122
A099_T4,1.498696,1.5077595,1.5287204
A100_T1,1.2138578,1.1576971,0.9972012
A100_T2,1.3027267,1.0374577,0.81192833
A100_T3,1.3320247,0.93366724,0.46153018
A100_T4,0.73430395,0.487795,0.06969157
A101_T1,-0.39056328,-0.3810855,-0.36699754
A101_T2,-0.5729015,-0.834202,-1.0610656
A101_T3,-1.5214299,-1.9125223,-1.7132292
A101_T4,-1.6509829,-1.6894242,-1.7191386
A102_T1,0.54301894,0.4600525,0.31425256
A102_T2,0.45402664,0.15757172,-0.01553344
A102_T3,-1.1572036,-0.4673339,-0.6176736
A102_T4,-0.25201443,-0.1657483,-0.43528602
A103_T1,-0.6851417,-2.3211286,-2.0767608
A103_T2,-2.3814921,-2.5421531,-2.2027519
A103_T3,-2.4814072,-2.7891552,-2.655762
A103_T4,-1.4361702,-2.8055694,-2.1713862
A104_T1,1.2070194,1.4719104,1.3410137
A104_T2,0.53414893,0.7074917,0.5412675
A104_T3,-0.32317615,-0.2936256,-0.6744745
A104_T4,-2.690314,-2.2986536,-2.4129994
A105_T1,2.2877636,1.8173543,1.8603737
A105_T2,1.5524042,1.0095627,1.2933698
A105_T3,0.08350771,0.25031412,0.11414294
A105_T4,0.17144814,0.10499896,0.16883804
A106_T1,1.3807734,0.96756464,0.7248642
A106_T2,0.6904931,-0.16267148,-0.4244777
A106_T3,0.76430345,0.22450134,0.2311828
A106_T4,0.2808676,-0.30677706,-0.27145573
A107_T1,-1.8289064,-2.5600975,-2.9225004
A107_T2,0.20699364,-0.5183722,-0.6813542
A107_T3,-1.2870141,-0.6566056,-0.32282624
A107_T4,-1.1050544,-1.5185736,-1.7804959
A108_T1,-1.0606097,-0.982654,-0.40205455
A108_T2,-1.9569222,-1.5333081,-1.3129096
A108_T3,-1.0270028,-0.8005817,-0.1637497
A108_T4,-1.3194215,-0.52236193,-0.63744706
A109_T1,1.0104384,0.8492277,0.3015212
A109_T2,0.6642753,-0.16662544,-0.24608654
A109_T3,0.9540378,0.7241619,0.4424208
A109_T4,1.0530182,0.25088716,0.32362762
