composite_ID,UID,test,paradigm,TSVR_hours,ma_theta,ma_theta_se
A084_T1,A084,T1,IFR,1.0,-0.5477087107949089,0.0
A084_T2,A084,T2,IFR,27.25,-0.6313657078406882,0.0
A084_T3,A084,T3,IFR,91.97,-0.8376240258903205,0.0
A084_T4,A084,T4,IFR,162.51,-1.0624302952849596,0.0
A085_T1,A085,T1,IFR,1.0,-0.5477087107949089,0.0
A085_T2,A085,T2,IFR,24.51,-0.6226335108157194,0.0
A085_T3,A085,T3,IFR,71.4,-0.7720688095386372,0.0
A085_T4,A085,T4,IFR,170.65,-1.0883719317022031,0.0
A086_T1,A086,T1,IFR,1.0,-0.5477087107949089,0.0
A086_T2,A086,T2,IFR,23.47,-0.619319100266096,0.0
A086_T3,A086,T3,IFR,145.29,-1.0075513052229284,0.0
A086_T4,A086,T4,IFR,169.55,-1.0848663051593324,0.0
A087_T1,A087,T1,IFR,1.0,-0.5477087107949089,0.0
A087_T2,A087,T2,IFR,31.07,-0.6435397927441122,0.0
A087_T3,A087,T3,IFR,72.8,-0.7765305160477455,0.0
A087_T4,A087,T4,IFR,144.2,-1.0040775480122655,0.0
A088_T1,A088,T1,IFR,1.0,-0.5477087107949089,0.0
A088_T2,A088,T2,IFR,24.25,-0.6218049081783136,0.0
A088_T3,A088,T3,IFR,74.91,-0.7832549451436157,0.0
A088_T4,A088,T4,IFR,149.93,-1.0223386753674013,0.0
A089_T1,A089,T1,IFR,1.0,-0.5477087107949089,0.0
A089_T2,A089,T2,IFR,32.14,-0.6469498112903591,0.0
A089_T3,A089,T3,IFR,79.34,-0.7973730593117225,0.0
A089_T4,A089,T4,IFR,146.96,-1.0128734837016504,0.0
A090_T1,A090,T1,IFR,1.0,-0.5477087107949089,0.0
A090_T2,A090,T2,IFR,23.54,-0.6195421855915515,0.0
A090_T3,A090,T3,IFR,95.42,-0.8486189455020514,0.0
A090_T4,A090,T4,IFR,144.07,-1.0036632466935624,0.0
