UID,domain,TEST,HCE_rate,N_items,Days_mean,domain_Where,domain_When,HCE_rate_trans
A031,When,1,0.15384615384615385,26,0.04166666666666666,0,1,0.4044410432789647
A031,When,2,0.038461538461538464,26,1.1987375,0,1,0.19997954661742062
A031,When,3,0.19230769230769232,26,3.2778375,0,1,0.45522866891804775
A031,When,4,0.19230769230769232,26,6.307300000000001,0,1,0.45522866891804775
A031,Where,1,0.14,50,0.04166666666666666,1,0,0.38493583409084897
A031,Where,2,0.12,50,1.1987375,1,0,0.35527749346034315
A031,Where,3,0.1,50,3.2778375,1,0,0.323413536785469
A031,Where,4,0.04,50,6.307300000000001,1,0,0.20389438103477908
A032,What,1,0.06896551724137931,29,0.04166666666666666,0,0,0.267695745166414
A032,What,2,0.034482758620689655,29,1.1987375,0,0,0.18950082284559064
A032,What,3,0.034482758620689655,29,3.2778375,0,0,0.18950082284559064
A032,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A032,When,1,0.07692307692307693,26,0.04166666666666666,0,1,0.28290573721145973
A032,When,2,0.038461538461538464,26,1.1987375,0,1,0.19997954661742062
A032,When,3,0.07692307692307693,26,3.2778375,0,1,0.28290573721145973
A032,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A032,Where,1,0.14,50,0.04166666666666666,1,0,0.38493583409084897
A032,Where,2,0.12,50,1.1987375,1,0,0.35527749346034315
A032,Where,3,0.04,50,3.2778375,1,0,0.20389438103477908
A032,Where,4,0.06,50,6.307300000000001,1,0,0.24956430006370459
A033,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A033,What,2,0.13793103448275862,29,1.1987375,0,0,0.38195417820268907
A033,What,3,0.034482758620689655,29,3.2778375,0,0,0.18950082284559064
A033,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A033,When,1,0.07692307692307693,26,0.04166666666666666,0,1,0.28290573721145973
A033,When,2,0.038461538461538464,26,1.1987375,0,1,0.19997954661742062
A033,When,3,0.038461538461538464,26,3.2778375,0,1,0.19997954661742062
A033,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A033,Where,1,0.08,50,0.04166666666666666,1,0,0.28859435195061733
A033,Where,2,0.08,50,1.1987375,1,0,0.28859435195061733
A033,Where,3,0.02,50,3.2778375,1,0,0.1454258194533693
A033,Where,4,0.08,50,6.307300000000001,1,0,0.28859435195061733
A034,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A034,What,2,0.13793103448275862,29,1.1987375,0,0,0.38195417820268907
A034,What,3,0.06896551724137931,29,3.2778375,0,0,0.267695745166414
A034,What,4,0.10344827586206896,29,6.307300000000001,0,0,0.329092735817834
A034,When,1,0.19230769230769232,26,0.04166666666666666,0,1,0.45522866891804775
A034,When,2,0.23076923076923078,26,1.1987375,0,1,0.5022788480074405
A034,When,3,0.19230769230769232,26,3.2778375,0,1,0.45522866891804775
A034,When,4,0.07692307692307693,26,6.307300000000001,0,1,0.28290573721145973
A034,Where,1,0.08,50,0.04166666666666666,1,0,0.28859435195061733
A034,Where,2,0.2,50,1.1987375,1,0,0.46489644061454977
A034,Where,3,0.34,50,3.2778375,1,0,0.6235885453355562
A034,Where,4,0.28,50,6.307300000000001,1,0,0.5587118091752663
A035,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A035,What,2,0.034482758620689655,29,1.1987375,0,0,0.18950082284559064
A035,What,3,0.034482758620689655,29,3.2778375,0,0,0.18950082284559064
A035,What,4,0.034482758620689655,29,6.307300000000001,0,0,0.18950082284559064
A035,When,1,0.038461538461538464,26,0.04166666666666666,0,1,0.19997954661742062
A035,When,2,0.038461538461538464,26,1.1987375,0,1,0.19997954661742062
A035,When,3,0.11538461538461539,26,3.2778375,0,1,0.3481420348899342
A035,When,4,0.07692307692307693,26,6.307300000000001,0,1,0.28290573721145973
A035,Where,1,0.14,50,0.04166666666666666,1,0,0.38493583409084897
A035,Where,2,0.04,50,1.1987375,1,0,0.20389438103477908
A035,Where,3,0.1,50,3.2778375,1,0,0.323413536785469
A035,Where,4,0.04,50,6.307300000000001,1,0,0.20389438103477908
A036,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A036,What,2,0.0,29,1.1987375,0,0,0.03162804943757168
A036,What,3,0.0,29,3.2778375,0,0,0.03162804943757168
A036,What,4,0.0,29,6.307300000000001,0,0,0.03162804943757168
A036,When,1,0.0,26,0.04166666666666666,0,1,0.03162804943757168
A036,When,2,0.0,26,1.1987375,0,1,0.03162804943757168
A036,When,3,0.0,26,3.2778375,0,1,0.03162804943757168
A036,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A036,Where,1,0.0,50,0.04166666666666666,1,0,0.03162804943757168
A036,Where,2,0.0,50,1.1987375,1,0,0.03162804943757168
A036,Where,3,0.0,50,3.2778375,1,0,0.03162804943757168
A036,Where,4,0.0,50,6.307300000000001,1,0,0.03162804943757168
A037,What,1,0.0,29,0.04166666666666666,0,0,0.03162804943757168
A037,What,2,0.0,29,1.1987375,0,0,0.03162804943757168
A037,What,3,0.06896551724137931,29,3.2778375,0,0,0.267695745166414
A037,What,4,0.034482758620689655,29,6.307300000000001,0,0,0.18950082284559064
A037,When,1,0.038461538461538464,26,0.04166666666666666,0,1,0.19997954661742062
A037,When,2,0.038461538461538464,26,1.1987375,0,1,0.19997954661742062
A037,When,3,0.07692307692307693,26,3.2778375,0,1,0.28290573721145973
A037,When,4,0.0,26,6.307300000000001,0,1,0.03162804943757168
A037,Where,1,0.14,50,0.04166666666666666,1,0,0.38493583409084897
A037,Where,2,0.04,50,1.1987375,1,0,0.20389438103477908
A037,Where,3,0.06,50,3.2778375,1,0,0.24956430006370459
A037,Where,4,0.0,50,6.307300000000001,1,0,0.03162804943757168
A038,What,1,0.034482758620689655,29,0.04166666666666666,0,0,0.18950082284559064
A038,What,2,0.10344827586206896,29,1.1987375,0,0,0.329092735817834
A038,What,3,0.10344827586206896,29,3.2778375,0,0,0.329092735817834
A038,What,4,0.034482758620689655,29,6.307300000000001,0,0,0.18950082284559064
A038,When,1,0.23076923076923078,26,0.04166666666666666,0,1,0.5022788480074405
A038,When,2,0.3076923076923077,26,1.1987375,0,1,0.5890854491631276
A038,When,3,0.15384615384615385,26,3.2778375,0,1,0.4044410432789647
A038,When,4,0.15384615384615385,26,6.307300000000001,0,1,0.4044410432789647
A038,Where,1,0.16,50,0.04166666666666666,1,0,0.41287898879075535
A038,Where,2,0.18,50,1.1987375,1,0,0.4394490723289309
A038,Where,3,0.08,50,3.2778375,1,0,0.28859435195061733
A038,Where,4,0.26,50,6.307300000000001,1,0,0.5362099999892563
A039,What,1,0.06896551724137931,29,0.04166666666666666,0,0,0.267695745166414
A039,What,2,0.034482758620689655,29,1.1987375,0,0,0.18950082284559064
A039,What,3,0.06896551724137931,29,3.2778375,0,0,0.267695745166414
