age_tertile,TSVR_hours,theta_observed,se_observed,ci_lower,ci_upper,theta_predicted
Older,22.82,,,,,
Older,22.83,-0.78696686,,,,-0.5322622133050998
Older,22.96,,,,,
Older,22.98,-0.17624284,,,,-0.7006690175391107
Older,23.24,,,,,
Older,23.33,,,,,
Older,23.35,,,,,
Older,23.46,,,,,
Older,23.47,-0.35819164,,,,-0.2125641164814704
Older,23.54,-0.51139903,,,,-0.5413122186551969
Older,23.69,,,,,
Older,23.7,,,,,
Older,23.91,,,,,
Older,24.15,,,,,
Older,24.25,2.599694,,,,1.368286993607695
Older,24.32,,,,,
Older,24.37,-0.5491651,,,,0.16797918330696598
Older,24.49,-1.2598481,,,,-1.0431832806288244
Older,24.51,1.7130281,,,,0.3607246836838347
Older,24.57,,,,,
Older,24.65,-1.0994496,,,,-0.5548025761503816
Older,24.66,,,,,
Older,24.73,,,,,
Older,24.77,,,,,
Older,24.78,,,,,
Older,24.87,,,,,
Older,24.96,,,,,
Older,25.15,0.9028967,,,,0.6836016436568649
Older,25.6,,,,,
Older,25.62,,,,,
Older,25.63,,,,,
Older,25.66,,,,,
Older,25.77,0.3483601,,,,0.3510262439086037
Older,26.08,,,,,
Older,26.11,,,,,
Older,26.17,,,,,
Older,26.22,-1.6166046,,,,-0.9337172755332616
Older,26.26,,,,,
Older,26.48,,,,,
Older,26.85,,,,,
Older,27.12,,,,,
Older,27.25,-0.4066572,,,,0.06021257762955805
Older,27.26,-1.0142955,,,,-0.36966093747782514
Older,27.3,-0.7679121,,,,-0.9557382673916233
Older,27.61,-1.1094757,,,,-0.6212371902525401
Older,27.97,1.1720833,,,,0.4656379746318268
Older,28.26,,,,,
Older,28.43,,,,,
Older,28.65,,,,,
Older,28.68,0.49708104,,,,-0.13719063334514547
Older,28.69,,,,,
Older,28.75,1.2483166,,,,0.6525023506287715
Older,28.93,,,,,
Older,29.03,0.34285796,,,,0.08189881112715783
Older,29.12,-0.70036155,,,,-0.9002034422799846
Older,29.13,1.0700971,,,,0.027143331000130222
Older,29.16,,,,,
Older,29.33,-0.16370372,,,,-0.16899755205541372
Older,29.57,,,,,
Older,29.71,-0.27584857,,,,0.019320996307164412
Older,29.91,,,,,
Older,30.21,,,,,
Older,30.4,,,,,
Older,30.49,,,,,
Older,30.92,,,,,
Older,31.07,1.112516,,,,0.499808021028132
Older,31.14,0.79101294,,,,0.2251538421292001
