UID,TEST,Domain,TSVR_hours,theta_accuracy,theta_confidence,theta_accuracy_z,theta_confidence_z,latent_calibration
A061,T4,What,146.56,-0.31471238,-0.27913383,-0.4260032297972768,0.8262102022777481,0.7321033057368819
A062,T1,What,1.0,1.241772,-0.025706012,1.4117677998054672,1.2528961761015955,0.21395773777876004
A062,T2,What,44.69,0.4567172,-0.8947107,0.4848385054102503,-0.2102112068328568,-0.32664164562040743
A062,T3,What,92.72,-0.8347038,-1.1198639,-1.0399670958002192,-0.5892923714805178,0.08716247093882779
A062,T4,What,149.18,-0.5505843,-1.6989232,-0.7045017401856535,-1.564230652811005,-0.6839999775409407
A063,T1,What,1.0,0.7833641,-1.0210048,0.870516779759232,-0.4228473786311178,-0.6295724909885145
A063,T2,What,21.98,0.50485903,-1.7673504,0.5416804895784822,-1.679438709678855,-1.2953233697563786
A063,T3,What,69.99,0.36549178,-2.1477082,0.3771268982823055,-2.319831463620714,-1.6359144038132616
A063,T4,What,141.09,-0.6113484,-2.477313,-0.7762470811956828,-2.874773482910067,-1.4952656977627066
A064,T1,What,1.0,1.0437275,-0.4705508,1.177932851412242,0.5039293378666432,-0.16653621709198896
A064,T2,What,37.65,0.62713385,-0.43880627,0.6860527201856987,0.5573762948878741,0.07988287624154394
A064,T3,What,82.99,0.41516995,-0.6070419,0.4357828686234151,0.2741248973699485,0.005759017806344635
A064,T4,What,156.21,-0.070843264,-0.55356926,-0.1380622763521603,0.3641545778185725,0.3110262997768291
A065,T1,What,1.0,-2.1746836,-0.7599667,-2.622107005673828,0.0166517133889496,1.1586960854704822
A065,T2,What,32.31,-1.1918952,-1.4849308,-1.4617098484921835,-1.203940467205168,-0.12599803292512646
A065,T3,What,106.41,-1.9587346,-2.2474854,-2.3671318699312622,-2.4878222236067264,-0.5606938423774885
A065,T4,What,187.43,-2.4718368,-1.7795594,-2.9729615014405955,-1.699994499866084,0.2067916892465893
A066,T1,What,1.0,0.5877305,-0.81996965,0.6395284273435841,-0.0843727809033605,-0.3124676708488248
A066,T2,What,23.35,-0.24346694,-0.46592626,-0.3418823691540749,0.5117154852949706,0.4937301312342068
A066,T3,What,73.79,-0.82052904,-0.8389682,-1.0232306841700736,-0.1163598566394231,0.3838688098279945
A066,T4,What,164.93,-1.2888547,-1.3690192,-1.5761917941091177,-1.0087848828111916,0.04877391092971872
A067,T1,What,1.0,0.88467497,-0.47319022,0.9901364715866884,0.4994854551787918,-0.0884242895448824
A067,T2,What,29.91,-1.1704557,-1.5407175,-1.4363958186853645,-1.2978662351171926,-0.19727190906738978
A067,T3,What,73.19,-1.4594061,-1.3362082,-1.777565110800024,-0.9535423541984316,0.17109595981498416
A067,T4,What,144.19,-1.1524973,-1.2376945,-1.415191990569841,-0.7876788970956666,0.12144950954556344
A068,T1,What,1.0,1.5781611,0.043350097,1.80894887698026,1.3691631011364422,0.11743158274372567
A068,T2,What,30.49,0.14502825,-0.38292572,0.1168213701806002,0.6514600741774949,0.3857662364773708
A068,T3,What,82.98,0.23438412,-0.39800465,0.2223255636829783,0.6260723011143514,0.3239634654108018
A068,T4,What,155.59,-0.37933305,-0.7517871,-0.5023020971457042,0.0304233688411128,0.2536001643889133
A069,T1,What,1.0,-0.41606086,-0.9856775,-0.5456673284747547,-0.3633682594009343,0.01923331142974516
A069,T2,What,24.96,-1.4017547,-1.4256461,-1.7094949945191014,-1.1041252608399588,0.04497819132802083
A069,T3,What,79.75,-0.28530526,-1.7863635,-0.3912816778854925,-1.711450282650336,-0.9136518848178408
A069,T4,What,140.22,-1.4135531,-1.3407162,-1.7234255922136732,-0.9611322880311804,0.14287636243548696
A070,T1,What,1.0,0.5219151,-0.29940233,0.5618189193164514,0.7920849640592325,0.28427742565997705
A070,T2,What,24.25,0.19770284,-0.38949186,0.1790152712194287,0.6404049348393038,0.3518471654599269
A070,T3,What,81.92,-0.34628716,-0.965894,-0.4632841795425483,-0.3300595956963679,0.005119377838644135
A070,T4,What,149.2,-0.6466961,-1.3122176,-0.8179827901162496,-0.9131503695915236,-0.21666717416747422
A071,T1,What,1.0,0.8269955,-0.03096188,0.9220332125171432,1.2440470877356546,0.419418274796641
A071,T2,What,30.92,0.52419287,-0.709585,0.5645083261437133,0.1014773055321173,-0.16068957807512127
A071,T3,What,79.96,-1.1711217,-1.4961342,-1.4371821776886688,-1.222803170111516,-0.14869484840982283
A071,T4,What,153.27,0.10002842,-0.97358733,0.0636892058147436,-0.3430125383879164,-0.23040724030572346
A072,T1,What,1.0,0.81125784,-0.007103957,0.903451454811526,1.2842156895450636,0.4532434118813764
A072,T2,What,33.76,0.4618086,-0.044950858,0.4908500192682432,1.2204944219397855,0.5901855864200869
