UID,TEST,theta_accuracy,Domain,theta_confidence,TSVR_hours,theta_accuracy_z,theta_confidence_z,calibration,abs_calibration
A021,T2,-0.32053202,When,-0.0008776629,30.21,-0.4328745906230869,1.294698644345914,1.727573234969001,1.727573234969001
A021,T3,-0.5406563,When,-0.9314569,74.19,-0.6927795597279889,-0.27207926952250955,0.42070029020547933,0.42070029020547933
A021,T4,0.6593701,When,-0.42469922,140.39,0.7241146802761889,0.5811277536445908,-0.14298692663159807,0.14298692663159807
A022,T1,-0.29673445,When,-0.43350235,1.0,-0.4047763422353046,0.5663062864260714,0.9710826286613761,0.9710826286613761
A022,T2,0.13275431,When,-1.4277006,24.15,0.10232929326616165,-1.1075843378273995,-1.2099136310935612,1.2099136310935612
A022,T3,-0.38698846,When,-0.47263387,74.46,-0.5113409869016882,0.5004221587475252,1.0117631456492133,1.0117631456492133
A022,T4,1.2099777,When,-1.7234702,141.71,1.3742276585761033,-1.6055594251695862,-2.9797870837456895,2.9797870837456895
A023,T1,0.1523731,When,-0.27271402,1.0,0.1254935757743228,0.8370189718249573,0.7115253960506345,0.7115253960506345
A023,T2,-0.40719613,When,-0.56245905,25.63,-0.5352005713465847,0.3491872047291688,0.8843877760757535,0.8843877760757535
A023,T3,0.719344,When,-0.41440842,72.2,0.7949270169552708,0.5984539495376812,-0.19647306741758963,0.19647306741758963
A023,T4,-0.67562586,When,-0.079045445,145.07,-0.8521407138991791,1.1630907707896307,2.01523148468881,2.01523148468881
A024,T1,0.58032763,When,-0.7118494,1.0,0.6307877164204746,0.09766482856430986,-0.5331228878561647,0.5331228878561647
A024,T2,0.188868,When,-0.2438342,29.57,0.16858380578886956,0.8856427346691667,0.7170589288802971,0.7170589288802971
A024,T3,-0.40437686,When,-0.7560775,91.47,-0.5318718050594292,0.023199799161426768,0.555071604220856,0.555071604220856
A024,T4,0.012096136,When,-0.90541756,145.65,-0.04013413233016009,-0.2282379058028002,-0.18810377347264012,0.18810377347264012
A025,T1,1.8713145,When,-0.31276497,1.0,2.1550807319941505,0.7695868377436064,-1.3854938942505441,1.3854938942505441
A025,T2,-0.34693974,When,-0.28823516,23.33,-0.4640546932938641,0.8108866680075593,1.2749413613014233,1.2749413613014233
A025,T3,-0.5656397,When,-0.7726709,72.94,-0.7222779403933812,-0.004737824631903883,0.7175401157614774,0.7175401157614774
A025,T4,0.9356526,When,-1.4146963,137.74,1.0503267393308515,-1.0856895338031722,-2.1360162731340235,2.1360162731340235
A026,T1,0.78948355,When,-0.35576278,1.0,0.8777421320156438,0.6971931969154997,-0.18054893510014403,0.18054893510014403
A026,T2,-0.23021683,When,-0.6508866,26.48,-0.326237709554568,0.20030538274778328,0.5265430923023513,0.5265430923023513
A026,T3,-0.40833437,When,-1.1103377,75.46,-0.536544513196316,-0.5732535010995218,-0.03670898790320576,0.03670898790320576
A026,T4,0.05735785,When,-0.6089159,147.65,0.01330724350900183,0.27096972079440046,0.25766247728539865,0.25766247728539865
A027,T1,-0.22206005,When,-0.2414508,1.0,-0.31660684260115657,0.8896555670331803,1.2062624096343368,1.2062624096343368
A027,T2,-0.06869045,When,-0.80542314,28.26,-0.13552040747627533,-0.05988142145406634,0.075638986022209,0.075638986022209
A027,T3,-0.5055675,When,-1.2925727,74.58,-0.6513495390145624,-0.8800750609954793,-0.2287255219809169,0.2287255219809169
A027,T4,-0.49662566,When,-1.6147063,145.92,-0.6407917366270159,-1.4224381287206715,-0.7816463920936556,0.7816463920936556
A028,T1,0.6571814,When,0.11271255,1.0,0.721530440110225,1.4859458049401575,0.7644153648299324,0.7644153648299324
A028,T2,0.23109137,When,-0.6151377,22.82,0.21843775045755784,0.26049433252452536,0.042056582066967524,0.042056582066967524
A028,T3,0.13950114,When,-0.6513417,72.26,0.11029540514943972,0.19953914963170424,0.08924374448226452,0.08924374448226452
A028,T4,-0.2413052,When,-1.1176409,138.91,-0.33932996117839487,-0.5855495979866848,-0.24621963680828995,0.24621963680828995
A029,T1,-0.440256,When,0.15971495,1.0,-0.5742349954044945,1.5650818089287095,2.139316804333204,2.139316804333204
A029,T2,-0.63901347,When,-0.4085433,28.43,-0.8089117611829834,0.6083288103897512,1.4172405715727345,1.4172405715727345
A029,T3,0.8619237,When,-0.27994117,93.26,0.9632736097231663,0.8248509171888991,-0.1384226925342672,0.1384226925342672
A029,T4,0.69581985,When,-0.51977456,143.14,0.767151600817764,0.42105332158467623,-0.3460982792330878,0.3460982792330878
A030,T1,-0.59050345,When,-0.5542161,1.0,-0.7516350480036005,0.36306551996578296,1.1147005679693835,1.1147005679693835
A030,T2,-0.44718823,When,-0.55999696,32.95,-0.5824200126319358,0.3533325242034972,0.9357525368354329,0.9357525368354329
A030,T3,-0.73775506,When,-1.0542847,71.93,-0.9254978547221373,-0.47887937485128107,0.44661847987085623,0.44661847987085623
A030,T4,-0.45172146,When,-0.41088024,150.46,-0.5877724844405677,0.6043942008131975,1.1921666852537651,1.1921666852537651
A031,T1,0.38252574,When,0.44419822,1.0,0.3972392223182281,2.0440545675409565,1.6468153452227283,1.6468153452227283
A031,T2,-0.53448284,When,-0.6096085,32.41,-0.6854904368262793,0.269803618715305,0.9552940555415843,0.9552940555415843
A031,T3,1.0439749,When,-0.7037352,71.56,1.1782249613483045,0.1113263727314993,-1.0668985886168052,1.0668985886168052
A031,T4,-0.3085659,When,-1.2458041,143.85,-0.41874596270023556,-0.8013326964324146,-0.382586733732179,0.382586733732179
A032,T1,1.4072789,When,-0.069407284,1.0,1.607184978369995,1.179318145292599,-0.42786683307739604,0.42786683307739604
A032,T2,-0.40239063,When,-0.5397725,57.18,-0.5295266251147851,0.38738361408882876,0.9169102392036139,0.9169102392036139
A032,T3,1.1389438,When,-0.099494,80.16,1.2903565672775847,1.1286623813873848,-0.1616941858901999,0.1616941858901999
A032,T4,-0.058941893,When,0.01084882,144.51,-0.1240100988183555,1.314442040375608,1.4384521391939635,1.4384521391939635
A033,T1,-0.48073784,When,-0.2103071,1.0,-0.6220326821226958,0.9420909313426254,1.5641236134653211,1.5641236134653211
A033,T2,0.06584682,When,-0.4873249,29.16,0.02333033358149379,0.47568747692966185,0.45235714334816807,0.45235714334816807
A033,T3,0.16199993,When,0.13898459,72.6,0.1368601590232408,1.530178956060683,1.3933187970374423,1.3933187970374423
A033,T4,1.4573243,When,-0.38317016,168.33,1.6662745442318,0.6510485206224645,-1.0152260236093356,1.0152260236093356
A034,T1,1.3157963,When,0.32451737,1.0,1.499169713871975,1.8425528522465615,0.34338313837458645,0.34338313837458645
A034,T2,0.14213738,When,0.2160329,26.08,0.11340806439699347,1.659902020573797,1.5464939561768036,1.5464939561768036
A034,T3,1.5336407,When,-0.31449008,74.28,1.7563827848320526,0.7666823411255466,-0.989700443706506,0.989700443706506
A034,T4,-0.30377996,When,-0.37914577,145.38,-0.41309511133646093,0.6578242202269845,1.0709193315634455,1.0709193315634455
A035,T1,0.14575137,When,-0.83557534,1.0,0.11767517186598972,-0.11064743807159251,-0.22832260993758224,0.22832260993758224
A035,T2,-0.12394886,When,-0.32599938,44.76,-0.2007650744609261,0.7473046069948333,0.9480696814557593,0.9480696814557593
A035,T3,-0.20610072,When,-1.0136437,79.98,-0.2977633548651152,-0.4104537978999183,-0.11269044303480313,0.11269044303480313
A035,T4,-0.41800168,When,-1.2362784,152.47,-0.5479588919594289,-0.7852946678808141,-0.23733577592138522,0.23733577592138522
A036,T1,-0.4841802,When,-1.45985,1.0,-0.6260971427512458,-1.161712957783605,-0.5356158150323591,0.5356158150323591
A036,T2,0.9630702,When,-2.2795773,21.63,1.0826992267317443,-2.541854033182412,-3.6245532599141566,3.6245532599141566
A036,T3,0.60024065,When,-2.0002015,71.47,0.6542994019459664,-2.071480511338743,-2.7257799132847094,2.7257799132847094
