UID,composite_ID,test,congruence,theta,se,TSVR_hours,TSVR_sq,TSVR_log
A028,A028_3,3,Congruent,0.33955434,0.2061241640685505,72.26,5221.507600000001,4.294014757350668
A028,A028_3,3,Incongruent,0.7839161,0.2365098342133737,72.26,5221.507600000001,4.294014757350668
A028,A028_4,4,Common,-0.8199109,0.1962873223365104,138.91,19295.9881,4.940999358745194
A028,A028_4,4,Congruent,-0.26649505,0.2061241640685505,138.91,19295.9881,4.940999358745194
A028,A028_4,4,Incongruent,-0.9181857,0.2365098342133737,138.91,19295.9881,4.940999358745194
A029,A029_1,1,Common,2.1297944,0.1962873223365104,1.0,1.0,0.6931471805599453
A029,A029_1,1,Congruent,2.0094688,0.2061241640685505,1.0,1.0,0.6931471805599453
A029,A029_1,1,Incongruent,2.0491304,0.2365098342133737,1.0,1.0,0.6931471805599453
A029,A029_2,2,Common,0.2633854,0.1962873223365104,28.43,808.2649,3.382014562245381
A029,A029_2,2,Congruent,-1.0400926,0.2061241640685505,28.43,808.2649,3.382014562245381
A029,A029_2,2,Incongruent,0.70584047,0.2365098342133737,28.43,808.2649,3.382014562245381
A029,A029_3,3,Common,0.59773153,0.1962873223365104,93.26,8697.4276,4.546056921495585
A029,A029_3,3,Congruent,1.1122811,0.2061241640685505,93.26,8697.4276,4.546056921495585
A029,A029_3,3,Incongruent,1.139065,0.2365098342133737,93.26,8697.4276,4.546056921495585
A029,A029_4,4,Common,0.7445269,0.1962873223365104,143.14,20489.0596,4.970785049496295
A029,A029_4,4,Congruent,0.76615715,0.2061241640685505,143.14,20489.0596,4.970785049496295
A029,A029_4,4,Incongruent,-0.03329531,0.2365098342133737,143.14,20489.0596,4.970785049496295
A030,A030_1,1,Common,0.26681468,0.1962873223365104,1.0,1.0,0.6931471805599453
A030,A030_1,1,Congruent,-0.06886573,0.2061241640685505,1.0,1.0,0.6931471805599453
A030,A030_1,1,Incongruent,0.5035225,0.2365098342133737,1.0,1.0,0.6931471805599453
A030,A030_2,2,Common,0.6206771,0.1962873223365104,32.95,1085.7025,3.5248888540047054
A030,A030_2,2,Congruent,1.0834099,0.2061241640685505,32.95,1085.7025,3.5248888540047054
A030,A030_2,2,Incongruent,0.39696884,0.2365098342133737,32.95,1085.7025,3.5248888540047054
A030,A030_3,3,Common,0.26908645,0.1962873223365104,71.93,5173.924900000001,4.289500076996142
A030,A030_3,3,Congruent,0.44725955,0.2061241640685505,71.93,5173.924900000001,4.289500076996142
A030,A030_3,3,Incongruent,0.04883193,0.2365098342133737,71.93,5173.924900000001,4.289500076996142
A030,A030_4,4,Common,0.2812115,0.1962873223365104,150.46,22638.2116,5.020321563685677
A030,A030_4,4,Congruent,0.5109756,0.2061241640685505,150.46,22638.2116,5.020321563685677
A030,A030_4,4,Incongruent,0.74509096,0.2365098342133737,150.46,22638.2116,5.020321563685677
A031,A031_1,1,Common,1.4706349,0.1962873223365104,1.0,1.0,0.6931471805599453
A031,A031_1,1,Congruent,0.50127923,0.2061241640685505,1.0,1.0,0.6931471805599453
A031,A031_1,1,Incongruent,1.6509279,0.2365098342133737,1.0,1.0,0.6931471805599453
A031,A031_2,2,Common,0.32438183,0.1962873223365104,32.41,1050.4081,3.508855256368665
A031,A031_2,2,Congruent,-0.14592373,0.2061241640685505,32.41,1050.4081,3.508855256368665
A031,A031_2,2,Incongruent,-0.64630777,0.2365098342133737,32.41,1050.4081,3.508855256368665
A031,A031_3,3,Common,0.38665065,0.1962873223365104,71.56,5120.8336,4.2844138058068815
A031,A031_3,3,Congruent,-0.8554333,0.2061241640685505,71.56,5120.8336,4.2844138058068815
A031,A031_3,3,Incongruent,-0.78419024,0.2365098342133737,71.56,5120.8336,4.2844138058068815
A031,A031_4,4,Common,-1.0031985,0.1962873223365104,143.85,20692.8225,4.975698724215359
A031,A031_4,4,Congruent,-0.5366472,0.2061241640685505,143.85,20692.8225,4.975698724215359
A031,A031_4,4,Incongruent,-1.1325623,0.2365098342133737,143.85,20692.8225,4.975698724215359
A032,A032_1,1,Common,0.82081884,0.1962873223365104,1.0,1.0,0.6931471805599453
A032,A032_1,1,Congruent,-0.35136977,0.2061241640685505,1.0,1.0,0.6931471805599453
A032,A032_1,1,Incongruent,0.72091097,0.2365098342133737,1.0,1.0,0.6931471805599453
A032,A032_2,2,Common,-0.60881156,0.1962873223365104,57.18,3269.5524,4.063541653067055
A032,A032_2,2,Congruent,0.803311,0.2061241640685505,57.18,3269.5524,4.063541653067055
A032,A032_2,2,Incongruent,-1.2736943,0.2365098342133737,57.18,3269.5524,4.063541653067055
A032,A032_3,3,Common,0.47702068,0.1962873223365104,80.16,6425.625599999999,4.396422514957614
A032,A032_3,3,Congruent,0.8270539,0.2061241640685505,80.16,6425.625599999999,4.396422514957614
A032,A032_3,3,Incongruent,-0.1421679,0.2365098342133737,80.16,6425.625599999999,4.396422514957614
A032,A032_4,4,Common,1.7664504,0.1962873223365104,144.51,20883.1401,4.980244812772187
A032,A032_4,4,Congruent,1.7046412,0.2061241640685505,144.51,20883.1401,4.980244812772187
A032,A032_4,4,Incongruent,1.6007003,0.2365098342133737,144.51,20883.1401,4.980244812772187
A033,A033_1,1,Common,-0.4666309,0.1962873223365104,1.0,1.0,0.6931471805599453
A033,A033_1,1,Congruent,-0.43331796,0.2061241640685505,1.0,1.0,0.6931471805599453
A033,A033_1,1,Incongruent,0.4552093,0.2365098342133737,1.0,1.0,0.6931471805599453
A033,A033_2,2,Common,-0.5709601,0.1962873223365104,29.16,850.3056,3.4065165431397557
A033,A033_2,2,Congruent,0.6877826,0.2061241640685505,29.16,850.3056,3.4065165431397557
A033,A033_2,2,Incongruent,0.13419229,0.2365098342133737,29.16,850.3056,3.4065165431397557
A033,A033_3,3,Common,0.934703,0.1962873223365104,72.6,5270.759999999999,4.298645025734831
A033,A033_3,3,Congruent,0.84835505,0.2061241640685505,72.6,5270.759999999999,4.298645025734831
A033,A033_3,3,Incongruent,0.67858124,0.2365098342133737,72.6,5270.759999999999,4.298645025734831
