UID,test,SD_confidence,mean_confidence,SD_accuracy,mean_accuracy
A067,2,0.22841907509097115,0.3277777777777778,0.4227114346265148,0.5034722222222222
A067,3,0.22929093941601478,0.3194444444444444,0.41883239968958225,0.4236111111111111
A067,4,0.1838554239107687,0.26666666666666666,0.4160206259181849,0.4097222222222222
A068,1,0.19903916302930263,0.8694444444444445,0.3844976195054019,0.7430555555555556
A068,2,0.29021604385815075,0.7833333333333333,0.4415681084115985,0.6041666666666666
A068,3,0.30391292715619184,0.6944444444444444,0.47285468094941674,0.5833333333333334
A068,4,0.3218564109906383,0.625,0.413899260459688,0.5902777777777778
A069,1,0.27521509584829384,0.6444444444444444,0.4531962432526097,0.4618055555555556
A069,2,0.22766419550621694,0.3666666666666667,0.4425084988087764,0.4444444444444444
A069,3,0.1625067712565398,0.275,0.4614967654011709,0.5069444444444444
A069,4,0.2435875577252669,0.3194444444444444,0.4236359635081337,0.3645833333333333
A070,1,0.3852930108701066,0.55,0.3973054538144083,0.7118055555555556
A070,2,0.36613277391912785,0.5055555555555555,0.4446583503244958,0.5347222222222222
A070,3,0.29865373462948314,0.3805555555555556,0.4459076437566005,0.53125
A070,4,0.22501956096504455,0.2916666666666667,0.4490905433416917,0.4722222222222222
A071,1,0.2863072318086211,0.7833333333333333,0.46890809801265604,0.6388888888888888
A071,2,0.2992818739292405,0.5972222222222222,0.4536411548124719,0.6111111111111112
A071,3,0.26917831265958214,0.4722222222222222,0.43894379472727196,0.5104166666666666
A071,4,0.31364383775870086,0.4722222222222222,0.4473311354661482,0.4618055555555556
A072,1,0.29598248901382146,0.7833333333333333,0.4158442587968901,0.6944444444444444
A072,2,0.3111767759899394,0.7583333333333333,0.4499608746684476,0.6666666666666666
A072,3,0.29703806472165095,0.6277777777777778,0.4029430074993792,0.5694444444444444
A072,4,0.3026745671240393,0.5722222222222223,0.4385118524708694,0.5694444444444444
A073,1,0.3166728440217839,0.5666666666666668,0.43994537913213533,0.6145833333333334
A073,2,0.2902160438581507,0.5166666666666667,0.44383271672803104,0.6111111111111112
A073,3,0.2259391805376713,0.6277777777777778,0.4150054914130335,0.6701388888888888
A073,4,0.26393850946046665,0.5361111111111111,0.4127160125828092,0.6875
A074,1,0.38050086421482887,0.6027777777777777,0.40728883369570557,0.6944444444444444
A074,2,0.3590872623358158,0.5416666666666666,0.45081596601192775,0.5729166666666666
A074,3,0.3339431042409913,0.3944444444444445,0.45951884664563564,0.53125
A074,4,0.352755750794101,0.47500000000000003,0.44383271672803104,0.4861111111111111
