UID,TEST,composite_ID,paradigm,IRT_theta,CTT_mean,IRT_fitted,CTT_fitted
A020,T4,A020_4,ICR,-2.0933332,0.3421052631578947,-1.2395437180519453,0.4360178603878831
A020,T4,A020_4,IRE,-2.305471,0.3035714285714285,-1.288214325196751,0.4221684903967819
A021,T1,A021_1,IFR,1.2711351,0.7916666666666666,0.9781282171733471,0.6999341810054053
A021,T1,A021_1,ICR,1.0224657,0.7894736842105263,1.072277400425381,0.8004229155336926
A021,T1,A021_1,IRE,1.3263483,0.75,1.0688989832375473,0.7849755006726523
A021,T2,A021_2,IFR,0.36641207,0.6666666666666666,0.5400174282273459,0.636860545048678
A021,T2,A021_2,ICR,0.23119716,0.7763157894736842,0.558024673034767,0.7142173312867832
A021,T2,A021_2,IRE,0.07185613,0.6071428571428571,0.5256773124089689,0.6997920279971324
A021,T3,A021_3,IFR,0.2283193,0.7291666666666666,0.39981393187541187,0.6166758234853563
A021,T3,A021_3,ICR,-0.09928185,0.6052631578947368,0.39345435838413034,0.686629961558786
A021,T3,A021_3,IRE,0.14021443,0.5535714285714286,0.35183640397680216,0.672531752738357
A021,T4,A021_4,IFR,1.0181938,0.8333333333333334,0.29911896520565207,0.6021790390403011
