composite_ID,domain,test,theta
A079_1,Where,1,0.53766596
A079_2,Where,2,-0.3025957
A079_3,Where,3,-0.8762622
A079_4,Where,4,-0.9346913
A080_1,Where,1,0.38280243
A080_2,Where,2,0.5524726
A080_3,Where,3,0.37515318
A080_4,Where,4,-0.64538527
A081_1,Where,1,0.50441945
A081_2,Where,2,-0.18483032
A081_3,Where,3,1.1800628
A081_4,Where,4,0.33096862
A082_1,Where,1,0.35655326
A082_2,Where,2,1.3607811
A082_3,Where,3,0.3973795
A082_4,Where,4,-0.14018959
A083_1,Where,1,2.0168736
A083_2,Where,2,1.00285
A083_3,Where,3,0.36194983
A083_4,Where,4,0.24137302
A084_1,Where,1,0.5691112
A084_2,Where,2,-0.18040624
A084_3,Where,3,0.03166853
A084_4,Where,4,-0.0047476077
A085_1,Where,1,0.2899799
A085_2,Where,2,1.4209598
A085_3,Where,3,0.025584096
A085_4,Where,4,-0.3731264
A086_1,Where,1,0.97849166
A086_2,Where,2,-0.18614894
A086_3,Where,3,-0.9601963
A086_4,Where,4,-1.1614163
A087_1,Where,1,1.2821014
A087_2,Where,2,1.1883459
A087_3,Where,3,-0.2785365
A087_4,Where,4,0.2586514
A088_1,Where,1,2.1475084
A088_2,Where,2,2.4879174
A088_3,Where,3,0.62272197
A088_4,Where,4,1.1072929
A089_1,Where,1,1.5649729
A089_2,Where,2,1.0718217
A089_3,Where,3,0.5249375
A089_4,Where,4,0.3508756
A090_1,Where,1,0.099213794
A090_2,Where,2,-0.24209194
A090_3,Where,3,-1.0358795
A090_4,Where,4,-1.1617507
A091_1,Where,1,0.7014804
A091_2,Where,2,-0.13521343
A091_3,Where,3,-0.8887421
A091_4,Where,4,-0.9598613
A092_1,Where,1,-0.13686992
A092_2,Where,2,-0.70090806
A092_3,Where,3,-0.4578089
A092_4,Where,4,-1.1760907
A093_1,Where,1,0.44534478
A093_2,Where,2,0.28671375
A093_3,Where,3,0.56649524
A093_4,Where,4,0.5191052
A094_1,Where,1,-0.71144027
A094_2,Where,2,-0.15374868
A094_3,Where,3,-1.4280683
A094_4,Where,4,-1.1847831
A095_1,Where,1,1.4802225
A095_2,Where,2,-0.3401414
A095_3,Where,3,-0.40075338
A095_4,Where,4,-0.9582339
A096_1,Where,1,-0.4121188
A096_2,Where,2,-0.88762873
A096_3,Where,3,-2.1615133
A096_4,Where,4,-1.2287564
A097_1,Where,1,0.14475676
A097_2,Where,2,-0.57904583
