observation,fitted,residual,standardized_residual,cooks_d,leverage
A100,0.0063670829679578975,-0.006735825963747398,-1.8432505453289845,0.09582325054923288,0.18391269625498463
A101,0.0038562259005857817,0.0044101298751663175,1.2068266521615267,0.07321484179074814,0.2655229677456756
A102,-0.002326727069775664,0.00241449333213653,0.6607231503763293,0.005488849985134632,0.09976729522156484
A103,0.0018986091229192656,-0.00034860720331476554,-0.09539593526820685,0.00015253338766364036,0.12550390435833614
A104,0.0014050433856109123,-0.004496938162123212,-1.2305816338272573,0.009103168001924362,0.0528062862599929
A105,0.0013846748929259663,-0.0019465587802154662,-0.5326734319529451,0.006868945499044813,0.16518886697607613
A106,-0.002532520317065096,0.000342166003104796,0.09363330870043338,9.469987270862724e-05,0.08797146416485371
A107,0.003292493161626787,0.005606475225730113,1.5342050956808266,0.023865182923865056,0.08340453182296056
A108,0.005309160717833582,0.0007936266043394183,0.2171749506459015,0.0008977895748242378,0.13836785114539188
A109,0.006312488345798763,-0.0009284187842693624,-0.25406066599828075,0.0038111025148347983,0.29078349286112015
