TSVR_hours,domain,model,mean_score,CI_lower,CI_upper,n
23.46,Where,CTT,0.3777777777777777,,,1
23.47,Where,CTT,0.5111111111111111,,,1
23.54,Where,CTT,0.4888888888888889,,,1
23.69,Where,CTT,0.8444444444444444,,,1
23.7,Where,CTT,0.6888888888888889,,,1
23.91,Where,CTT,0.5555555555555556,,,1
24.15,Where,CTT,0.5777777777777777,,,1
24.25,Where,CTT,0.7,0.24266666666666675,1.157333333333333,2
24.32,Where,CTT,0.2444444444444444,,,1
24.37,Where,CTT,0.4222222222222222,,,1
24.49,Where,CTT,0.3555555555555555,,,1
24.51,Where,CTT,0.8,,,1
24.57,Where,CTT,0.5777777777777777,,,1
