UID,test,composite_ID,Congruence,theta,SE,TSVR_hours,Segment,Days_within
A068,1,A068_1,Common,1.1973321,0.1962873223365104,1.0,Early,0.041666666666666664
A068,2,A068_2,Common,-0.06428234,0.1962873223365104,30.49,Late,0.2704166666666666
A068,3,A068_3,Common,0.9597233,0.1962873223365104,82.98,Late,2.4575
A068,4,A068_4,Common,-0.6880742,0.1962873223365104,155.59,Late,5.482916666666667
A069,1,A069_1,Common,-0.8337596,0.1962873223365104,1.0,Early,0.041666666666666664
A069,2,A069_2,Common,-1.1064484,0.1962873223365104,24.96,Late,0.040000000000000036
A069,3,A069_3,Common,0.24429336,0.1962873223365104,79.75,Late,2.3229166666666665
A069,4,A069_4,Common,-0.91262,0.1962873223365104,140.22,Late,4.8425
A070,1,A070_1,Common,0.56656337,0.1962873223365104,1.0,Early,0.041666666666666664
A070,2,A070_2,Common,0.67100656,0.1962873223365104,24.25,Late,0.010416666666666666
A070,3,A070_3,Common,-0.3166986,0.1962873223365104,81.92,Late,2.4133333333333336
A070,4,A070_4,Common,-0.90343934,0.1962873223365104,149.2,Late,5.216666666666666
A071,1,A071_1,Common,0.70789874,0.1962873223365104,1.0,Early,0.041666666666666664
A071,2,A071_2,Common,0.873699,0.1962873223365104,30.92,Late,0.2883333333333334
A071,3,A071_3,Common,0.14909524,0.1962873223365104,79.96,Late,2.3316666666666666
A071,4,A071_4,Common,0.23359789,0.1962873223365104,153.27,Late,5.38625
A072,1,A072_1,Common,0.87721634,0.1962873223365104,1.0,Early,0.041666666666666664
A072,2,A072_2,Common,1.1064863,0.1962873223365104,33.76,Late,0.40666666666666657
A072,3,A072_3,Common,-0.6392919,0.1962873223365104,83.54,Late,2.4808333333333334
A072,4,A072_4,Common,0.11632397,0.1962873223365104,154.89,Late,5.453749999999999
A073,1,A073_1,Common,0.54635656,0.1962873223365104,1.0,Early,0.041666666666666664
A073,2,A073_2,Common,0.29271653,0.1962873223365104,66.66,Late,1.7774999999999999
A073,3,A073_3,Common,0.8597459,0.1962873223365104,66.9,Late,1.7875000000000003
A073,4,A073_4,Common,1.1421618,0.1962873223365104,140.12,Late,4.838333333333334
A074,1,A074_1,Common,1.0982429,0.1962873223365104,1.0,Early,0.041666666666666664
A074,2,A074_2,Common,-0.03720683,0.1962873223365104,29.33,Late,0.22208333333333327
A074,3,A074_3,Common,-1.5277796,0.1962873223365104,73.02,Late,2.0425
A074,4,A074_4,Common,-1.2861127,0.1962873223365104,147.21,Late,5.13375
A075,1,A075_1,Common,0.6850163,0.1962873223365104,1.0,Early,0.041666666666666664
A075,2,A075_2,Common,0.12656468,0.1962873223365104,28.68,Late,0.19499999999999998
A075,3,A075_3,Common,-0.48466563,0.1962873223365104,71.37,Late,1.9737500000000001
