observation,fitted,residual,standardized_residual,leverage,cooks_d
87,-0.20278030409440273,0.4650144665944027,0.7278008898695578,0.037710157822181636,0.0035951785273678973
88,-0.23914696569915,-0.86381527180085,-1.3519698174206007,0.04546922201754621,0.01520268834510451
89,-0.041719415144365564,0.05305590364436556,0.08303856473111189,0.05544274759454825,7.141617541609179e-05
90,-0.13059303812772513,-0.35539774937227486,-0.5562381750079798,0.0599319357219364,0.0034971160083946255
91,-0.050452919956641855,0.11004356245664185,0.17223077653241387,0.04648922896583463,0.0002527967031516722
92,-0.13098607960683817,0.41716619960683815,0.652912872842251,0.04436022235591805,0.003451155193702831
93,0.015102541697976507,0.6550148018020235,1.0251731717522077,0.052487705386389936,0.010240734188110659
94,-0.17431204626263924,-0.9816901437373606,-1.5364574900664505,0.06087576568338854,0.02715739997629696
95,-0.28148207669061276,-0.49164477330938716,-0.7694803693631928,0.06268484410173124,0.007041012421550178
96,-0.13660480237627595,-0.583659752623724,-0.9134943487921704,0.04305015041037296,0.006538178839786526
