composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours,z_accuracy,z_confidence,calibration
A042_T3,free_recall,-0.5476192,-1.1923577,A042,T3,72.0,-0.6568456306026436,-0.7297651501105635,-0.07291951950791997
A042_T4,free_recall,-0.8089415,-1.102174,A042,T4,144.0,-0.9477578961055502,-0.5775124881727497,0.3702454079328005
A043_T1,free_recall,0.9052307,0.15324675,A043,T1,0.0,0.9605129179968113,1.5419520163825806,0.5814390983857693
A043_T2,free_recall,0.115137,-0.04548595,A043,T2,24.0,0.08095557357356901,1.2064414685885896,1.1254858950150206
A043_T3,free_recall,0.2997891,-0.17105871,A043,T3,72.0,0.2865161428050095,0.9944432141714586,0.7079270713664492
A043_T4,free_recall,0.048738178,-0.42464492,A043,T4,144.0,0.00703830078535218,0.5663262096216183,0.5592879088362661
A044_T1,free_recall,-0.8060287,-1.4557778,A044,T1,0.0,-0.9445152748407103,-1.1744842227692043,-0.22996894792849398
A044_T2,free_recall,-0.19541748,-0.95382005,A044,T2,24.0,-0.26476351484283134,-0.3270538820555765,-0.06229036721274517
A044_T3,free_recall,-1.4959046,-1.4880776,A044,T3,72.0,-1.7125069884635302,-1.229014371011725,0.4834926174518053
A044_T4,free_recall,-1.0974785,-1.8753214,A044,T4,144.0,-1.2689664280655557,-1.882778846952658,-0.6138124188871024
A045_T1,free_recall,-0.76336116,-0.65397245,A045,T1,0.0,-0.8970164172046192,0.17916392976257678,1.076180346967196
A045_T2,free_recall,-0.47526395,-0.598393,A045,T2,24.0,-0.5762974734092882,0.27299595496823625,0.8492934283775244
A045_T3,free_recall,-0.4236594,-0.59754133,A045,T3,72.0,-0.5188496530328487,0.2744337871329464,0.7932834401657951
A045_T4,free_recall,-1.2165346,-1.1926738,A045,T4,144.0,-1.4015034514001146,-0.7302988060421622,0.6712046453579523
A046_T1,free_recall,-0.77469015,-0.9647301,A046,T1,0.0,-0.909628207881342,-0.34547277764729256,0.5641554302340495
A046_T2,free_recall,-1.245836,-1.1796908,A046,T2,24.0,-1.4341226984234527,-0.7083802519138815,0.7257424465095712
A046_T3,free_recall,-1.6056858,-1.8411375,A046,T3,72.0,-1.8347188992022145,-1.8250678662497593,0.009651032952455285
A046_T4,free_recall,-1.0504586,-0.8365598,A046,T4,144.0,-1.216622385353854,-0.12908922544918833,1.0875331599046656
A047_T1,free_recall,-0.5218471,-0.9438278,A047,T1,0.0,-0.628155312180651,-0.31018446262337174,0.3179708495572793
A047_T2,free_recall,-0.38599724,-0.71825814,A047,T2,24.0,-0.47692294303017024,0.07063359194089631,0.5475565349710666
A047_T3,free_recall,-1.1630286,-1.4691287,A047,T3,72.0,-1.3419388766278946,-1.1970238841965528,0.14491499243134176
A047_T4,free_recall,-0.8443499,-2.1670387,A047,T4,144.0,-0.9871756490559609,-2.375270677054016,-1.388095027998055
A048_T1,free_recall,1.4464241,-0.43822536,A048,T1,0.0,1.562986560962684,0.5433990272118616,-1.0195875337508225
A048_T2,free_recall,-0.24025916,-0.58757037,A048,T2,24.0,-0.3146826940240814,0.2912672637154714,0.6059499577395528
A048_T3,free_recall,0.37180644,-0.54447675,A048,T3,72.0,0.366688127878205,0.36402008221301163,-0.0026680456651933526
A048_T4,free_recall,0.32747135,-0.54475516,A048,T4,144.0,0.3173329007384803,0.3635500564366228,0.0462171556981425
A049_T1,free_recall,1.9369724,0.042168345,A049,T1,0.0,2.1090804736964976,1.3544238616821573,-0.7546566120143403
A049_T2,free_recall,-0.40477413,-0.5844998,A049,T2,24.0,-0.49782597200626166,0.2964511545534653,0.794277126559727
A049_T3,free_recall,0.5799155,-0.5180559,A049,T3,72.0,0.5983617283182757,0.40862509113546297,-0.18973663718281275
A049_T4,free_recall,0.29279515,-0.5881099,A049,T4,144.0,0.27873025603103707,0.2903564020110248,0.011626145979987734
A050_T1,free_recall,0.10375316,-0.45585206,A050,T1,0.0,0.0682827221386834,0.5136407449925775,0.4453580228538941
A050_T2,free_recall,-0.20866837,-0.41204536,A050,T2,24.0,-0.2795148255033827,0.5875974210405908,0.8671122465439735
A050_T3,free_recall,-0.78698945,-1.0213366,A050,T3,72.0,-0.9233201783985918,-0.4410387203618057,0.4822814580367861
A050_T4,free_recall,-0.7662721,-1.2465863,A050,T4,144.0,-0.9002569678585168,-0.821316602348173,0.07894036551034378
A051_T1,free_recall,1.1308651,-0.16446207,A051,T1,0.0,1.2116962822921242,1.0055799938760555,-0.20611628841606877
A051_T2,free_recall,-0.1484353,-0.26510713,A051,T2,24.0,-0.21246146323045326,0.8356659373903382,1.0481274006207915
A051_T3,free_recall,-0.51630783,-0.6704625,A051,T3,72.0,-0.6219888212805929,0.15132459728910724,0.7733134185697002
A051_T4,free_recall,-0.24947512,-0.9372713,A051,T4,144.0,-0.32494219274418357,-0.2991154492873113,0.025826743456872248
A052_T1,free_recall,0.8560208,-0.54505354,A052,T1,0.0,0.905730897885357,0.3630463163009997,-0.5426845815843573
A052_T2,free_recall,0.514484,-0.35872635,A052,T2,24.0,0.525521309034298,0.6776132576539579,0.1520919486196599
A052_T3,free_recall,0.336497,-0.7488621,A052,T3,72.0,0.32738054033577574,0.018966446150267064,-0.3084140941855087
A052_T4,free_recall,-0.45561698,-0.50986373,A052,T4,144.0,-0.5544258438048967,0.4224555249006235,0.9768813687055202
