composite_ID,paradigm,theta_accuracy,theta_confidence,UID,test,TSVR_hours
A074_T3,free_recall,-0.33134934,-0.85118,A074,T3,72.0
A074_T4,free_recall,-0.77555984,-0.46789822,A074,T4,144.0
A075_T1,free_recall,0.6835109,-0.91026443,A075,T1,0.0
A075_T2,free_recall,0.15669091,-0.46800318,A075,T2,24.0
A075_T3,free_recall,-1.2112106,-1.541985,A075,T3,72.0
A075_T4,free_recall,-0.9596083,-1.0237373,A075,T4,144.0
A076_T1,free_recall,-0.23747711,-1.0622616,A076,T1,0.0
A076_T2,free_recall,-0.96419734,-0.99746597,A076,T2,24.0
A076_T3,free_recall,-1.6650329,-0.87488204,A076,T3,72.0
A076_T4,free_recall,-1.514256,-1.6338801,A076,T4,144.0
A077_T1,free_recall,0.94863856,-0.27882484,A077,T1,0.0
A077_T2,free_recall,-0.2102372,-0.62121236,A077,T2,24.0
A077_T3,free_recall,-0.27487096,-0.42743823,A077,T3,72.0
A077_T4,free_recall,0.36480424,-0.40206105,A077,T4,144.0
A078_T1,free_recall,-0.96974343,-1.1230874,A078,T1,0.0
A078_T2,free_recall,0.103746764,-1.0146086,A078,T2,24.0
A078_T3,free_recall,-0.52161014,-1.3594139,A078,T3,72.0
A078_T4,free_recall,-1.1577317,-1.5598034,A078,T4,144.0
A079_T1,free_recall,0.29714143,-0.45322734,A079,T1,0.0
A079_T2,free_recall,-0.019604485,-0.37600887,A079,T2,24.0
A079_T3,free_recall,-0.63756335,-0.76996493,A079,T3,72.0
A079_T4,free_recall,-0.8638559,-0.9996456,A079,T4,144.0
A080_T1,free_recall,-0.03166884,-0.3029975,A080,T1,0.0
A080_T2,free_recall,0.46226197,-0.29490125,A080,T2,24.0
A080_T3,free_recall,0.26095873,-0.7880184,A080,T3,72.0
A080_T4,free_recall,-0.27738324,-0.8342689,A080,T4,144.0
A081_T1,free_recall,-0.21233271,-0.6205475,A081,T1,0.0
A081_T2,free_recall,-0.2756375,-0.594332,A081,T2,24.0
A081_T3,free_recall,1.1896797,-0.37709534,A081,T3,72.0
A081_T4,free_recall,0.5770681,-0.5964945,A081,T4,144.0
A082_T1,free_recall,0.23409934,-0.49522758,A082,T1,0.0
A082_T2,free_recall,1.3762386,-0.49281362,A082,T2,24.0
A082_T3,free_recall,0.45864242,-0.68815684,A082,T3,72.0
A082_T4,free_recall,-0.5385982,-0.88679665,A082,T4,144.0
A083_T1,free_recall,2.0915012,-0.044387117,A083,T1,0.0
A083_T2,free_recall,0.5282948,-0.55142516,A083,T2,24.0
A083_T3,free_recall,0.067734525,-0.57234025,A083,T3,72.0
A083_T4,free_recall,0.35439134,-0.62404305,A083,T4,144.0
A084_T1,free_recall,0.4183016,-1.8201778,A084,T1,0.0
A084_T2,free_recall,-0.43802726,-1.6724533,A084,T2,24.0
A084_T3,free_recall,-0.0573422,-0.9753281,A084,T3,72.0
A084_T4,free_recall,-0.6182798,-1.7685333,A084,T4,144.0
A085_T1,free_recall,-0.031216,-0.47304928,A085,T1,0.0
A085_T2,free_recall,1.1066616,-0.102274835,A085,T2,24.0
A085_T3,free_recall,0.061248675,-0.12087421,A085,T3,72.0
A085_T4,free_recall,-0.76523185,-0.66361755,A085,T4,144.0
A086_T1,free_recall,0.38950622,-0.40770036,A086,T1,0.0
A086_T2,free_recall,-0.14577931,-0.17299093,A086,T2,24.0
A086_T3,free_recall,-1.0502772,-0.9114661,A086,T3,72.0
A086_T4,free_recall,-0.8074584,-0.8703605,A086,T4,144.0
A087_T1,free_recall,0.78208005,0.15553473,A087,T1,0.0
A087_T2,free_recall,1.0232055,-0.19448192,A087,T2,24.0
A087_T3,free_recall,0.5696994,-0.41644767,A087,T3,72.0
A087_T4,free_recall,0.74973524,-0.2283848,A087,T4,144.0
A088_T1,free_recall,1.4914855,-0.42068657,A088,T1,0.0
A088_T2,free_recall,2.2012293,-0.11636925,A088,T2,24.0
A088_T3,free_recall,1.2592479,-0.25910395,A088,T3,72.0
A088_T4,free_recall,1.9822054,-0.34813434,A088,T4,144.0
A089_T1,free_recall,0.9941269,-0.19160081,A089,T1,0.0
A089_T2,free_recall,1.1067888,-0.2831391,A089,T2,24.0
A089_T3,free_recall,0.42236474,-0.74041444,A089,T3,72.0
A089_T4,free_recall,-0.14824519,-0.38685876,A089,T4,144.0
A090_T1,free_recall,0.5147539,-1.3449049,A090,T1,0.0
A090_T2,free_recall,-0.14470427,-1.1817334,A090,T2,24.0
A090_T3,free_recall,-1.0755081,-2.2726116,A090,T3,72.0
A090_T4,free_recall,-0.72259337,-2.2498128,A090,T4,144.0
A091_T1,free_recall,0.56830114,-0.36837342,A091,T1,0.0
A091_T2,free_recall,-0.024470944,-0.46773705,A091,T2,24.0
A091_T3,free_recall,-1.0722411,-1.0759306,A091,T3,72.0
A091_T4,free_recall,-0.80329055,-0.65007615,A091,T4,144.0
A092_T1,free_recall,-0.20546757,-0.6225423,A092,T1,0.0
A092_T2,free_recall,-1.1036576,-0.5257361,A092,T2,24.0
A092_T3,free_recall,-0.9559158,-0.8229692,A092,T3,72.0
A092_T4,free_recall,-1.0151985,-1.1169113,A092,T4,144.0
A093_T1,free_recall,0.5351138,-0.3699072,A093,T1,0.0
A093_T2,free_recall,1.1764531,-1.7352765,A093,T2,24.0
A093_T3,free_recall,0.49807674,-2.3204355,A093,T3,72.0
A093_T4,free_recall,0.36329606,-2.1397004,A093,T4,144.0
A094_T1,free_recall,-0.95102084,-0.990814,A094,T1,0.0
A094_T2,free_recall,-0.08161993,-1.0715034,A094,T2,24.0
A094_T3,free_recall,-1.1016859,-1.1644566,A094,T3,72.0
A094_T4,free_recall,-0.83792824,-0.9595279,A094,T4,144.0
A095_T1,free_recall,1.80899,-0.28562433,A095,T1,0.0
A095_T2,free_recall,-0.14235677,-0.93091863,A095,T2,24.0
A095_T3,free_recall,-0.18422538,-0.73501414,A095,T3,72.0
A095_T4,free_recall,-0.21127401,-1.2197272,A095,T4,144.0
A096_T1,free_recall,-0.41371152,-0.25904235,A096,T1,0.0
A096_T2,free_recall,-0.7807312,-0.85831016,A096,T2,24.0
A096_T3,free_recall,-1.6348042,-0.57551444,A096,T3,72.0
A096_T4,free_recall,-1.5612783,-0.37602592,A096,T4,144.0
A097_T1,free_recall,0.35705918,-0.77765137,A097,T1,0.0
A097_T2,free_recall,-0.31381193,-2.1933274,A097,T2,24.0
A097_T3,free_recall,0.67599416,-1.6234986,A097,T3,72.0
A097_T4,free_recall,-0.4779618,-2.2878835,A097,T4,144.0
A098_T1,free_recall,0.4863022,-0.28488624,A098,T1,0.0
A098_T2,free_recall,0.35508934,-0.5906009,A098,T2,24.0
A098_T3,free_recall,1.2622093,-0.14794968,A098,T3,72.0
A098_T4,free_recall,-0.91847074,-0.6385353,A098,T4,144.0
A099_T1,free_recall,0.5947077,-0.14926603,A099,T1,0.0
A099_T2,free_recall,0.9436256,-0.16806515,A099,T2,24.0
A099_T3,free_recall,0.5655428,-0.24285866,A099,T3,72.0
A099_T4,free_recall,1.2966081,0.1440323,A099,T4,144.0
A100_T1,free_recall,0.15649687,-1.2366389,A100,T1,0.0
A100_T2,free_recall,1.812935,-1.4770895,A100,T2,24.0
A100_T3,free_recall,0.31755033,-1.1177263,A100,T3,72.0
A100_T4,free_recall,0.07595712,-2.2838976,A100,T4,144.0
A101_T1,free_recall,-0.3487501,-1.167295,A101,T1,0.0
A101_T2,free_recall,-1.0621837,-1.1707814,A101,T2,24.0
A101_T3,free_recall,-1.3082596,-2.110573,A101,T3,72.0
A101_T4,free_recall,-0.9258172,-2.1845388,A101,T4,144.0
A102_T1,free_recall,-0.45942888,-0.4115233,A102,T1,0.0
A102_T2,free_recall,1.2470385,-0.42539954,A102,T2,24.0
A102_T3,free_recall,-0.7463703,-0.6285222,A102,T3,72.0
A102_T4,free_recall,0.35073677,-0.6106468,A102,T4,144.0
A103_T1,free_recall,1.6094108,-1.2241428,A103,T1,0.0
A103_T2,free_recall,-0.4749365,-2.2234173,A103,T2,24.0
A103_T3,free_recall,-1.2749491,-2.112029,A103,T3,72.0
A103_T4,free_recall,-0.7590711,-2.1594713,A103,T4,144.0
A104_T1,free_recall,1.8006684,-0.12201773,A104,T1,0.0
A104_T2,free_recall,0.63661397,-0.29385793,A104,T2,24.0
A104_T3,free_recall,-0.25256342,-0.45470965,A104,T3,72.0
A104_T4,free_recall,-1.6931355,-1.1940105,A104,T4,144.0
A105_T1,free_recall,0.6124308,0.23106097,A105,T1,0.0
A105_T2,free_recall,0.6128357,0.006493715,A105,T2,24.0
A105_T3,free_recall,-0.43068558,-0.5194016,A105,T3,72.0
A105_T4,free_recall,-0.08775301,-0.64115167,A105,T4,144.0
A106_T1,free_recall,1.270947,0.029379582,A106,T1,0.0
A106_T2,free_recall,-0.42703262,-0.37642252,A106,T2,24.0
A106_T3,free_recall,0.37435147,-0.22330713,A106,T3,72.0
A106_T4,free_recall,1.085603,-0.42896435,A106,T4,144.0
A107_T1,free_recall,-0.8262498,-2.1409245,A107,T1,0.0
A107_T2,free_recall,-1.2923126,-2.2612455,A107,T2,24.0
A107_T3,free_recall,-0.8783097,-1.7788577,A107,T3,72.0
A107_T4,free_recall,-0.54525477,-2.1289704,A107,T4,144.0
A108_T1,free_recall,-0.5137304,-0.76647896,A108,T1,0.0
A108_T2,free_recall,-0.843856,-1.1847253,A108,T2,24.0
A108_T3,free_recall,-0.07909426,-0.97185624,A108,T3,72.0
A108_T4,free_recall,-1.6712129,-1.0818222,A108,T4,144.0
A109_T1,free_recall,-0.14437068,-1.3733232,A109,T1,0.0
A109_T2,free_recall,-1.270778,-1.3824699,A109,T2,24.0
A109_T3,free_recall,0.009080338,-0.9749525,A109,T3,72.0
A109_T4,free_recall,-1.5646012,-2.2348204,A109,T4,144.0
A010_T1,cued_recall,2.3076186,-0.3493979,A010,T1,0.0
A010_T2,cued_recall,0.50561595,-0.43895903,A010,T2,24.0
