composite_ID,UID,test,theta_observed,theta_ma_fitted,residual_ma,TSVR_hours
A082_2,A082,T2,1.1720833,0.5173925828350654,0.6546907171649345,27.97
A082_3,A082,T3,0.4018064,0.16357255424950495,0.23823384575049505,75.71
A082_4,A082,T4,-0.08527875,-0.1322023627719973,0.04692361277199729,170.25
A083_1,A083,T1,1.9135383,1.2549772585453802,0.6585610414546197,1.0
A083_2,A083,T2,0.9028967,0.7443249459039982,0.15857175409600177,25.15
A083_3,A083,T3,0.21852846,0.3632953365257205,-0.14476687652572048,74.3
A083_4,A083,T4,-0.03377411,0.11790553913109775,-0.15167964913109774,144.91
A084_1,A084,T1,0.37614724,0.6598408110453408,-0.28369357104534076,1.0
A084_2,A084,T2,-0.4066572,0.12348526575182239,-0.5301424657518223,27.25
A084_3,A084,T3,0.011830099,-0.3109631155421916,0.32279321454219156,91.97
A084_4,A084,T4,-0.024996497,-0.5181442510059477,0.49314775400594774,162.51
A085_1,A085,T1,0.29977113,0.9247847770825405,-0.6250136470825405,1.0
A085_2,A085,T2,1.7130281,0.4222715046191669,1.290756595380833,24.51
A085_3,A085,T3,-0.14947924,0.04786217873861717,-0.19734141873861719,71.4
A085_4,A085,T4,-0.5059031,-0.2704712298824047,-0.23543187011759537,170.65
A086_1,A086,T1,0.9054527,0.3431192914063368,0.5623334085936632,1.0
A086_2,A086,T2,-0.35819164,-0.1458426484879192,-0.21234899151208078,23.47
A086_3,A086,T3,-1.1229844,-0.7948929407964309,-0.3280914592035691,145.29
A086_4,A086,T4,-1.1456217,-0.8498582188413818,-0.29576348115861817,169.55
A087_1,A087,T1,1.164813,1.127934185521632,0.03687881447836805,1.0
A087_2,A087,T2,1.112516,0.5483594922121823,0.5641565077878178,31.07
A087_3,A087,T3,-0.23325346,0.24381442500929393,-0.4770678850092939,72.8
A087_4,A087,T4,0.27864328,-0.0073729529240533645,0.28601623292405337,144.2
A088_1,A088,T1,2.00997,1.918933138157739,0.09103686184226101,1.0
A088_2,A088,T2,2.599694,1.4197693195896879,1.179924680410312,24.25
A088_3,A088,T3,0.43418288,1.0242188238469345,-0.5900359438469345,74.91
A088_4,A088,T4,1.1879628,0.769651178477202,0.418311621522798,149.93
A089_1,A089,T1,1.6034564,1.3717720247522025,0.2316843752477975,1.0
A089_2,A089,T2,0.9674698,0.7808225600251097,0.1866472399748903,32.14
A089_3,A089,T3,0.524776,0.45574254636809475,0.06903345363190527,79.34
A089_4,A089,T4,0.3647498,0.22965841517684918,0.13509138482315083,146.96
A090_1,A090,T1,0.20163605,0.035002179901860414,0.1666338700981396,1.0
A090_2,A090,T2,-0.51139903,-0.4548848853568177,-0.056514144643182274,23.54
A090_3,A090,T3,-1.5578265,-0.9494300064374281,-0.6083964935625719,95.42
A090_4,A090,T4,-1.1440647,-1.0999808295377678,-0.044083870462232166,144.07
A091_1,A091,T1,0.64397514,0.3227015127362754,0.3212736272637246,1.0
A091_2,A091,T2,-0.25296763,-0.14913559841894247,-0.10383203158105753,22.2
A091_3,A091,T3,-1.0806334,-0.5656717182402861,-0.5149616817597139,73.64
A091_4,A091,T4,-0.80276793,-0.8086190096731827,0.0058510796731826575,142.61
A092_1,A092,T1,-0.28513366,0.032764813823450936,-0.31789847382345093,1.0
A092_2,A092,T2,-0.78696686,-0.4476490121106639,-0.33931784788933617,22.83
A092_3,A092,T3,-0.45482323,-0.8436904017196057,0.3888671717196057,71.31
A092_4,A092,T4,-1.3833519,-1.1073905191976734,-0.2759613808023267,146.16
A093_1,A093,T1,0.56161565,1.0220718968235727,-0.46045624682357267,1.0
A093_2,A093,T2,0.19028424,0.5517492380004223,-0.3614649980004223,22.09
A093_3,A093,T3,0.67098945,0.1513233260096792,0.5196661239903207,70.22
A093_4,A093,T4,0.5149613,-0.10503400315131785,0.6199953031513178,140.95
A094_1,A094,T1,-0.70889944,-0.13225616632060708,-0.5766432736793929,1.0
A094_2,A094,T2,-0.17624284,-0.6146881369529157,0.4384452969529157,22.98
A094_3,A094,T3,-1.6861137,-1.033352423079298,-0.6527612769207018,76.21
