bootstrap_iteration,cohens_d
2008,1.500213055007627
2009,0.994113932783458
2010,1.2650186132419534
2011,1.501379845467245
2012,1.2320859065730043
2013,1.4261621370008337
2014,1.2391488243759017
2015,1.3080550237476127
2016,1.2829234272504872
2017,1.5315920263853506
2018,1.567966609449445
2019,1.2369470395914983
2020,1.1134261789402458
2021,1.18063687520121
2022,1.3939309423543635
2023,1.272725721130198
2024,1.2641325620191337
2025,1.5484125718879918
2026,1.3907005926347307
2027,1.0509446754950493
2028,1.5486605450493842
2029,1.1049683700600592
2030,1.505975769837771
2031,1.2351073714278915
2032,1.3855021432248045
2033,1.5475610542517857
2034,1.3604481681327314
2035,1.3436832664052267
2036,1.2155460626356371
2037,1.3653468866973657
2038,1.34040599965848
2039,1.197165405756748
2040,1.3953891612688403
2041,1.3599538866850922
2042,1.5056955378659251
2043,1.4237279125642288
2044,1.3618362111799878
2045,1.7607415067850987
2046,1.4298930779181074
2047,1.2997840814113768
2048,1.5473037435687997
2049,1.4088064888091356
2050,1.6311627501177814
2051,1.5181792590702783
2052,1.4254735579602127
2053,1.3058363541078446
2054,1.7920301588737197
2055,1.3270978881931716
2056,1.4051492028403678
2057,1.5071412424449715
2058,1.3721892220633496
2059,1.4845641979292237
2060,1.1278720496527583
2061,1.7243724237158702
2062,1.3707993956193423
2063,1.7463926037822217
2064,1.3238942698924325
2065,1.354073455222879
2066,1.3794253205388416
2067,1.137878755054388
2068,1.1680942674006969
2069,1.4360537965850848
2070,1.71901060291099
2071,1.7579228185234912
2072,1.2218739672294556
2073,1.192419011121148
2074,1.224234864886313
2075,1.2974941679570247
2076,1.4760762644045884
2077,1.0724465231640599
2078,1.2630422079436612
2079,1.4008342463006336
2080,1.324461588563957
2081,1.4701013195787664
2082,1.3744956128951957
2083,1.5912367909748235
2084,1.2118098833992565
2085,1.338507522235834
2086,1.2416331950477377
2087,1.490978651963006
2088,1.5207411026071698
2089,1.3680578828321375
2090,1.368902032663073
2091,1.410375037047125
2092,1.2879330186832632
2093,1.4085001168441047
2094,1.2518943749807077
2095,1.691104146358164
2096,1.5562049492564605
2097,1.3398959969238882
2098,1.3175321202268084
2099,1.2872781373294393
2100,1.3299745784092072
2101,1.4556114613647126
2102,1.3540225681307294
2103,1.5975809690489
2104,1.5702231095691594
2105,1.3662274309575617
2106,1.5264418722363513
2107,1.199833331381181
2108,1.5553461087523344
2109,1.7307601748082841
2110,1.1747385875737029
2111,1.5461777491449809
2112,1.4806332920147274
2113,1.525114171550347
2114,1.5953141348528534
2115,1.6105376541506773
2116,1.6277452533412295
2117,1.2036794449427792
2118,1.0077192239263155
2119,1.420332878933116
2120,1.4211585936714362
2121,1.1927592816190917
2122,1.204290718545348
2123,1.4447699136269787
2124,1.382937067332581
2125,1.0954889062066622
2126,1.374367871254044
2127,1.3203976762691003
2128,1.1320699001495835
2129,1.3800994069077195
2130,1.7131471937940514
2131,1.4252258072865636
2132,1.5281936694011642
2133,1.215252305792386
2134,1.2982629195083095
2135,1.1312510474441497
2136,1.291311817029969
2137,1.6013551875140744
2138,1.3294298791671308
2139,1.4863393987274913
2140,1.25051941332537
2141,1.2122042566288362
2142,1.454699336781775
2143,1.357298148690596
2144,1.353583598839431
2145,1.314452371345778
2146,1.4441771747996612
2147,1.3060383583998483
2148,1.3012609016098224
2149,1.3512462200749673
2150,1.3383197334907986
2151,1.4251669700227907
2152,1.4090530238871568
2153,1.2657946264096853
