UID,theta_all,theta_what,theta_where,theta_when,beta_age_bivariate_all,beta_age_controlled_all,beta_age_bivariate_what,beta_age_controlled_what,beta_age_bivariate_where,beta_age_controlled_where,beta_age_bivariate_when,beta_age_controlled_when
A082,0.4909304,0.52830120875,0.4936310675,0.309660549075,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A083,0.7502973374999999,0.4622176,0.9057616125,-0.226643435,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A084,-0.0109190895,-0.2665534975,0.103906470575,0.12129878749999998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A085,0.33935422249999997,0.22755188250000002,0.340849349,-0.3276233555,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A086,-0.43033625999999997,-0.4872433975,-0.33231747,0.057011860000000025,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A087,0.5806797050000001,0.5968231325,0.61264055,0.21456976249999998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A088,1.55795242,1.3717229775000002,1.5913601675,0.10655250250000003,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A089,0.865113,0.6689538675000001,0.8781519249999999,0.2660631125,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A090,-0.752913545,-0.836708325,-0.5851270865,-0.2798590075,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A091,-0.373098455,-0.2245167425,-0.3205841075,0.6047325649999999,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A092,-0.7275689125,-0.7566670525,-0.617919395,-0.3518523775,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A093,0.48446266,0.5506377825,0.4544147425,0.27323658,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A094,-0.93752057,-0.7701877375,-0.8695100874999999,0.554979985,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A095,-0.013461817500000028,0.0709018625,-0.05472654499999999,-0.1433507925,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A096,-1.325941315,-1.488379525,-1.1725043075000001,-0.4808209625,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A097,0.142418974,0.136843735,0.14529136,-0.014180437499999976,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A098,0.35445072499999997,0.47438697500000004,0.45504327499999997,0.286242425,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A099,0.7514367825,0.29579097125,0.8399553175,-0.380396625,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A100,0.2622341625,0.356873705,0.252788495,0.15616126749999998,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A101,-1.1029622374999999,-1.2126279850000001,-1.021745085,0.17769049000000003,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A102,0.01133648850000002,0.028971365749999985,0.014734241000000037,0.05545899500000001,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A103,-0.4859907875,-0.45776419999999995,-0.5087183500000001,-0.0784688575,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A104,0.05959064250000001,0.08541996999999996,0.10852401750000001,0.4548566175,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A105,0.28618012000000004,0.25559625825,0.343425895,-0.08529756600000002,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A106,0.6701173435000001,0.8144010749999999,0.73301778,0.44736552,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A107,-1.15600219,-1.101252275,-1.207592975,0.3095768075,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A108,-0.7731268499999999,-0.9493911899999999,-0.64666703,-0.02459387875,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
A109,-0.720264555,-0.6921477,-0.6668261225000001,-0.09993845500000001,-0.1301861727377674,0.026698911878678257,-0.13680453877233184,0.010883076675676027,-0.11102069185562898,0.04402683340598769,-0.050429337567277854,-0.02137584678015253
